#                         y+                    alphat+
  1.816330000000000000e+00   6.487353302457278363e-03
  2.811560000000000059e+00   2.408214589806465661e-02
  3.869540000000000202e+00   6.122881280405049337e-02
  4.994040000000000035e+00   1.256761080055633917e-01
  6.189040000000000319e+00   2.248294558814560584e-01
  7.458719999999999573e+00   3.658847444016498085e-01
  8.807479999999999976e+00   5.563096225776325010e-01
  1.023990000000000045e+01   8.040358309475340581e-01
  1.176099999999999923e+01   1.118103879196122197e+00
  1.337560000000000038e+01   1.507550038576632279e+00
  1.508929999999999971e+01   1.982895017002924254e+00
  1.690749999999999886e+01   2.553008150271757426e+00
  1.883609999999999829e+01   3.227278704637234874e+00
  2.088119999999999976e+01   4.011947047909790953e+00
  2.304909999999999926e+01   4.911469042346638503e+00
  2.534639999999999915e+01   5.924745632700209264e+00
  2.778010000000000090e+01   7.052399096664606404e+00
  3.035709999999999908e+01   8.275113759016894832e+00
  3.308480000000000132e+01   9.604615214748715601e+00
  3.597090000000000032e+01   1.099943655498118389e+01
  3.902320000000000277e+01   1.246854956711343121e+01
  4.224960000000000093e+01   1.397903930281252727e+01
  4.565840000000000032e+01   1.552100300705764546e+01
  4.925800000000000267e+01   1.711234417866291224e+01
  5.305689999999999884e+01   1.872870920433819819e+01
  5.706389999999999674e+01   2.038307524137615090e+01
  6.128750000000000142e+01   2.197918717640395414e+01
  6.573680000000000234e+01   2.353524418228164095e+01
  7.042040000000000077e+01   2.509841871592833229e+01
  7.534699999999999420e+01   2.652485438225921044e+01
  8.052540000000000475e+01   2.794299633799104754e+01
  8.596399999999999864e+01   2.928822094624156591e+01
  9.167100000000000648e+01   3.060253254573966331e+01
  9.765430000000000632e+01   3.180536010491367094e+01
  1.039210000000000065e+02   3.293707581114615834e+01
  1.104800000000000040e+02   3.398117941657562113e+01
  1.173349999999999937e+02   3.503850620003525762e+01
  1.244939999999999998e+02   3.598642882924518460e+01
  1.319610000000000127e+02   3.679314858943597244e+01
  1.397400000000000091e+02   3.755759140133338292e+01
  1.478360000000000127e+02   3.842040942512211643e+01
  1.562489999999999952e+02   3.898942821771733946e+01
  1.649819999999999993e+02   3.943716632051749826e+01
  1.740329999999999870e+02   3.979373170261244042e+01
  1.834009999999999820e+02   4.007420203676650061e+01
  1.930829999999999984e+02   4.013452127440833550e+01
  2.030749999999999886e+02   4.047612736449730875e+01
  2.133709999999999809e+02   4.049560942177794232e+01
  2.239620000000000175e+02   4.066110255214030644e+01
  2.348390000000000271e+02   4.047340412622431671e+01
  2.459909999999999854e+02   4.035748615427237240e+01
  2.574060000000000059e+02   3.998599623754060417e+01
  2.690670000000000073e+02   3.968739854145610479e+01
  2.809599999999999795e+02   3.950608679585790384e+01
  2.930659999999999741e+02   3.905356093542918927e+01
  3.053659999999999854e+02   3.856751543154294382e+01
  3.178389999999999986e+02   3.829984196442820377e+01
  3.304630000000000223e+02   3.793796820517069079e+01
  3.432139999999999986e+02   3.722366615171818438e+01
  3.560690000000000168e+02   3.657566550863259636e+01
  3.690019999999999527e+02   3.708235379735918258e+01
  3.819880000000000564e+02   3.769287839878510482e+01
