       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.
   0.440135e+00   0.769346e-07  -0.162294e-02   0.413914e-07   0.162284e-02   0.173591e-07
   0.134830e+01   0.106763e-05  -0.162691e-02   0.566498e-06   0.162534e-02   0.640562e-07
   0.231394e+01   0.444197e-05  -0.163450e-02   0.229956e-05   0.162785e-02   0.922686e-07
   0.334055e+01   0.117856e-04  -0.164536e-02   0.583200e-05   0.162784e-02   0.103005e-06
   0.443179e+01   0.247181e-04  -0.165925e-02   0.116422e-04   0.162298e-02   0.900354e-07
   0.559154e+01   0.448985e-04  -0.167612e-02   0.201757e-04   0.161109e-02   0.436997e-07
   0.682388e+01   0.740545e-04  -0.169599e-02   0.318637e-04   0.159003e-02  -0.410595e-07
   0.813310e+01   0.113990e-03  -0.171891e-02   0.470414e-04   0.155772e-02  -0.166408e-06
   0.952371e+01   0.166532e-03  -0.174495e-02   0.657995e-04   0.151229e-02  -0.329058e-06
   0.110004e+02   0.233417e-03  -0.177414e-02   0.878424e-04   0.145236e-02  -0.519803e-06
   0.125683e+02   0.316121e-03  -0.180652e-02   0.112421e-03   0.137726e-02  -0.724756e-06
   0.142324e+02   0.415684e-03  -0.184214e-02   0.138367e-03   0.128716e-02  -0.927979e-06
   0.159984e+02   0.532544e-03  -0.188104e-02   0.164220e-03   0.118316e-02  -0.111452e-05
   0.178718e+02   0.666432e-03  -0.192325e-02   0.188397e-03   0.106715e-02  -0.127290e-05
   0.198586e+02   0.816319e-03  -0.196876e-02   0.209371e-03   0.941671e-03  -0.139642e-05
   0.219651e+02   0.980438e-03  -0.201747e-02   0.225839e-03   0.809709e-03  -0.148343e-05
   0.241978e+02   0.115636e-02  -0.206918e-02   0.236833e-03   0.674442e-03  -0.153655e-05
   0.265632e+02   0.134115e-02  -0.212351e-02   0.241776e-03   0.539027e-03  -0.156142e-05
   0.290686e+02   0.153147e-02  -0.217995e-02   0.240470e-03   0.406442e-03  -0.156487e-05
   0.317210e+02   0.172383e-02  -0.223779e-02   0.233023e-03   0.279382e-03  -0.155370e-05
   0.345279e+02   0.191469e-02  -0.229617e-02   0.219811e-03   0.160142e-03  -0.153442e-05
   0.374970e+02   0.210065e-02  -0.235412e-02   0.201447e-03   0.505097e-04  -0.151316e-05
   0.406364e+02   0.227860e-02  -0.241053e-02   0.178721e-03  -0.482844e-04  -0.149417e-05
   0.439540e+02   0.244582e-02  -0.246427e-02   0.152540e-03  -0.135566e-03  -0.148036e-05
   0.474582e+02   0.260000e-02  -0.251418e-02   0.123876e-03  -0.211168e-03  -0.147426e-05
   0.511574e+02   0.273930e-02  -0.255916e-02   0.936040e-04  -0.275226e-03  -0.147796e-05
   0.550604e+02   0.286228e-02  -0.259819e-02   0.624176e-04  -0.328000e-03  -0.149251e-05
   0.591757e+02   0.296785e-02  -0.263038e-02   0.309781e-04  -0.369959e-03  -0.151807e-05
   0.635122e+02   0.305525e-02  -0.265499e-02  -0.137136e-06  -0.401685e-03  -0.155551e-05
   0.680786e+02   0.312406e-02  -0.267141e-02  -0.304813e-04  -0.423772e-03  -0.160420e-05
   0.728837e+02   0.317411e-02  -0.267927e-02  -0.598061e-04  -0.436701e-03  -0.166379e-05
   0.779362e+02   0.320554e-02  -0.267837e-02  -0.878751e-04  -0.441021e-03  -0.173014e-05
   0.832447e+02   0.321870e-02  -0.266862e-02  -0.114164e-03  -0.437712e-03  -0.179900e-05
   0.888175e+02   0.321408e-02  -0.264996e-02  -0.137955e-03  -0.428022e-03  -0.186049e-05
   0.946626e+02   0.319220e-02  -0.262236e-02  -0.158300e-03  -0.413454e-03  -0.191161e-05
   0.100788e+03   0.315371e-02  -0.258577e-02  -0.174541e-03  -0.395367e-03  -0.196175e-05
   0.107201e+03   0.309933e-02  -0.254009e-02  -0.186548e-03  -0.374718e-03  -0.202625e-05
   0.113907e+03   0.302987e-02  -0.248537e-02  -0.194328e-03  -0.352267e-03  -0.209854e-05
   0.120914e+03   0.294624e-02  -0.242175e-02  -0.197802e-03  -0.328847e-03  -0.215852e-05
   0.128227e+03   0.284957e-02  -0.234944e-02  -0.197155e-03  -0.305171e-03  -0.219364e-05
   0.135851e+03   0.274104e-02  -0.226876e-02  -0.192580e-03  -0.281913e-03  -0.221004e-05
   0.143788e+03   0.262174e-02  -0.218027e-02  -0.184254e-03  -0.259431e-03  -0.221565e-05
   0.152043e+03   0.249268e-02  -0.208470e-02  -0.172422e-03  -0.237773e-03  -0.221323e-05
   0.160615e+03   0.235504e-02  -0.198292e-02  -0.158139e-03  -0.216182e-03  -0.220337e-05
   0.169507e+03   0.221009e-02  -0.187591e-02  -0.141680e-03  -0.194675e-03  -0.218395e-05
   0.178717e+03   0.205924e-02  -0.176492e-02  -0.123101e-03  -0.173386e-03  -0.216231e-05
   0.188242e+03   0.190397e-02  -0.165120e-02  -0.102721e-03  -0.152185e-03  -0.213280e-05
   0.198079e+03   0.174578e-02  -0.153584e-02  -0.813053e-04  -0.130742e-03  -0.209923e-05
   0.208223e+03   0.158614e-02  -0.141984e-02  -0.594062e-04  -0.108964e-03  -0.207220e-05
   0.218666e+03   0.142648e-02  -0.130434e-02  -0.372932e-04  -0.868701e-04  -0.203147e-05
   0.229401e+03   0.126828e-02  -0.119044e-02  -0.151538e-04  -0.646535e-04  -0.196998e-05
   0.240415e+03   0.111313e-02  -0.107910e-02   0.604111e-05  -0.419717e-04  -0.189679e-05
   0.251698e+03   0.962656e-03  -0.971240e-03   0.256657e-04  -0.188953e-04  -0.181385e-05
   0.263236e+03   0.818502e-03  -0.867886e-03   0.428885e-04   0.476180e-05  -0.173434e-05
   0.275014e+03   0.682245e-03  -0.770124e-03   0.580791e-04   0.281269e-04  -0.167354e-05
   0.287013e+03   0.555372e-03  -0.679102e-03   0.713675e-04   0.507431e-04  -0.161925e-05
   0.299216e+03   0.439294e-03  -0.595842e-03   0.823309e-04   0.726436e-04  -0.157285e-05
   0.311603e+03   0.335248e-03  -0.521238e-03   0.913010e-04   0.931538e-04  -0.153531e-05
   0.324151e+03   0.244213e-03  -0.456167e-03   0.986414e-04   0.111810e-03  -0.150205e-05
   0.336839e+03   0.167028e-03  -0.401300e-03   0.103709e-03   0.129095e-03  -0.146739e-05
   0.349642e+03   0.104443e-03  -0.357056e-03   0.106688e-03   0.144491e-03  -0.143433e-05
   0.362536e+03   0.570500e-04  -0.323700e-03   0.108142e-03   0.157096e-03  -0.141149e-05
   0.375495e+03   0.252583e-04  -0.301382e-03   0.108617e-03   0.166107e-03  -0.139994e-05
   0.388494e+03   0.929781e-05  -0.290197e-03   0.108684e-03   0.170818e-03  -0.139729e-05
