#                         y+                    alphat+
  4.499850000000000239e-01   6.969802082292722697e-05
  6.867989999999999373e-01   2.587491563855395674e-04
  9.320819999999999661e-01   6.781896831622107697e-04
  1.186280000000000001e+00   1.465534744255602784e-03
  1.449820000000000109e+00   2.793254913065297638e-03
  1.723159999999999803e+00   4.866637100175733206e-03
  2.006749999999999812e+00   7.914949503972751668e-03
  2.301020000000000287e+00   1.219129010381311135e-02
  2.606399999999999828e+00   1.796645248101713666e-02
  2.923340000000000050e+00   2.552898083499611365e-02
  3.252270000000000216e+00   3.519326731805495073e-02
  3.593630000000000102e+00   4.730383649186337830e-02
  3.947830000000000172e+00   6.222591059372391264e-02
  4.315299999999999692e+00   8.038766814528096327e-02
  4.696439999999999948e+00   1.022332296999486773e-01
  5.091669999999999696e+00   1.282456743657715559e-01
  5.501389999999999780e+00   1.589949440244238787e-01
  5.925990000000000535e+00   1.949928491303306310e-01
  6.365859999999999630e+00   2.368935459018838008e-01
  6.821360000000000312e+00   2.853107351574151185e-01
  7.292880000000000251e+00   3.408676439777024725e-01
  7.780750000000000277e+00   4.043322915645672921e-01
  8.285360000000000724e+00   4.762591954413089579e-01
  8.807000000000000384e+00   5.573792544098323809e-01
  9.345939999999998804e+00   6.485534811518132159e-01
  9.902649999999999508e+00   7.501317933174006525e-01
  1.047729999999999961e+01   8.629525863227460736e-01
  1.107019999999999982e+01   9.873601254170144559e-01
  1.168169999999999931e+01   1.124292650870636789e+00
  1.231199999999999939e+01   1.274335507558247871e+00
  1.296139999999999937e+01   1.437394554487733789e+00
  1.362989999999999924e+01   1.615924503066938911e+00
  1.431809999999999938e+01   1.807095418214743621e+00
  1.502599999999999980e+01   2.016210509380137683e+00
  1.575380000000000003e+01   2.238959850148121156e+00
  1.650169999999999959e+01   2.478643322052070275e+00
  1.726989999999999981e+01   2.735802258199071080e+00
  1.805849999999999866e+01   3.011358235596360622e+00
  1.886759999999999948e+01   3.305004873778236263e+00
  1.969739999999999824e+01   3.615037602667047878e+00
  2.054799999999999827e+01   3.946790241464007032e+00
  2.141939999999999955e+01   4.289640247445321464e+00
  2.231180000000000163e+01   4.658804747793007905e+00
  2.322530000000000072e+01   5.041252034367747825e+00
  2.415980000000000061e+01   5.444151275770701126e+00
  2.511540000000000106e+01   5.860228406976595750e+00
  2.609219999999999828e+01   6.299564218814674099e+00
  2.708999999999999986e+01   6.749387588332489862e+00
  2.810910000000000153e+01   7.199822158520041704e+00
  2.914930000000000021e+01   7.683475899375226348e+00
  3.021049999999999969e+01   8.170634120023080982e+00
  3.129269999999999996e+01   8.668966355086817899e+00
  3.239589999999999748e+01   9.195543405919583080e+00
  3.352009999999999934e+01   9.739135170340034620e+00
  3.466499999999999915e+01   1.028409443441960747e+01
  3.583080000000000354e+01   1.084223636098905885e+01
  3.701700000000000301e+01   1.138838431507388904e+01
  3.822379999999999711e+01   1.194959592353777467e+01
  3.945100000000000051e+01   1.251752605215351721e+01
  4.069839999999999947e+01   1.308990096700603623e+01
  4.196600000000000108e+01   1.366857845026405016e+01
  4.325339999999999918e+01   1.419692695454326881e+01
  4.456060000000000088e+01   1.478155140658155275e+01
  4.588730000000000331e+01   1.539224726714541625e+01
  4.723340000000000316e+01   1.598740969787832356e+01
  4.859870000000000090e+01   1.660221815665656564e+01
  4.998299999999999699e+01   1.712775247942434476e+01
  5.138600000000000279e+01   1.771308818782559769e+01
  5.280760000000000076e+01   1.834693256119680882e+01
  5.424759999999999849e+01   1.894288996720917595e+01
  5.570550000000000068e+01   1.957257493878407573e+01
  5.718130000000000024e+01   2.016196410832775499e+01
  5.867479999999999762e+01   2.068858073224078353e+01
  6.018549999999999756e+01   2.129376413050421846e+01
  6.171340000000000003e+01   2.177886170648993058e+01
  6.325809999999999889e+01   2.233118805706863341e+01
  6.481929999999999836e+01   2.284692498507411784e+01
  6.639679999999999893e+01   2.334264426338159737e+01
  6.799039999999999395e+01   2.374822106745148176e+01
  6.959959999999999525e+01   2.417719420476071690e+01
  7.122440000000000282e+01   2.453751269251695177e+01
  7.286430000000000007e+01   2.501761772438172571e+01
  7.451909999999999457e+01   2.548121652319490593e+01
  7.618850000000000477e+01   2.597363212927803744e+01
  7.787239999999999895e+01   2.639320851089903641e+01
  7.957040000000000646e+01   2.690041196619649710e+01
  8.128149999999999409e+01   2.733274861060182204e+01
  8.300690000000000168e+01   2.778702639342709801e+01
  8.474490000000000123e+01   2.823555034682122766e+01
  8.649550000000000693e+01   2.863804101194288165e+01
  8.825960000000000605e+01   2.909742643513796878e+01
  9.003549999999999898e+01   2.950725159324091962e+01
  9.182330000000000325e+01   2.989771246070406718e+01
  9.362290000000000134e+01   3.031838306354784152e+01
  9.543439999999999657e+01   3.079458785316893810e+01
  9.725690000000000168e+01   3.107554506092409241e+01
  9.908969999999999345e+01   3.134551564783470923e+01
  1.009339999999999975e+02   3.169036124571258028e+01
  1.027879999999999967e+02   3.202521710547951983e+01
  1.046520000000000010e+02   3.237154551865176444e+01
  1.065260000000000105e+02   3.270845812199275571e+01
  1.084089999999999918e+02   3.313730033108407014e+01
  1.103020000000000067e+02   3.338880008122474408e+01
  1.122039999999999935e+02   3.358902829647548316e+01
  1.141149999999999949e+02   3.381757979143402792e+01
  1.160339999999999918e+02   3.408455118281910501e+01
  1.179599999999999937e+02   3.434495152437881416e+01
  1.198960000000000008e+02   3.443945893494073829e+01
  1.218389999999999986e+02   3.448258832120141903e+01
  1.237890000000000015e+02   3.456249574547562986e+01
  1.257470000000000141e+02   3.470405337405933466e+01
  1.277109999999999985e+02   3.501702315525500353e+01
  1.296829999999999927e+02   3.555026843838293615e+01
  1.316610000000000014e+02   3.587191329364957681e+01
  1.336460000000000150e+02   3.608941028321371647e+01
  1.356370000000000005e+02   3.621917517353308824e+01
  1.376329999999999814e+02   3.649710414308971451e+01
  1.396359999999999957e+02   3.636497901861349646e+01
  1.416440000000000055e+02   3.651937388496032355e+01
  1.436570000000000107e+02   3.653203034219919232e+01
  1.456750000000000114e+02   3.663193899546612187e+01
  1.476979999999999791e+02   3.679085304232869902e+01
  1.497259999999999991e+02   3.685588068589486710e+01
  1.517589999999999861e+02   3.697525097763797675e+01
  1.537959999999999923e+02   3.706640161813920997e+01
  1.558379999999999939e+02   3.716910883602210447e+01
  1.578839999999999861e+02   3.738440483174744600e+01
  1.599329999999999927e+02   3.743719455460147572e+01
  1.619859999999999900e+02   3.742530144342565279e+01
  1.640430000000000064e+02   3.776259903560255538e+01
  1.661040000000000134e+02   3.781444107295750712e+01
  1.681670000000000016e+02   3.777567108404159768e+01
  1.702340000000000089e+02   3.771917487544070013e+01
  1.723040000000000020e+02   3.780114849347484096e+01
  1.743770000000000095e+02   3.777539294744843801e+01
  1.764530000000000030e+02   3.756595817955757610e+01
  1.785309999999999775e+02   3.752423213291508119e+01
  1.806119999999999948e+02   3.754768399784459376e+01
  1.826949999999999932e+02   3.775931124780213111e+01
  1.847820000000000107e+02   3.773825924185175751e+01
  1.868700000000000045e+02   3.798093699979110482e+01
  1.889600000000000080e+02   3.796628786495794117e+01
  1.910520000000000209e+02   3.805794651588939104e+01
  1.931459999999999866e+02   3.791526946757797134e+01
  1.952420000000000186e+02   3.796761134799728410e+01
  1.973400000000000034e+02   3.786357111035027145e+01
  1.994390000000000214e+02   3.791399476846182637e+01
  2.015409999999999968e+02   3.767074315235162629e+01
  2.036440000000000055e+02   3.740748634317354515e+01
  2.057479999999999905e+02   3.736281540096764786e+01
  2.078529999999999802e+02   3.704400902932188444e+01
  2.099600000000000080e+02   3.708282450668875896e+01
  2.120679999999999836e+02   3.707171504941411655e+01
  2.141770000000000209e+02   3.709881938735184548e+01
