#                         y+                    alphat+
  4.499850000000000239e-01   6.278162399821942265e-05
  6.867989999999999373e-01   2.362934224321447884e-04
  9.320819999999999661e-01   6.284036075689971006e-04
  1.186280000000000001e+00   1.376250961130716767e-03
  1.449820000000000109e+00   2.652242455134819123e-03
  1.723159999999999803e+00   4.659911172076988163e-03
  2.006749999999999812e+00   7.624155801843947658e-03
  2.301020000000000287e+00   1.179181088267604142e-02
  2.606399999999999828e+00   1.742524344800901528e-02
  2.923340000000000050e+00   2.481861906246149094e-02
  3.252270000000000216e+00   3.429753674852054068e-02
  3.593630000000000102e+00   4.622953085528098277e-02
  3.947830000000000172e+00   6.103527682731162141e-02
  4.315299999999999692e+00   7.915492569196375117e-02
  4.696439999999999948e+00   1.011013246340551341e-01
  5.091669999999999696e+00   1.273725054614317787e-01
  5.501389999999999780e+00   1.585828583948288573e-01
  5.925990000000000535e+00   1.952914415195420306e-01
  6.365859999999999630e+00   2.381659479515987055e-01
  6.821360000000000312e+00   2.878014886470922074e-01
  7.292880000000000251e+00   3.449526188997389942e-01
  7.780750000000000277e+00   4.102699169998957340e-01
  8.285360000000000724e+00   4.843135499008393019e-01
  8.807000000000000384e+00   5.678546733117576517e-01
  9.345939999999998804e+00   6.614999009163413657e-01
  9.902649999999999508e+00   7.656859684731380788e-01
  1.047729999999999961e+01   8.813449287441728064e-01
  1.107019999999999982e+01   1.008517314383287289e+00
  1.168169999999999931e+01   1.148865816284349695e+00
  1.231199999999999939e+01   1.302234321875171075e+00
  1.296139999999999937e+01   1.469491832345166671e+00
  1.362989999999999924e+01   1.652268361308547151e+00
  1.431809999999999938e+01   1.850587533568887721e+00
  1.502599999999999980e+01   2.066227050570884405e+00
  1.575380000000000003e+01   2.298606929159078938e+00
  1.650169999999999959e+01   2.549358079684831857e+00
  1.726989999999999981e+01   2.816265992027604970e+00
  1.805849999999999866e+01   3.103188248619017209e+00
  1.886759999999999948e+01   3.407692163574493449e+00
  1.969739999999999824e+01   3.724783740044242730e+00
  2.054799999999999827e+01   4.064370813382672587e+00
  2.141939999999999955e+01   4.418396178185439283e+00
  2.231180000000000163e+01   4.795857182722050638e+00
  2.322530000000000072e+01   5.196098631390707823e+00
  2.415980000000000061e+01   5.603926355657386615e+00
  2.511540000000000106e+01   6.041123437234587890e+00
  2.609219999999999828e+01   6.486897031306483541e+00
  2.708999999999999986e+01   6.940928189377464363e+00
  2.810910000000000153e+01   7.417521615919903333e+00
  2.914930000000000021e+01   7.880634425013801625e+00
  3.021049999999999969e+01   8.373968045564359031e+00
  3.129269999999999996e+01   8.835286146964660858e+00
  3.239589999999999748e+01   9.313439271071905168e+00
  3.352009999999999934e+01   9.792718670615217391e+00
  3.466499999999999915e+01   1.029715715176799051e+01
  3.583080000000000354e+01   1.080171769178121721e+01
  3.701700000000000301e+01   1.130033840139198986e+01
  3.822379999999999711e+01   1.181765093076846895e+01
  3.945100000000000051e+01   1.235251810712578902e+01
  4.069839999999999947e+01   1.287021978847703707e+01
  4.196600000000000108e+01   1.338653423537234666e+01
  4.325339999999999918e+01   1.388573671025423550e+01
  4.456060000000000088e+01   1.443542963756313746e+01
  4.588730000000000331e+01   1.498733117868881770e+01
  4.723340000000000316e+01   1.551949324286229093e+01
  4.859870000000000090e+01   1.608732830366164990e+01
  4.998299999999999699e+01   1.659130063156418800e+01
  5.138600000000000279e+01   1.715234483734973026e+01
  5.280760000000000076e+01   1.773141637673563054e+01
  5.424759999999999849e+01   1.827038939283292507e+01
  5.570550000000000068e+01   1.887311759393571364e+01
  5.718130000000000024e+01   1.942390894562301185e+01
  5.867479999999999762e+01   2.000004537287844997e+01
  6.018549999999999756e+01   2.056182587655395011e+01
  6.171340000000000003e+01   2.110613127536199940e+01
  6.325809999999999889e+01   2.166358744589649987e+01
  6.481929999999999836e+01   2.220351704454552433e+01
  6.639679999999999893e+01   2.270761255149083624e+01
  6.799039999999999395e+01   2.327547174441416900e+01
  6.959959999999999525e+01   2.381392764651216609e+01
  7.122440000000000282e+01   2.426529726354006300e+01
  7.286430000000000007e+01   2.469625273130525045e+01
  7.451909999999999457e+01   2.504673229983841765e+01
  7.618850000000000477e+01   2.564471805833769125e+01
  7.787239999999999895e+01   2.610754166051844294e+01
  7.957040000000000646e+01   2.659776649246110480e+01
  8.128149999999999409e+01   2.715132897266093437e+01
  8.300690000000000168e+01   2.759691919078220934e+01
  8.474490000000000123e+01   2.799454500888216657e+01
  8.649550000000000693e+01   2.832900276987732369e+01
  8.825960000000000605e+01   2.885749722987793575e+01
  9.003549999999999898e+01   2.931700421459710526e+01
  9.182330000000000325e+01   2.979347751232092634e+01
  9.362290000000000134e+01   3.006295101510682244e+01
  9.543439999999999657e+01   3.049145267011704163e+01
  9.725690000000000168e+01   3.068255516514405912e+01
  9.908969999999999345e+01   3.111018609448985472e+01
  1.009339999999999975e+02   3.152335285904234397e+01
  1.027879999999999967e+02   3.178556214335883823e+01
  1.046520000000000010e+02   3.205176283554266803e+01
  1.065260000000000105e+02   3.241083841109258401e+01
  1.084089999999999918e+02   3.266555798841076808e+01
  1.103020000000000067e+02   3.291103919867652650e+01
  1.122039999999999935e+02   3.330820514227313822e+01
  1.141149999999999949e+02   3.333930811415940099e+01
  1.160339999999999918e+02   3.354962270194354090e+01
  1.179599999999999937e+02   3.370424388877402322e+01
  1.198960000000000008e+02   3.390019764452485163e+01
  1.218389999999999986e+02   3.402096381109697631e+01
  1.237890000000000015e+02   3.419305485190991334e+01
  1.257470000000000141e+02   3.434058521687978072e+01
  1.277109999999999985e+02   3.447724937949080015e+01
  1.296829999999999927e+02   3.472699861310952940e+01
  1.316610000000000014e+02   3.485907576907773375e+01
  1.336460000000000150e+02   3.506105124773313975e+01
  1.356370000000000005e+02   3.530390655519988030e+01
  1.376329999999999814e+02   3.550535713733415122e+01
  1.396359999999999957e+02   3.591245407304205628e+01
  1.416440000000000055e+02   3.631014505585245189e+01
  1.436570000000000107e+02   3.664814797541200164e+01
  1.456750000000000114e+02   3.691312585290059900e+01
  1.476979999999999791e+02   3.744472809032422589e+01
  1.497259999999999991e+02   3.744280770554693305e+01
  1.517589999999999861e+02   3.787195151115177794e+01
  1.537959999999999923e+02   3.757911493200629138e+01
  1.558379999999999939e+02   3.749261035836122602e+01
  1.578839999999999861e+02   3.760843017234555674e+01
  1.599329999999999927e+02   3.763216696001246220e+01
  1.619859999999999900e+02   3.792666307642212331e+01
  1.640430000000000064e+02   3.783958725498434461e+01
  1.661040000000000134e+02   3.795383640978150908e+01
  1.681670000000000016e+02   3.787531645427461058e+01
  1.702340000000000089e+02   3.808294039370109374e+01
  1.723040000000000020e+02   3.828922307078702403e+01
  1.743770000000000095e+02   3.823218726446548033e+01
  1.764530000000000030e+02   3.831708475447528173e+01
  1.785309999999999775e+02   3.823420261828307787e+01
  1.806119999999999948e+02   3.833396037236288834e+01
  1.826949999999999932e+02   3.810277168705663797e+01
  1.847820000000000107e+02   3.829369659303301177e+01
  1.868700000000000045e+02   3.849291452313921980e+01
  1.889600000000000080e+02   3.878249855414897951e+01
  1.910520000000000209e+02   3.912920471039493009e+01
  1.931459999999999866e+02   3.928892063569445270e+01
  1.952420000000000186e+02   3.944669370229200211e+01
  1.973400000000000034e+02   3.971535624937206421e+01
  1.994390000000000214e+02   3.940541616131758929e+01
  2.015409999999999968e+02   3.937336690462201716e+01
  2.036440000000000055e+02   3.896086368462643890e+01
  2.057479999999999905e+02   3.846093636408430427e+01
  2.078529999999999802e+02   3.818821612750661387e+01
  2.099600000000000080e+02   3.808911599061682551e+01
  2.120679999999999836e+02   3.792039956092558128e+01
  2.141770000000000209e+02   3.815470531520017516e+01
  2.162879999999999825e+02   3.795683840551848931e+01
  2.183990000000000009e+02   3.804787270923589659e+01
  2.205120000000000005e+02   3.779001157398401034e+01
  2.226250000000000000e+02   3.818612425401629196e+01
  2.247390000000000043e+02   3.814766275037000298e+01
  2.268549999999999898e+02   3.803093798078104015e+01
  2.289699999999999989e+02   3.767565348866962438e+01
  2.310870000000000175e+02   3.756996655866478818e+01
  2.332050000000000125e+02   3.721759062974493304e+01
  2.353229999999999791e+02   3.722363445152583239e+01
  2.374420000000000073e+02   3.720707443438213602e+01
  2.395609999999999786e+02   3.733009285551936074e+01
  2.416820000000000164e+02   3.732356319670971345e+01
  2.438020000000000209e+02   3.715604973198446714e+01
  2.459230000000000018e+02   3.659619497099051699e+01
  2.480449999999999875e+02   3.643310457507104871e+01
  2.501670000000000016e+02   3.640769798580039662e+01
  2.522899999999999920e+02   3.631728537499959231e+01
  2.544129999999999825e+02   3.646194261737917230e+01
  2.565370000000000346e+02   3.659752656526807613e+01
  2.586600000000000250e+02   3.615312979583804776e+01
  2.607850000000000250e+02   3.631399699719646179e+01
  2.629089999999999918e+02   3.619445118240484760e+01
  2.650339999999999918e+02   3.635029966698462545e+01
  2.671589999999999918e+02   3.630402646447819848e+01
  2.692850000000000250e+02   3.599809125840435797e+01
  2.714110000000000014e+02   3.617248663235844930e+01
  2.735370000000000346e+02   3.600444455871645033e+01
  2.756630000000000109e+02   3.642046456918777153e+01
  2.777900000000000205e+02   3.619741783515758726e+01
  2.799170000000000300e+02   3.667476413799227686e+01
  2.820440000000000396e+02   3.625158099371416398e+01
  2.841720000000000255e+02   3.627380425922481066e+01
  2.862990000000000350e+02   3.585549647450371680e+01
  2.884270000000000209e+02   3.628063186440611076e+01
  2.905559999999999832e+02   3.658215064481535705e+01
  2.926840000000000259e+02   3.670341568324784731e+01
  2.948120000000000118e+02   3.664800438359906565e+01
  2.969399999999999977e+02   3.602152988782047061e+01
  2.990699999999999932e+02   3.599207240184474443e+01
  3.011990000000000123e+02   3.558689957944948645e+01
  3.033279999999999745e+02   3.549470856772055072e+01
  3.054569999999999936e+02   3.559954458083292650e+01
  3.075869999999999891e+02   3.548505930655001350e+01
  3.097160000000000082e+02   3.504552008639902283e+01
  3.118460000000000036e+02   3.523492348795172546e+01
  3.139759999999999991e+02   3.481865901688725984e+01
  3.161070000000000277e+02   3.410083354184162374e+01
  3.182370000000000232e+02   3.370289652110195533e+01
  3.203670000000000186e+02   3.325377627634319566e+01
  3.224979999999999905e+02   3.304419820979107669e+01
  3.246290000000000191e+02   3.288620444279898436e+01
  3.267599999999999909e+02   3.234419979230730036e+01
  3.288899999999999864e+02   3.241142395994970116e+01
  3.310219999999999914e+02   3.217978518417539391e+01
  3.331530000000000200e+02   3.186870332916064896e+01
  3.352850000000000250e+02   3.196847008085659425e+01
  3.374159999999999968e+02   3.157072579256803024e+01
  3.395480000000000018e+02   3.233639531967380520e+01
  3.416800000000000068e+02   3.260270854470208235e+01
  3.438109999999999786e+02   3.310749277996783491e+01
  3.459430000000000405e+02   3.310898622610059050e+01
  3.480759999999999650e+02   3.319942510423698678e+01
  3.502080000000000268e+02   3.328674413648621311e+01
  3.523399999999999750e+02   3.333479215017911912e+01
  3.544719999999999800e+02   3.396673266758617160e+01
  3.566050000000000182e+02   3.459636569498515257e+01
  3.587369999999999663e+02   3.535137828143877670e+01
  3.608700000000000045e+02   3.635698960773734711e+01
  3.630030000000000427e+02   3.646214872961548537e+01
  3.651359999999999673e+02   3.808879399412681721e+01
  3.672690000000000055e+02   3.642195386018873648e+01
  3.694019999999999868e+02   3.742838801233457957e+01
  3.715350000000000250e+02   3.552565746515224276e+01
  3.736680000000000064e+02   3.657805314697645116e+01
  3.758009999999999877e+02   3.430298681618492651e+01
  3.779340000000000259e+02   3.537705572498578022e+01
  3.800669999999999504e+02   3.255414171525490019e+01
  3.821999999999999886e+02   3.355116189282416883e+01
  3.843330000000000268e+02   2.973585305578205862e+01
  3.864660000000000082e+02   3.213631325466729294e+01
  3.886000000000000227e+02   3.135509462710686535e+01
  3.907330000000000041e+02   3.668829681902333562e+01
  3.928669999999999618e+02   3.478652633195333976e+01
