#                         y+                    alphat+
  4.499850000000000239e-01   7.731057796112355727e-05
  6.867989999999999373e-01   2.836964173713998135e-04
  9.320819999999999661e-01   7.341016843841293620e-04
  1.186280000000000001e+00   1.566713543468753467e-03
  1.449820000000000109e+00   2.953168036398972750e-03
  1.723159999999999803e+00   5.097102445154148842e-03
  2.006749999999999812e+00   8.228134873043477585e-03
  2.301020000000000287e+00   1.259898534689833129e-02
  2.606399999999999828e+00   1.848085633857047064e-02
  2.923340000000000050e+00   2.615682976762881418e-02
  3.252270000000000216e+00   3.593499657029356614e-02
  3.593630000000000102e+00   4.814512811538296938e-02
  3.947830000000000172e+00   6.315015270862443797e-02
  4.315299999999999692e+00   8.134540727040075192e-02
  4.696439999999999948e+00   1.031857591714154671e-01
  5.091669999999999696e+00   1.291350302849836873e-01
  5.501389999999999780e+00   1.597365088416768386e-01
  5.925990000000000535e+00   1.955534965932648750e-01
  6.365859999999999630e+00   2.371785244146636940e-01
  6.821360000000000312e+00   2.852966559963217019e-01
  7.292880000000000251e+00   3.404902400581742428e-01
  7.780750000000000277e+00   4.036716298658065694e-01
  8.285360000000000724e+00   4.753731268360558704e-01
  8.807000000000000384e+00   5.565188180893396730e-01
  9.345939999999998804e+00   6.476516422241883619e-01
  9.902649999999999508e+00   7.499132888721752321e-01
  1.047729999999999961e+01   8.634866542232079167e-01
  1.107019999999999982e+01   9.892655417817326491e-01
  1.168169999999999931e+01   1.128316749527003893e+00
  1.231199999999999939e+01   1.280738514760127122e+00
  1.296139999999999937e+01   1.447710865802995128e+00
  1.362989999999999924e+01   1.630094981328104264e+00
  1.431809999999999938e+01   1.826856271167255130e+00
  1.502599999999999980e+01   2.042707777136729685e+00
  1.575380000000000003e+01   2.274313827366846841e+00
  1.650169999999999959e+01   2.523688393258729068e+00
  1.726989999999999981e+01   2.792179913215305120e+00
  1.805849999999999866e+01   3.077644585961929469e+00
  1.886759999999999948e+01   3.382923643208158637e+00
  1.969739999999999824e+01   3.702304458338769866e+00
  2.054799999999999827e+01   4.041845193577978002e+00
  2.141939999999999955e+01   4.399825279983068604e+00
  2.231180000000000163e+01   4.773796167948124669e+00
  2.322530000000000072e+01   5.166365367304845080e+00
  2.415980000000000061e+01   5.581649899467554299e+00
  2.511540000000000106e+01   6.003591816807168691e+00
  2.609219999999999828e+01   6.453400825580215994e+00
  2.708999999999999986e+01   6.907999049738473119e+00
  2.810910000000000153e+01   7.384069946957103170e+00
  2.914930000000000021e+01   7.855474543670774246e+00
  3.021049999999999969e+01   8.335752931297582435e+00
  3.129269999999999996e+01   8.822844008186951470e+00
  3.239589999999999748e+01   9.301740421163952277e+00
  3.352009999999999934e+01   9.812154360516624152e+00
  3.466499999999999915e+01   1.029981624951028962e+01
  3.583080000000000354e+01   1.080027264733807080e+01
  3.701700000000000301e+01   1.131982804864881409e+01
  3.822379999999999711e+01   1.182935058759409230e+01
  3.945100000000000051e+01   1.235669328374059539e+01
  4.069839999999999947e+01   1.288080700727872596e+01
  4.196600000000000108e+01   1.340255637292129443e+01
  4.325339999999999918e+01   1.390706742177148847e+01
  4.456060000000000088e+01   1.446403151906516271e+01
  4.588730000000000331e+01   1.500173928180618432e+01
  4.723340000000000316e+01   1.551766104576399208e+01
  4.859870000000000090e+01   1.608996271529018074e+01
  4.998299999999999699e+01   1.659975819348129633e+01
  5.138600000000000279e+01   1.713722653648065020e+01
  5.280760000000000076e+01   1.772054137214489700e+01
  5.424759999999999849e+01   1.826468122824313767e+01
  5.570550000000000068e+01   1.883601547653329078e+01
  5.718130000000000024e+01   1.939492279230004712e+01
  5.867479999999999762e+01   1.993426861621423640e+01
  6.018549999999999756e+01   2.050016166186329514e+01
  6.171340000000000003e+01   2.104142953222201484e+01
  6.325809999999999889e+01   2.160111636532669266e+01
  6.481929999999999836e+01   2.213217690300546892e+01
  6.639679999999999893e+01   2.269049682572910243e+01
  6.799039999999999395e+01   2.315944761084430681e+01
  6.959959999999999525e+01   2.370773704945797533e+01
  7.122440000000000282e+01   2.415046510723649931e+01
  7.286430000000000007e+01   2.462321176040194715e+01
  7.451909999999999457e+01   2.503416561493705217e+01
  7.618850000000000477e+01   2.551177817758601662e+01
  7.787239999999999895e+01   2.604051751569252815e+01
