       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.110600e+00   0.184704e-03  -0.156692e+01   0.240597e-03   0.156661e+01   0.112425e-03
   0.335590e+00   0.296686e-02  -0.156855e+01   0.393280e-02   0.156235e+01   0.704865e-03
   0.568390e+00   0.141519e-01  -0.157147e+01   0.191138e-01   0.154009e+01   0.189006e-02
   0.809440e+00   0.423779e-01  -0.157390e+01   0.576215e-01   0.147760e+01   0.369512e-02
   0.105918e+01   0.991961e-01  -0.157024e+01   0.132188e+00   0.134484e+01   0.597651e-02
   0.131805e+01   0.197970e+00  -0.155162e+01   0.248817e+00   0.111334e+01   0.850417e-02
   0.158649e+01   0.351132e+00  -0.151058e+01   0.397648e+00   0.772959e+00   0.111574e-01
   0.186496e+01   0.566177e+00  -0.144632e+01   0.549318e+00   0.344848e+00   0.140245e-01
   0.215388e+01   0.841637e+00  -0.136665e+01   0.661448e+00  -0.119147e+00   0.172853e-01
   0.245371e+01   0.116471e+01  -0.128528e+01   0.693126e+00  -0.551584e+00   0.209765e-01
   0.276487e+01   0.151183e+01  -0.121617e+01   0.620114e+00  -0.890935e+00   0.248358e-01
   0.308781e+01   0.185244e+01  -0.116850e+01   0.443438e+00  -0.109904e+01   0.283322e-01
   0.342295e+01   0.215496e+01  -0.114419e+01   0.188173e+00  -0.116808e+01   0.308603e-01
   0.377073e+01   0.239320e+01  -0.113865e+01  -0.105761e+00  -0.111683e+01   0.319702e-01
   0.413156e+01   0.255103e+01  -0.114349e+01  -0.395784e+00  -0.980257e+00   0.315010e-01
   0.450587e+01   0.262390e+01  -0.114970e+01  -0.646833e+00  -0.797790e+00   0.295765e-01
   0.489406e+01   0.261750e+01  -0.114998e+01  -0.836852e+00  -0.604165e+00   0.265049e-01
   0.529653e+01   0.254464e+01  -0.113992e+01  -0.957575e+00  -0.424482e+00   0.226641e-01
   0.571369e+01   0.242158e+01  -0.111807e+01  -0.101205e+01  -0.273045e+00   0.184128e-01
   0.614592e+01   0.226485e+01  -0.108527e+01  -0.101062e+01  -0.154930e+00   0.140368e-01
   0.659361e+01   0.208925e+01  -0.104379e+01  -0.966890e+00  -0.688393e-01   0.973778e-02
   0.705712e+01   0.190672e+01  -0.996422e+00  -0.894640e+00  -0.100155e-01   0.564449e-02
   0.753681e+01   0.172616e+01  -0.945874e+00  -0.805924e+00   0.274647e-01   0.183067e-02
   0.803304e+01   0.155365e+01  -0.894394e+00  -0.710208e+00   0.492922e-01  -0.166125e-02
   0.854614e+01   0.139289e+01  -0.843689e+00  -0.614290e+00   0.602940e-01  -0.479729e-02
   0.907647e+01   0.124578e+01  -0.794908e+00  -0.522618e+00   0.641971e-01  -0.755280e-02
   0.962433e+01   0.111292e+01  -0.748711e+00  -0.437782e+00   0.636570e-01  -0.992013e-02
   0.101900e+02   0.994041e+00  -0.705406e+00  -0.361035e+00   0.605021e-01  -0.118979e-01
   0.107738e+02   0.888343e+00  -0.665071e+00  -0.292721e+00   0.559619e-01  -0.134870e-01
