       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.
   0.440135e+00   0.903677e-04  -0.121327e+00   0.209992e-03   0.121079e+00   0.525525e-04
   0.134830e+01   0.147719e-02  -0.121178e+00   0.295632e-02   0.116877e+00   0.132735e-03
   0.231394e+01   0.691618e-02  -0.119550e+00   0.113728e-01   0.101404e+00   0.142761e-03
   0.334055e+01   0.193397e-01  -0.115955e+00   0.245963e-01   0.720964e-01   0.773277e-04
   0.443179e+01   0.402331e-01  -0.111401e+00   0.371245e-01   0.340574e-01   0.138658e-04
   0.559154e+01   0.683539e-01  -0.107551e+00   0.424808e-01  -0.326613e-02   0.175657e-04
   0.682388e+01   0.997784e-01  -0.105598e+00   0.375257e-01  -0.316317e-01   0.747772e-04
   0.813310e+01   0.129358e+00  -0.105660e+00   0.239052e-01  -0.474840e-01   0.119647e-03
   0.952371e+01   0.152633e+00  -0.106962e+00   0.630479e-02  -0.518736e-01   0.102187e-03
   0.110004e+02   0.167106e+00  -0.108424e+00  -0.103723e-01  -0.482879e-01   0.213029e-04
   0.125683e+02   0.172454e+00  -0.109162e+00  -0.228897e-01  -0.404919e-01  -0.901645e-04
   0.142324e+02   0.169965e+00  -0.108690e+00  -0.300890e-01  -0.313807e-01  -0.195276e-03
   0.159984e+02   0.161713e+00  -0.106883e+00  -0.323637e-01  -0.227384e-01  -0.271446e-03
   0.178718e+02   0.149872e+00  -0.103851e+00  -0.308992e-01  -0.154350e-01  -0.312584e-03
   0.198586e+02   0.136298e+00  -0.998198e-01  -0.270633e-01  -0.973808e-02  -0.323197e-03
   0.219651e+02   0.122368e+00  -0.950442e-01  -0.220536e-01  -0.558301e-02  -0.312528e-03
   0.241978e+02   0.108988e+00  -0.897659e-01  -0.167696e-01  -0.274157e-02  -0.289102e-03
   0.265632e+02   0.966728e-01  -0.842007e-01  -0.118118e-01  -0.920494e-03  -0.260098e-03
   0.290686e+02   0.856561e-01  -0.785336e-01  -0.752554e-02   0.174074e-03  -0.229040e-03
   0.317210e+02   0.759816e-01  -0.729096e-01  -0.404410e-02   0.771839e-03  -0.200302e-03
   0.345279e+02   0.675820e-01  -0.674348e-01  -0.137839e-02   0.105515e-02  -0.176031e-03
   0.374970e+02   0.603411e-01  -0.621887e-01   0.533780e-03   0.115677e-02  -0.157006e-03
   0.406364e+02   0.541209e-01  -0.572207e-01   0.180892e-02   0.114924e-02  -0.141592e-03
   0.439540e+02   0.487674e-01  -0.525548e-01   0.258915e-02   0.107090e-02  -0.127371e-03
   0.474582e+02   0.441276e-01  -0.482037e-01   0.299550e-02   0.965301e-03  -0.115298e-03
   0.511574e+02   0.400706e-01  -0.441648e-01   0.312601e-02   0.864032e-03  -0.104204e-03
   0.550604e+02   0.365094e-01  -0.404321e-01   0.307169e-02   0.753692e-03  -0.972989e-04
   0.591757e+02   0.334012e-01  -0.370079e-01   0.286245e-02   0.656340e-03  -0.879494e-04
   0.635122e+02   0.306865e-01  -0.338828e-01   0.254847e-02   0.570857e-03  -0.769695e-04
   0.680786e+02   0.282877e-01  -0.310378e-01   0.219974e-02   0.483498e-03  -0.668800e-04
   0.728837e+02   0.261681e-01  -0.284555e-01   0.181941e-02   0.414470e-03  -0.535001e-04
   0.779362e+02   0.242901e-01  -0.261207e-01   0.143427e-02   0.353982e-03  -0.423612e-04
   0.832447e+02   0.225843e-01  -0.240059e-01   0.108392e-02   0.306120e-03  -0.316356e-04
   0.888175e+02   0.210171e-01  -0.220775e-01   0.768607e-03   0.265426e-03  -0.263227e-04
   0.946626e+02   0.195899e-01  -0.203191e-01   0.484523e-03   0.222956e-03  -0.218067e-04
   0.100788e+03   0.182886e-01  -0.187225e-01   0.241334e-03   0.172065e-03  -0.205319e-04
   0.107201e+03   0.170739e-01  -0.172600e-01   0.310653e-04   0.135947e-03  -0.190246e-04
   0.113907e+03   0.159170e-01  -0.159103e-01  -0.140732e-03   0.116587e-03  -0.173641e-04
   0.120914e+03   0.148333e-01  -0.146662e-01  -0.282191e-03   0.964266e-04  -0.186961e-04
   0.128227e+03   0.138246e-01  -0.135199e-01  -0.397319e-03   0.735885e-04  -0.190746e-04
   0.135851e+03   0.128605e-01  -0.124609e-01  -0.474432e-03   0.577038e-04  -0.171492e-04
   0.143788e+03   0.119243e-01  -0.114812e-01  -0.505348e-03   0.436083e-04  -0.185988e-04
   0.152043e+03   0.110323e-01  -0.105741e-01  -0.508633e-03   0.304417e-04  -0.200256e-04
   0.160615e+03   0.102035e-01  -0.973014e-02  -0.519424e-03   0.253333e-04  -0.207304e-04
   0.169507e+03   0.941311e-02  -0.894173e-02  -0.516797e-03   0.251031e-04  -0.203141e-04
   0.178717e+03   0.865459e-02  -0.820293e-02  -0.487601e-03   0.213809e-04  -0.145659e-04
   0.188242e+03   0.792864e-02  -0.751400e-02  -0.439269e-03   0.153682e-04  -0.926002e-05
   0.198079e+03   0.720688e-02  -0.686567e-02  -0.355416e-03   0.876674e-05  -0.543824e-05
   0.208223e+03   0.649938e-02  -0.625488e-02  -0.259006e-03   0.987501e-05  -0.462986e-05
   0.218666e+03   0.582010e-02  -0.568219e-02  -0.160435e-03   0.144031e-04  -0.812185e-05
   0.229401e+03   0.517173e-02  -0.514835e-02  -0.358083e-04   0.763375e-05  -0.479386e-05
   0.240415e+03   0.455298e-02  -0.465053e-02   0.866671e-04   0.125402e-04   0.166549e-05
   0.251698e+03   0.396332e-02  -0.418453e-02   0.215863e-03   0.104092e-04   0.505877e-05
   0.263236e+03   0.339832e-02  -0.374909e-02   0.347411e-03   0.163985e-04   0.130461e-04
   0.275014e+03   0.285515e-02  -0.334428e-02   0.484988e-03   0.222967e-04   0.181553e-04
   0.287013e+03   0.234962e-02  -0.297624e-02   0.624675e-03   0.203975e-04   0.184518e-04
   0.299216e+03   0.188683e-02  -0.264093e-02   0.748938e-03   0.273862e-04   0.222288e-04
   0.311603e+03   0.145808e-02  -0.233849e-02   0.869930e-03   0.365692e-04   0.260885e-04
