       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.413323e+02   0.609675e-01  -0.775491e-01   0.134487e-01   0.188492e-02  -0.124804e-02
   0.426097e+02   0.584298e-01  -0.746221e-01   0.132520e-01   0.170351e-02  -0.123681e-02
   0.439069e+02   0.560669e-01  -0.718209e-01   0.130026e-01   0.153288e-02  -0.121853e-02
   0.452239e+02   0.538726e-01  -0.691508e-01   0.126887e-01   0.139781e-02  -0.119175e-02
   0.465603e+02   0.518358e-01  -0.666126e-01   0.123104e-01   0.131034e-02  -0.115615e-02
   0.479160e+02   0.499354e-01  -0.641906e-01   0.119028e-01   0.123748e-02  -0.111499e-02
   0.492909e+02   0.481481e-01  -0.618682e-01   0.114991e-01   0.114924e-02  -0.107173e-02
   0.506845e+02   0.464579e-01  -0.596455e-01   0.110910e-01   0.106885e-02  -0.102769e-02
   0.520969e+02   0.448538e-01  -0.575269e-01   0.106651e-01   0.102652e-02  -0.981441e-03
   0.535276e+02   0.433280e-01  -0.555001e-01   0.102547e-01   0.981626e-03  -0.935744e-03
   0.549765e+02   0.418777e-01  -0.535556e-01   0.987710e-02   0.907290e-03  -0.893436e-03
   0.564434e+02   0.404964e-01  -0.516956e-01   0.950527e-02   0.840449e-03  -0.853448e-03
   0.579281e+02   0.391670e-01  -0.499127e-01   0.913827e-02   0.792352e-03  -0.815077e-03
   0.594301e+02   0.378767e-01  -0.481980e-01   0.880047e-02   0.741784e-03  -0.779024e-03
   0.609494e+02   0.366277e-01  -0.465530e-01   0.849844e-02   0.680531e-03  -0.746358e-03
   0.624858e+02   0.354299e-01  -0.449840e-01   0.822372e-02   0.611827e-03  -0.718570e-03
   0.640387e+02   0.342942e-01  -0.434979e-01   0.796511e-02   0.542576e-03  -0.696065e-03
   0.656081e+02   0.332295e-01  -0.420951e-01   0.770254e-02   0.484549e-03  -0.678446e-03
   0.671936e+02   0.322344e-01  -0.407654e-01   0.742441e-02   0.440882e-03  -0.665680e-03
   0.687950e+02   0.312972e-01  -0.395013e-01   0.714041e-02   0.405216e-03  -0.658457e-03
   0.704121e+02   0.304101e-01  -0.383016e-01   0.685608e-02   0.381384e-03  -0.654039e-03
   0.720444e+02   0.295691e-01  -0.371561e-01   0.657184e-02   0.363380e-03  -0.651755e-03
   0.736917e+02   0.287645e-01  -0.360501e-01   0.628825e-02   0.345403e-03  -0.651903e-03
   0.753538e+02   0.279871e-01  -0.349812e-01   0.601115e-02   0.329557e-03  -0.653413e-03
   0.770305e+02   0.272384e-01  -0.339528e-01   0.574101e-02   0.318717e-03  -0.654699e-03
   0.787212e+02   0.265232e-01  -0.329631e-01   0.548186e-02   0.301403e-03  -0.656675e-03
   0.804260e+02   0.258412e-01  -0.320107e-01   0.523686e-02   0.271811e-03  -0.660867e-03
   0.821442e+02   0.251873e-01  -0.310951e-01   0.499838e-02   0.242323e-03  -0.667038e-03
   0.838759e+02   0.245553e-01  -0.302131e-01   0.476168e-02   0.222766e-03  -0.673360e-03
   0.856202e+02   0.239392e-01  -0.293599e-01   0.453249e-02   0.207575e-03  -0.680645e-03
   0.873779e+02   0.233335e-01  -0.285347e-01   0.431244e-02   0.200478e-03  -0.688276e-03
   0.891475e+02   0.227390e-01  -0.277380e-01   0.410696e-02   0.196262e-03  -0.695742e-03
   0.909298e+02   0.221684e-01  -0.269715e-01   0.391909e-02   0.180581e-03  -0.703413e-03
   0.927231e+02   0.216394e-01  -0.262402e-01   0.372594e-02   0.164539e-03  -0.710378e-03
   0.945290e+02   0.211589e-01  -0.255429e-01   0.351297e-02   0.154412e-03  -0.716588e-03
   0.963452e+02   0.207178e-01  -0.248735e-01   0.328940e-02   0.143408e-03  -0.722839e-03
   0.981733e+02   0.203010e-01  -0.242292e-01   0.306902e-02   0.129394e-03  -0.729780e-03
   0.100012e+03   0.198959e-01  -0.236110e-01   0.285688e-02   0.121592e-03  -0.736667e-03
   0.101861e+03   0.194963e-01  -0.230154e-01   0.265868e-02   0.117854e-03  -0.742559e-03
   0.103720e+03   0.191053e-01  -0.224388e-01   0.247580e-02   0.109358e-03  -0.748345e-03
   0.105589e+03   0.187266e-01  -0.218848e-01   0.230006e-02   0.107033e-03  -0.751132e-03
   0.107468e+03   0.183621e-01  -0.213553e-01   0.213635e-02   0.106613e-03  -0.750223e-03
   0.109356e+03   0.180155e-01  -0.208488e-01   0.198351e-02   0.103027e-03  -0.746730e-03
   0.111253e+03   0.176926e-01  -0.203657e-01   0.183097e-02   0.995423e-04  -0.742567e-03
   0.113160e+03   0.173948e-01  -0.199033e-01   0.167399e-02   0.970521e-04  -0.737487e-03
   0.115074e+03   0.171149e-01  -0.194580e-01   0.152240e-02   0.906596e-04  -0.729974e-03
   0.116997e+03   0.168404e-01  -0.190278e-01   0.138694e-02   0.810438e-04  -0.719469e-03
   0.118928e+03   0.165634e-01  -0.186129e-01   0.127478e-02   0.688957e-04  -0.705731e-03
   0.120868e+03   0.162846e-01  -0.182142e-01   0.118050e-02   0.605347e-04  -0.688574e-03
   0.122814e+03   0.160046e-01  -0.178286e-01   0.109899e-02   0.552345e-04  -0.669762e-03
   0.124768e+03   0.157215e-01  -0.174501e-01   0.103131e-02   0.464975e-04  -0.650770e-03
   0.126729e+03   0.154358e-01  -0.170776e-01   0.969181e-03   0.416023e-04  -0.630969e-03
   0.128697e+03   0.151512e-01  -0.167106e-01   0.906344e-03   0.425412e-04  -0.610516e-03
   0.130672e+03   0.148679e-01  -0.163473e-01   0.844689e-03   0.448961e-04  -0.589775e-03
   0.132654e+03   0.145796e-01  -0.159859e-01   0.791764e-03   0.452154e-04  -0.569383e-03
   0.134641e+03   0.142820e-01  -0.156266e-01   0.753959e-03   0.397085e-04  -0.551009e-03
   0.136635e+03   0.139788e-01  -0.152733e-01   0.727388e-03   0.309562e-04  -0.536165e-03
   0.138635e+03   0.136782e-01  -0.149320e-01   0.702982e-03   0.270427e-04  -0.523776e-03
   0.140640e+03   0.133905e-01  -0.146049e-01   0.676829e-03   0.245853e-04  -0.512941e-03
   0.142650e+03   0.131217e-01  -0.142896e-01   0.641402e-03   0.235677e-04  -0.502861e-03
   0.144666e+03   0.128643e-01  -0.139825e-01   0.597028e-03   0.278190e-04  -0.493306e-03
   0.146686e+03   0.126055e-01  -0.136810e-01   0.561573e-03   0.300838e-04  -0.483876e-03
   0.148713e+03   0.123446e-01  -0.133859e-01   0.545289e-03   0.215068e-04  -0.474505e-03
   0.150743e+03   0.120948e-01  -0.131010e-01   0.532232e-03   0.864038e-05  -0.465351e-03
   0.152778e+03   0.118708e-01  -0.128294e-01   0.502104e-03  -0.461205e-06  -0.456988e-03
