       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.110600e+00   0.100658e-03  -0.111456e+01   0.138470e-03   0.111436e+01   0.361478e-04
   0.335590e+00   0.160243e-02  -0.111527e+01   0.222994e-02   0.111157e+01   0.135814e-03
   0.568390e+00   0.754041e-02  -0.111610e+01   0.106103e-01   0.109826e+01   0.303688e-03
   0.809440e+00   0.222553e-01  -0.111599e+01   0.313701e-01   0.106291e+01   0.542607e-03
   0.105918e+01   0.514538e-01  -0.111252e+01   0.712468e-01   0.990620e+00   0.795655e-03
   0.131805e+01   0.101875e+00  -0.110176e+01   0.134744e+00   0.866109e+00   0.968432e-03
   0.158649e+01   0.180327e+00  -0.107975e+01   0.220179e+00   0.680238e+00   0.997747e-03
   0.186496e+01   0.292135e+00  -0.104477e+01   0.316898e+00   0.436651e+00   0.918830e-03
   0.215388e+01   0.439324e+00  -0.998879e+00   0.405957e+00   0.154462e+00   0.864641e-03
   0.245371e+01   0.619086e+00  -0.947739e+00   0.464765e+00  -0.135117e+00   0.995143e-03
   0.276487e+01   0.823179e+00  -0.898791e+00   0.473884e+00  -0.396865e+00   0.140701e-02
   0.308781e+01   0.103860e+01  -0.858768e+00   0.423079e+00  -0.600829e+00   0.207924e-02
   0.342295e+01   0.124950e+01  -0.831689e+00   0.314246e+00  -0.729167e+00   0.288559e-02
   0.377073e+01   0.143984e+01  -0.818047e+00   0.160407e+00  -0.778542e+00   0.365781e-02
   0.413156e+01   0.159606e+01  -0.815246e+00  -0.182759e-01  -0.758278e+00   0.425600e-02
   0.450587e+01   0.170899e+01  -0.818809e+00  -0.199683e+00  -0.685882e+00   0.461122e-02
   0.489406e+01   0.177473e+01  -0.823798e+00  -0.364338e+00  -0.581864e+00   0.473325e-02
   0.529653e+01   0.179440e+01  -0.825979e+00  -0.498369e+00  -0.465361e+00   0.469290e-02
   0.571369e+01   0.177300e+01  -0.822490e+00  -0.594541e+00  -0.351381e+00   0.458711e-02
   0.614592e+01   0.171795e+01  -0.812005e+00  -0.651677e+00  -0.249760e+00   0.450708e-02
   0.659361e+01   0.163764e+01  -0.794528e+00  -0.673143e+00  -0.165453e+00   0.451928e-02
   0.705712e+01   0.154026e+01  -0.770994e+00  -0.665038e+00  -0.995763e-01   0.465591e-02
   0.753681e+01   0.143304e+01  -0.742852e+00  -0.634554e+00  -0.507136e-01   0.491880e-02
   0.803304e+01   0.132186e+01  -0.711689e+00  -0.588737e+00  -0.161466e-01   0.529033e-02
   0.854614e+01   0.121123e+01  -0.678956e+00  -0.533710e+00   0.717616e-02   0.574051e-02
   0.907647e+01   0.110434e+01  -0.645827e+00  -0.474338e+00   0.220632e-01   0.623444e-02
   0.962433e+01   0.100329e+01  -0.613165e+00  -0.414232e+00   0.308527e-01   0.674081e-02
   0.101900e+02   0.909312e+00  -0.581543e+00  -0.355899e+00   0.353644e-01   0.723399e-02
   0.107738e+02   0.822991e+00  -0.551309e+00  -0.300940e+00   0.369524e-01   0.769423e-02
   0.113760e+02   0.744420e+00  -0.522651e+00  -0.250281e+00   0.366194e-01   0.810749e-02
   0.119969e+02   0.673366e+00  -0.495646e+00  -0.204364e+00   0.351125e-01   0.846870e-02
   0.126367e+02   0.609388e+00  -0.470269e+00  -0.163286e+00   0.329440e-01   0.877697e-02
   0.132956e+02   0.551941e+00  -0.446431e+00  -0.126905e+00   0.304231e-01   0.902854e-02
   0.139741e+02   0.500461e+00  -0.424038e+00  -0.949584e-01   0.277591e-01   0.922318e-02
   0.146720e+02   0.454398e+00  -0.403016e+00  -0.671441e-01   0.251295e-01   0.936678e-02
