#                         y+                      nu_t+
  1.816330000000000000e+00   6.736854746410495497e-03
  2.811560000000000059e+00   2.448154234071154775e-02
  3.869540000000000202e+00   6.124632192254914065e-02
  4.994040000000000035e+00   1.241268779267360317e-01
  6.189040000000000319e+00   2.200080259027422103e-01
  7.458719999999999573e+00   3.559005087359831676e-01
  8.807479999999999976e+00   5.393352410017029364e-01
  1.023990000000000045e+01   7.785169825045344938e-01
  1.176099999999999923e+01   1.082597790404134397e+00
  1.337560000000000038e+01   1.460640931542805054e+00
  1.508929999999999971e+01   1.922862462696527830e+00
  1.690749999999999886e+01   2.477867377763502077e+00
  1.883609999999999829e+01   3.134574737279752998e+00
  2.088119999999999976e+01   3.901838543944875060e+00
  2.304909999999999926e+01   4.777902687128918302e+00
  2.534639999999999915e+01   5.773887449595686228e+00
  2.778010000000000090e+01   6.875799912904830613e+00
  3.035709999999999908e+01   8.072393322263039295e+00
  3.308480000000000132e+01   9.355299862856540472e+00
  3.597090000000000032e+01   1.070272367548093762e+01
  3.902320000000000277e+01   1.206824494299046968e+01
  4.224960000000000093e+01   1.344667019492878168e+01
  4.565840000000000032e+01   1.482403847062774460e+01
  4.925800000000000267e+01   1.615390370444419688e+01
  5.305689999999999884e+01   1.744865717216011092e+01
  5.706389999999999674e+01   1.870049777964883475e+01
  6.128750000000000142e+01   1.986116137212121657e+01
  6.573680000000000234e+01   2.093809177925039933e+01
  7.042040000000000077e+01   2.192670359942965064e+01
  7.534699999999999420e+01   2.285577765590392829e+01
  8.052540000000000475e+01   2.368336581975190214e+01
  8.596399999999999864e+01   2.445325597545149066e+01
  9.167100000000000648e+01   2.512108153751772832e+01
  9.765430000000000632e+01   2.576140092686216576e+01
  1.039210000000000065e+02   2.629419968155813336e+01
  1.104800000000000040e+02   2.680148414385355338e+01
  1.173349999999999937e+02   2.730052933669806237e+01
  1.244939999999999998e+02   2.776002332660888783e+01
  1.319610000000000127e+02   2.815158741023546796e+01
  1.397400000000000091e+02   2.852367357139570103e+01
  1.478360000000000127e+02   2.881313479385482168e+01
  1.562489999999999952e+02   2.905705936629655994e+01
  1.649819999999999993e+02   2.908981684430675330e+01
  1.740329999999999870e+02   2.915024220939844568e+01
  1.834009999999999820e+02   2.902231577657052952e+01
  1.930829999999999984e+02   2.888605832096732939e+01
  2.030749999999999886e+02   2.876344875204649298e+01
  2.133709999999999809e+02   2.852329897823207006e+01
  2.239620000000000175e+02   2.831377443553496676e+01
  2.348390000000000271e+02   2.797035139547432792e+01
  2.459909999999999854e+02   2.747224808919808936e+01
  2.574060000000000059e+02   2.698389132914820721e+01
  2.690670000000000073e+02   2.632943533283357240e+01
  2.809599999999999795e+02   2.548338261447467801e+01
  2.930659999999999741e+02   2.482499257465244469e+01
  3.053659999999999854e+02   2.420234288174754766e+01
  3.178389999999999986e+02   2.352817497135901448e+01
  3.304630000000000223e+02   2.284338903577063817e+01
  3.432139999999999986e+02   2.221085431944412392e+01
  3.560690000000000168e+02   2.163174136890217270e+01
  3.690019999999999527e+02   2.161233608742477585e+01
  3.819880000000000564e+02   2.147635698689164130e+01
