       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.110600e+00   0.572356e-04  -0.823352e+00   0.869906e-04   0.823241e+00   0.327096e-04
   0.335590e+00   0.903539e-03  -0.823782e+00   0.138061e-02   0.821670e+00   0.172029e-03
   0.568390e+00   0.420258e-02  -0.823992e+00   0.643991e-02   0.813779e+00   0.429441e-03
   0.809440e+00   0.122489e-01  -0.823125e+00   0.186689e-01   0.793023e+00   0.816039e-03
   0.105918e+01   0.279944e-01  -0.819891e+00   0.418097e-01   0.751405e+00   0.131792e-02
   0.131805e+01   0.549434e-01  -0.812439e+00   0.787311e-01   0.680665e+00   0.190087e-02
   0.158649e+01   0.968062e-01  -0.798846e+00   0.129688e+00   0.574882e+00   0.253000e-02
   0.186496e+01   0.156899e+00  -0.777995e+00   0.190828e+00   0.433460e+00   0.319195e-02
   0.215388e+01   0.237372e+00  -0.750342e+00   0.253857e+00   0.263013e+00   0.390035e-02
   0.245371e+01   0.338428e+00  -0.718136e+00   0.307342e+00   0.770465e-01   0.467986e-02
   0.276487e+01   0.457775e+00  -0.684947e+00   0.339331e+00  -0.106622e+00   0.553690e-02
   0.308781e+01   0.590497e+00  -0.654693e+00   0.340422e+00  -0.269791e+00   0.643401e-02
   0.342295e+01   0.729450e+00  -0.630578e+00   0.306192e+00  -0.397781e+00   0.728360e-02
   0.377073e+01   0.866138e+00  -0.614325e+00   0.238216e+00  -0.482066e+00   0.796283e-02
   0.413156e+01   0.991875e+00  -0.605933e+00   0.143469e+00  -0.521067e+00   0.834451e-02
   0.450587e+01   0.109901e+01  -0.603912e+00   0.325044e-01  -0.519270e+00   0.832939e-02
   0.489406e+01   0.118188e+01  -0.605831e+00  -0.828822e-01  -0.485301e+00   0.786646e-02
   0.529653e+01   0.123738e+01  -0.608959e+00  -0.191801e+00  -0.429660e+00   0.695865e-02
   0.571369e+01   0.126496e+01  -0.610842e+00  -0.285786e+00  -0.362674e+00   0.565433e-02
   0.614592e+01   0.126628e+01  -0.609679e+00  -0.359522e+00  -0.293044e+00   0.403312e-02
   0.659361e+01   0.124462e+01  -0.604471e+00  -0.410847e+00  -0.227106e+00   0.219074e-02
   0.705712e+01   0.120419e+01  -0.594975e+00  -0.440240e+00  -0.168747e+00   0.224128e-03
   0.753681e+01   0.114954e+01  -0.581531e+00  -0.450044e+00  -0.119740e+00  -0.177891e-02
   0.803304e+01   0.108506e+01  -0.564848e+00  -0.443660e+00  -0.802970e-01  -0.374444e-02
   0.854614e+01   0.101469e+01  -0.545791e+00  -0.424854e+00  -0.496604e-01  -0.561376e-02
