                        y+                        uu+                        vv+                        ww+                      Diss.                    Diss..1                  Diss..1.1
  4.565840000000000032e+01   3.914456095796820634e+00   9.122129999999998295e-01   1.641119616499295164e+00  -5.755380536265817387e-02  -1.897840000000000291e-02  -2.784477452280232843e-02
  4.745819999999999794e+01   3.822089999999999321e+00   9.262378465468603661e-01   1.638729999999999798e+00  -5.432090000000001223e-02  -1.867485554635167980e-02  -2.697880000000000070e-02
  4.925800000000000267e+01   3.736767237954153664e+00   9.384920000000002149e-01   1.635243595357940505e+00  -5.136600143980454836e-02  -1.835689999999999544e-02  -2.614905163664615201e-02
  5.115740000000000265e+01   3.653540000000000454e+00   9.496837844599972378e-01   1.630500000000000060e+00  -4.851830000000001419e-02  -1.801028605915552111e-02  -2.531159999999999660e-02
  5.305689999999999884e+01   3.576536558416649747e+00   9.592549999999998578e-01   1.624794278074013221e+00  -4.591878399187084708e-02  -1.765620000000000037e-02  -2.451232350517437014e-02
  5.506040000000000134e+01   3.501360000000000028e+00   9.677693562817722972e-01   1.617879999999999763e+00  -4.341860000000000164e-02  -1.727854177224805166e-02  -2.370890000000000844e-02
  5.706389999999999674e+01   3.431709708184536467e+00   9.748240000000001348e-01   1.610195726671348249e+00  -4.114016377748546532e-02  -1.689959999999999726e-02  -2.294397435151178041e-02
  5.917569999999999908e+01   3.363599999999999923e+00   9.808499830207566550e-01   1.601420000000000066e+00  -3.895269999999999289e-02  -1.650167790838396806e-02  -2.217639999999999889e-02
  6.128750000000000142e+01   3.300292213491081039e+00   9.855770000000001474e-01   1.592094545661610239e+00  -3.695939842731776198e-02  -1.610750000000000029e-02  -2.144573350723392655e-02
  6.351219999999999999e+01   3.238259999999999472e+00   9.893048160573836292e-01   1.581759999999999611e+00  -3.504319999999999657e-02  -1.569840719171414559e-02  -2.071470000000000256e-02
  6.573680000000000234e+01   3.180518837701591384e+00   9.918879999999999919e-01   1.570982170597596372e+00  -3.329061937399602211e-02  -1.529729999999999632e-02  -2.002244858014246703e-02
  6.807859999999999445e+01   3.123889999999999834e+00   9.935185957208716445e-01   1.559300000000000130e+00  -3.160330000000000084e-02  -1.488525759481944266e-02  -1.933380000000000168e-02
  7.042040000000000077e+01   3.071045555704845054e+00   9.941729999999996403e-01   1.547422682419322904e+00  -3.006073174045890278e-02  -1.448489999999999500e-02  -1.868398538347535581e-02
  7.288370000000000459e+01   3.019029999999999880e+00   9.939552053073335003e-01   1.534829999999999917e+00  -2.857890000000000083e-02  -1.407743661063593985e-02  -1.803890000000000007e-02
  7.534699999999999420e+01   2.970175630973897363e+00   9.929389999999995720e-01   1.522225347223110647e+00  -2.722605514369803165e-02  -1.368429999999999473e-02  -1.742982494271243243e-02
  7.793619999999999948e+01   2.921809999999999796e+00   9.911449146658447562e-01   1.509009999999999962e+00  -2.592550000000000063e-02  -1.328656556926040115e-02  -1.682660000000000058e-02
  8.052540000000000475e+01   2.876119120805187723e+00   9.887280000000000513e-01   1.495864890652831791e+00  -2.473208845328934632e-02  -1.290440000000000337e-02  -1.625949623710592346e-02
  8.324469999999998038e+01   2.830670000000000908e+00   9.856387794679493108e-01   1.482179999999999609e+00  -2.357990000000000086e-02  -1.251936767899061373e-02  -1.569919999999999996e-02
  8.596399999999999864e+01   2.787492712215220436e+00   9.820700000000002206e-01   1.468657113386877988e+00  -2.251890607311154979e-02  -1.215069999999999865e-02  -1.517100636925270904e-02
  8.881749999999998124e+01   2.744290000000000340e+00   9.778854157717332685e-01   1.454639999999999933e+00  -2.149400000000000269e-02  -1.178095438818132709e-02  -1.464710000000000144e-02
  9.167100000000000648e+01   2.702924887767134798e+00   9.732990000000001363e-01   1.440771750824436426e+00  -2.055085613753942012e-02  -1.142790000000000125e-02  -1.415070635776271776e-02
  9.466259999999999764e+01   2.661290000000000155e+00   9.681041893994191128e-01   1.426290000000000280e+00  -1.964050000000000518e-02  -1.107468156198750803e-02  -1.365879999999999525e-02
  9.765430000000000632e+01   2.621218327515559832e+00   9.625580000000000247e-01   1.411766142613693598e+00  -1.880088949928437198e-02  -1.073780000000000047e-02  -1.319537973149892060e-02
  1.007879999999999967e+02   2.580750000000000099e+00   9.564170413989807606e-01   1.396499999999999853e+00  -1.798729999999999773e-02  -1.040133404743588674e-02  -1.273819999999999814e-02
  1.039210000000000065e+02   2.541671930679285207e+00   9.499720000000001496e-01   1.381203855493977617e+00  -1.723182666421013004e-02  -1.008030000000000211e-02  -1.230723650860952346e-02
  1.072009999999999934e+02   2.502089999999999481e+00   9.429300099165887072e-01   1.365189999999999904e+00  -1.649620000000000600e-02  -9.759174679132480087e-03  -1.188119999999999975e-02
  1.104800000000000040e+02   2.463748054927917153e+00   9.356189999999999785e-01   1.349219124278783877e+00  -1.581142917501321063e-02  -9.452539999999998860e-03  -1.147818625150948992e-02
  1.139069999999999965e+02   2.424920000000000186e+00   9.277218868435215260e-01   1.332600000000000007e+00  -1.514419999999999829e-02  -9.146676449203836740e-03  -1.107860000000000095e-02
  1.173349999999999937e+02   2.387305374002201219e+00   9.196020000000000305e-01   1.316066828370266339e+00  -1.452093575396966318e-02  -8.855170000000000749e-03  -1.069847782290433459e-02
  1.209140000000000015e+02   2.349299999999999056e+00   9.109352295559040025e-01   1.298860000000000126e+00  -1.391260000000000066e-02  -8.565633591333518190e-03  -1.032130000000000027e-02
  1.244940000000000282e+02   2.312539794748812660e+00   9.021160000000000290e-01   1.281651289988558817e+00  -1.334298969610690083e-02  -8.289960000000002466e-03  -9.963170105192292736e-03
  1.282270000000000039e+02   2.275510000000000144e+00   8.927993329191918903e-01   1.263679999999999914e+00  -1.278649999999999926e-02  -8.016030797144368253e-03  -9.608580000000000246e-03
  1.319610000000000127e+02   2.239715339811537032e+00   8.833699999999999886e-01   1.245660292929342994e+00  -1.226459483791361542e-02  -7.754969999999999919e-03  -9.271608928926066903e-03
  1.358510000000000275e+02   2.203450000000000131e+00   8.734404362882559614e-01   1.226859999999999840e+00  -1.175550000000000206e-02  -7.495910158156942997e-03  -8.938609999999994407e-03
  1.397400000000000375e+02   2.167879186677709402e+00   8.634319999999998663e-01   1.208051486226044968e+00  -1.127975993085537920e-02  -7.249059999999998144e-03  -8.623505652460297655e-03
  1.437879999999999825e+02   2.131200000000000205e+00   8.529529965666113878e-01   1.188420000000000254e+00  -1.081729999999999844e-02  -7.003860192439016752e-03  -8.313730000000000078e-03
  1.478360000000000127e+02   2.094552141982516602e+00   8.424040000000001527e-01   1.168718633935395879e+00  -1.038539046598556219e-02  -6.769439999999999832e-03  -8.021393778977984473e-03
  1.520430000000000064e+02   2.056449999999999889e+00   8.313537445246470536e-01   1.148329999999999851e+00  -9.965269999999996561e-03  -6.536035345631103534e-03  -7.733099999999999696e-03
  1.562489999999999952e+02   2.018414951514521771e+00   8.202199999999999491e-01   1.128200167174666202e+00  -9.570778554453721054e-03  -6.312280000000000842e-03  -7.457503870497730197e-03
  1.606150000000000091e+02   1.979270000000000085e+00   8.085808346229402810e-01   1.107560000000000322e+00  -9.184640000000000859e-03  -6.089443940778855799e-03  -7.182599999999996453e-03
  1.649819999999999993e+02   1.940735548943220756e+00   7.968750000000000000e-01   1.087114284794804098e+00  -8.818771914449319640e-03  -5.875699999999999326e-03  -6.917475885382791574e-03
  1.695070000000000050e+02   1.901509999999999811e+00   7.847037915643098049e-01   1.066079999999999917e+00  -8.458270000000000371e-03  -5.663451468912776565e-03  -6.653090000000000392e-03
  1.740329999999999870e+02   1.862972045144895450e+00   7.725219999999999310e-01   1.045145818443666608e+00  -8.114386554324252640e-03  -5.460190000000000182e-03  -6.399623549978189843e-03
  1.787170000000000130e+02   1.823770000000000335e+00   7.599379607473060183e-01   1.023579999999999934e+00  -7.775820000000000995e-03  -5.258996126549006674e-03  -6.149810000000001213e-03
  1.834010000000000105e+02   1.785202634649297515e+00   7.473769999999998470e-01   1.002084700650498039e+00  -7.455019232263040627e-03  -5.066849999999999479e-03  -5.913404756670299044e-03
  1.882419999999999902e+02   1.745959999999999734e+00   7.344229150212154833e-01   9.797850000000000170e-01  -7.141739999999997986e-03  -4.877420300854715639e-03  -5.682259999999998874e-03
  1.930829999999999984e+02   1.707276672633051273e+00   7.215499999999999137e-01   9.572598135250164342e-01  -6.846248614356777347e-03  -4.696620000000000308e-03  -5.463041933729626681e-03
  1.980790000000000077e+02   1.667779999999999818e+00   7.084079599660478843e-01   9.338560000000000194e-01  -6.558080000000002588e-03  -4.518332888276495665e-03  -5.247199999999999608e-03
  2.030749999999999886e+02   1.628553044241805914e+00   6.954260000000000996e-01   9.104427465327952218e-01  -6.284707209357547411e-03  -4.347959999999999672e-03  -5.039803721736684991e-03
  2.082230000000000132e+02   1.588349999999999707e+00   6.822172758459519315e-01   8.865149999999999419e-01  -6.015770000000001012e-03  -4.180145242595171944e-03  -4.833470000000000301e-03
  2.133710000000000093e+02   1.548342719804568723e+00   6.691660000000000386e-01   8.629666932479094221e-01  -5.757645889724100421e-03  -4.019449999999999933e-03  -4.633657990150688230e-03
  2.186659999999999968e+02   1.507429999999999826e+00   6.558934358564236788e-01   8.391370000000001328e-01  -5.504300000000000165e-03  -3.860908260048063079e-03  -4.435340000000000289e-03
  2.239619999999999891e+02   1.466772992712258805e+00   6.427779999999999605e-01   8.156764955209337975e-01  -5.264348143118231099e-03  -3.709060000000000135e-03  -4.244990584565316860e-03
  2.294010000000000105e+02   1.425210000000000088e+00   6.294799891330623565e-01   7.920789999999998665e-01  -5.030719999999997208e-03  -3.560046920119324353e-03  -4.058320000000000677e-03
  2.348389999999999986e+02   1.383733872208900983e+00   6.163399999999999990e-01   7.690660765268656496e-01  -4.808401502320492835e-03  -3.417660000000000316e-03  -3.880823966622402171e-03
  2.404149999999999920e+02   1.341150000000000064e+00   6.030119440466258363e-01   7.458770000000001232e-01  -4.590820000000001531e-03  -3.277922888606319557e-03  -3.707600000000000565e-03
  2.459910000000000139e+02   1.298463955435249950e+00   5.898510000000000142e-01   7.228844094325850289e-01  -4.382698775754029566e-03  -3.143749999999999843e-03  -3.542261452617496108e-03
  2.516980000000000075e+02   1.255030000000000090e+00   5.765957055723835989e-01   6.995450000000000834e-01  -4.179120000000000577e-03  -3.011557170038405007e-03  -3.380000000000000625e-03
  2.574060000000000059e+02   1.212219806772024233e+00   5.636439999999999229e-01   6.764599444784700211e-01  -3.985009402456432190e-03  -2.884820000000000613e-03  -3.223821244480667026e-03
  2.632359999999999900e+02   1.169130000000000003e+00   5.508164341748281734e-01   6.532890000000000086e-01  -3.797120000000000616e-03  -2.761405365889662948e-03  -3.071019999999998525e-03
  2.690670000000000073e+02   1.126590891685544049e+00   5.384020000000000472e-01   6.306469972055948059e-01  -3.620182758677635039e-03  -2.643809999999999910e-03  -2.925473284969787834e-03
  2.750140000000000100e+02   1.083839999999999915e+00   5.261554550558487087e-01   6.080590000000000162e-01  -3.450660000000000359e-03  -2.529550882531483857e-03  -2.783920000000000491e-03
  2.809599999999999795e+02   1.041847602762643099e+00   5.143009999999998971e-01   5.859519249166899035e-01  -3.291342230765106295e-03  -2.421050000000000112e-03  -2.648515194388601727e-03
  2.870129999999999768e+02   1.000039999999999818e+00   5.026124752331295742e-01   5.641359999999999708e-01  -3.137689999999999837e-03  -2.316430586304595116e-03  -2.516410000000000174e-03
  2.930659999999999741e+02   9.593442635575253341e-01   4.913350000000000772e-01   5.432384039475491866e-01  -2.991023364669011340e-03  -2.216999999999999787e-03  -2.389903995728233452e-03
  2.992160000000000082e+02   9.192139999999999755e-01   4.803454978669555731e-01   5.230239999999999334e-01  -2.849880000000000815e-03  -2.120650053061404194e-03  -2.268130000000000146e-03
  3.053659999999999854e+02   8.803427164339160393e-01   4.698989999999999556e-01   5.038605484678979618e-01  -2.717846098700356806e-03  -2.029330000000000196e-03  -2.154250050639516367e-03
  3.116030000000000086e+02   8.421349999999999669e-01   4.599231473733234044e-01   4.854630000000000889e-01  -2.593799999999999838e-03  -1.942403711308277135e-03  -2.046849999999999798e-03
  3.178389999999999986e+02   8.051420844649535002e-01   4.505779999999999230e-01   4.680967595432771744e-01  -2.480010405363914251e-03  -1.861669999999999948e-03  -1.947460533002828755e-03
  3.241510000000000105e+02   7.692700000000001204e-01   4.417578719540479204e-01   4.516999999999999904e-01  -2.375260000000000132e-03  -1.786559070449317234e-03  -1.855220000000000306e-03
  3.304630000000000223e+02   7.353651054108524265e-01   4.336039999999999894e-01   4.366294030346672961e-01  -2.280878087097337227e-03  -1.717910000000000010e-03  -1.771637232092776156e-03
  3.368389999999999986e+02   7.033149999999999125e-01   4.260735550465247767e-01   4.227500000000000702e-01  -2.195770000000000100e-03  -1.654852567683275447e-03  -1.695960000000000479e-03
  3.432139999999999986e+02   6.736562536744826746e-01   4.192810000000000148e-01   4.102122841150855903e-01  -2.120483197458970879e-03  -1.598019999999999909e-03  -1.628891701357103403e-03
  3.496419999999999959e+02   6.464400000000001256e-01   4.132065200003853800e-01   3.990270000000000206e-01  -2.053489999999999829e-03  -1.546944062687395172e-03  -1.569409999999999599e-03
  3.560690000000000168e+02   6.222031987262690578e-01   4.079460000000000308e-01   3.894055814713687225e-01  -1.994593346932150343e-03  -1.502059999999999940e-03  -1.517575794866019533e-03
  3.625360000000000014e+02   6.010069999999999579e-01   4.035012812969426266e-01   3.812829999999998720e-01  -1.943749999999999731e-03  -1.463041816749292108e-03  -1.473049999999999620e-03
