#                         y+                    alphat+
  4.499850000000000239e-01   8.861295653602425481e-05
  6.867989999999999373e-01   3.206644004106705675e-04
  9.320819999999999661e-01   8.158162082310171969e-04
  1.186280000000000001e+00   1.710704667763653791e-03
  1.449820000000000109e+00   3.171570457792251881e-03
  1.723159999999999803e+00   5.395414574634574585e-03
  2.006749999999999812e+00   8.607079085184677139e-03
  2.301020000000000287e+00   1.306107655932397388e-02
  2.606399999999999828e+00   1.903253846555557488e-02
  2.923340000000000050e+00   2.682229277477133494e-02
  3.252270000000000216e+00   3.674416478017133308e-02
  3.593630000000000102e+00   4.913669333633460118e-02
  3.947830000000000172e+00   6.434921275862996726e-02
  4.315299999999999692e+00   8.275948791896135803e-02
  4.696439999999999948e+00   1.047656492892626301e-01
  5.091669999999999696e+00   1.308030862076005607e-01
  5.501389999999999780e+00   1.613616108551205186e-01
  5.925990000000000535e+00   1.969017348289306135e-01
  6.365859999999999630e+00   2.380188985503189081e-01
  6.821360000000000312e+00   2.853444500358146563e-01
  7.292880000000000251e+00   3.394216919165228830e-01
  7.780750000000000277e+00   4.009289017880499073e-01
  8.285360000000000724e+00   4.707257746228570294e-01
  8.807000000000000384e+00   5.493075460929063292e-01
  9.345939999999998804e+00   6.377294400303527011e-01
  9.902649999999999508e+00   7.363429796525894355e-01
  1.047729999999999961e+01   8.466196886394441457e-01
  1.107019999999999982e+01   9.683659463627711794e-01
  1.168169999999999931e+01   1.103883306776455520e+00
  1.231199999999999939e+01   1.252769875391530396e+00
  1.296139999999999937e+01   1.415882230525594920e+00
  1.362989999999999924e+01   1.595491621043269692e+00
  1.431809999999999938e+01   1.789061436317073372e+00
  1.502599999999999980e+01   2.002077215871636451e+00
  1.575380000000000003e+01   2.229952339523201488e+00
  1.650169999999999959e+01   2.477049401889217517e+00
  1.726989999999999981e+01   2.741456697264600173e+00
  1.805849999999999866e+01   3.024173070552494291e+00
  1.886759999999999948e+01   3.328608362002470678e+00
  1.969739999999999824e+01   3.647165189428517529e+00
  2.054799999999999827e+01   3.988859012833294138e+00
  2.141939999999999955e+01   4.344568940835074500e+00
  2.231180000000000163e+01   4.722624142658069957e+00
  2.322530000000000072e+01   5.117626198139941351e+00
  2.415980000000000061e+01   5.529535019346136338e+00
  2.511540000000000106e+01   5.956797876156502802e+00
  2.609219999999999828e+01   6.406453687767591276e+00
  2.708999999999999986e+01   6.862861052444044319e+00
  2.810910000000000153e+01   7.341227437575253312e+00
  2.914930000000000021e+01   7.826665251444965499e+00
  3.021049999999999969e+01   8.316617837090287679e+00
  3.129269999999999996e+01   8.830742411356737875e+00
  3.239589999999999748e+01   9.336826520939833784e+00
  3.352009999999999934e+01   9.864408532168550181e+00
  3.466499999999999915e+01   1.038199881226365839e+01
  3.583080000000000354e+01   1.089890035945194313e+01
  3.701700000000000301e+01   1.143593829283626917e+01
  3.822379999999999711e+01   1.196292192051627090e+01
  3.945100000000000051e+01   1.248864847889925578e+01
  4.069839999999999947e+01   1.302852418523327671e+01
  4.196600000000000108e+01   1.355808917315646234e+01
  4.325339999999999918e+01   1.409613613955591482e+01
  4.456060000000000088e+01   1.462098174198278677e+01
  4.588730000000000331e+01   1.514477536042414307e+01
  4.723340000000000316e+01   1.567090514479805208e+01
  4.859870000000000090e+01   1.616838632099100792e+01
  4.998299999999999699e+01   1.667985167680325276e+01
  5.138600000000000279e+01   1.721279496435263923e+01
  5.280760000000000076e+01   1.773155979230206469e+01
  5.424759999999999849e+01   1.823967680621395360e+01
  5.570550000000000068e+01   1.876330815614214842e+01
  5.718130000000000024e+01   1.930041158956311165e+01
  5.867479999999999762e+01   1.985167680753991348e+01
  6.018549999999999756e+01   2.038718165383989600e+01
  6.171340000000000003e+01   2.093531417896942060e+01
  6.325809999999999889e+01   2.153749106679285319e+01
  6.481929999999999836e+01   2.208108775948754499e+01
  6.639679999999999893e+01   2.258862366121620013e+01
  6.799039999999999395e+01   2.317456341788943774e+01
  6.959959999999999525e+01   2.361069130571934238e+01
  7.122440000000000282e+01   2.417596826820684797e+01
  7.286430000000000007e+01   2.463512747878795750e+01
  7.451909999999999457e+01   2.511244866523456665e+01
  7.618850000000000477e+01   2.559591706993196780e+01
  7.787239999999999895e+01   2.608473627258515748e+01
  7.957040000000000646e+01   2.652779852058359111e+01
  8.128149999999999409e+01   2.697427541582973021e+01
  8.300690000000000168e+01   2.742151229946024316e+01
  8.474490000000000123e+01   2.793808236035959069e+01
  8.649550000000000693e+01   2.834142839376454148e+01
  8.825960000000000605e+01   2.879801181893257223e+01
  9.003549999999999898e+01   2.928837855569641491e+01
  9.182330000000000325e+01   2.966227895250780477e+01
  9.362290000000000134e+01   3.018936490296541919e+01
  9.543439999999999657e+01   3.043269469432405216e+01
  9.725690000000000168e+01   3.073575783443630627e+01
  9.908969999999999345e+01   3.108702080785377930e+01
  1.009339999999999975e+02   3.135381898037636361e+01
  1.027879999999999967e+02   3.163104394881763426e+01
  1.046520000000000010e+02   3.188994886705157228e+01
  1.065260000000000105e+02   3.226167375039123897e+01
  1.084089999999999918e+02   3.242062921190670721e+01
  1.103020000000000067e+02   3.269862428699006784e+01
  1.122039999999999935e+02   3.289240836612481189e+01
  1.141149999999999949e+02   3.305024145860758011e+01
  1.160339999999999918e+02   3.313519869872828849e+01
  1.179599999999999937e+02   3.340566772193861311e+01
  1.198960000000000008e+02   3.348961660331484325e+01
  1.218389999999999986e+02   3.362236738256842017e+01
  1.237890000000000015e+02   3.378900735238933351e+01
  1.257470000000000141e+02   3.392501225134547127e+01
  1.277109999999999985e+02   3.415611821079549060e+01
  1.296829999999999927e+02   3.439107130336085305e+01
  1.316610000000000014e+02   3.452145378717946045e+01
  1.336460000000000150e+02   3.472671871666383225e+01
  1.356370000000000005e+02   3.493831880393273082e+01
  1.376329999999999814e+02   3.536505565934550077e+01
  1.396359999999999957e+02   3.554906587005410046e+01
  1.416440000000000055e+02   3.574161253284461282e+01
  1.436570000000000107e+02   3.609229996992788614e+01
  1.456750000000000114e+02   3.614881579925916810e+01
  1.476979999999999791e+02   3.640800825563250953e+01
  1.497259999999999991e+02   3.669291782622364906e+01
  1.517589999999999861e+02   3.678850696645505991e+01
  1.537959999999999923e+02   3.689652149548108184e+01
  1.558379999999999939e+02   3.687798638620819247e+01
  1.578839999999999861e+02   3.699733448410787418e+01
  1.599329999999999927e+02   3.690852387965608727e+01
  1.619859999999999900e+02   3.705765769817556787e+01
  1.640430000000000064e+02   3.711695584250307434e+01
  1.661040000000000134e+02   3.717149631436012669e+01
  1.681670000000000016e+02   3.737219656484920449e+01
  1.702340000000000089e+02   3.740444029577850671e+01
  1.723040000000000020e+02   3.762582466573914530e+01
  1.743770000000000095e+02   3.754634201049700692e+01
  1.764530000000000030e+02   3.775178700254934938e+01
  1.785309999999999775e+02   3.767632524533229343e+01
  1.806119999999999948e+02   3.759763626445113971e+01
  1.826949999999999932e+02   3.767249806257160571e+01
  1.847820000000000107e+02   3.768575415794944661e+01
  1.868700000000000045e+02   3.776593921415204846e+01
  1.889600000000000080e+02   3.790950780064581949e+01
  1.910520000000000209e+02   3.809642050295114046e+01
  1.931459999999999866e+02   3.824607829009359961e+01
  1.952420000000000186e+02   3.838281451121783050e+01
  1.973400000000000034e+02   3.861303419365875556e+01
  1.994390000000000214e+02   3.845000683131144115e+01
  2.015409999999999968e+02   3.854033953330275608e+01
  2.036440000000000055e+02   3.825393260798320938e+01
  2.057479999999999905e+02   3.804601873424862646e+01
  2.078529999999999802e+02   3.790531225794276082e+01
  2.099600000000000080e+02   3.777671164142536497e+01
  2.120679999999999836e+02   3.765616804156493203e+01
  2.141770000000000209e+02   3.751158809940485384e+01
  2.162879999999999825e+02   3.769617032745921392e+01
  2.183990000000000009e+02   3.754312996521002077e+01
  2.205120000000000005e+02   3.750269596795843796e+01
  2.226250000000000000e+02   3.767925008311338786e+01
  2.247390000000000043e+02   3.767329623376682690e+01
  2.268549999999999898e+02   3.750808435367990512e+01
  2.289699999999999989e+02   3.748780116265619711e+01
  2.310870000000000175e+02   3.749323408739991947e+01
  2.332050000000000125e+02   3.730687279240964926e+01
  2.353229999999999791e+02   3.729560864935258735e+01
  2.374420000000000073e+02   3.714698313097067484e+01
  2.395609999999999786e+02   3.690503785025381234e+01
  2.416820000000000164e+02   3.696428749736212893e+01
  2.438020000000000209e+02   3.653050742996313716e+01
  2.459230000000000018e+02   3.656845121841549684e+01
  2.480449999999999875e+02   3.612773315770247251e+01
  2.501670000000000016e+02   3.633727579274959396e+01
  2.522899999999999920e+02   3.603146201638124069e+01
  2.544129999999999825e+02   3.604003510609427963e+01
  2.565370000000000346e+02   3.595050364849475244e+01
  2.586600000000000250e+02   3.574169053615619873e+01
  2.607850000000000250e+02   3.565800536788331954e+01
  2.629089999999999918e+02   3.558376510024569228e+01
  2.650339999999999918e+02   3.550090009127351465e+01
  2.671589999999999918e+02   3.563349091925075385e+01
  2.692850000000000250e+02   3.552579011480892035e+01
  2.714110000000000014e+02   3.544461552898294343e+01
  2.735370000000000346e+02   3.549717994924852604e+01
  2.756630000000000109e+02   3.587358536361301020e+01
  2.777900000000000205e+02   3.544949926157716646e+01
  2.799170000000000300e+02   3.587904806762818311e+01
  2.820440000000000396e+02   3.568658517971271493e+01
  2.841720000000000255e+02   3.564263909136015940e+01
  2.862990000000000350e+02   3.547383973379780997e+01
  2.884270000000000209e+02   3.565157672880042128e+01
  2.905559999999999832e+02   3.548233010763200213e+01
  2.926840000000000259e+02   3.539419118045682922e+01
  2.948120000000000118e+02   3.522676470134686610e+01
  2.969399999999999977e+02   3.541475477278218165e+01
  2.990699999999999932e+02   3.496689546004952831e+01
  3.011990000000000123e+02   3.514012901462228200e+01
  3.033279999999999745e+02   3.494299916827645802e+01
  3.054569999999999936e+02   3.508986246975318579e+01
  3.075869999999999891e+02   3.464420708686370176e+01
  3.097160000000000082e+02   3.450782077875111753e+01
  3.118460000000000036e+02   3.464040761644993438e+01
  3.139759999999999991e+02   3.418015171863223856e+01
  3.161070000000000277e+02   3.401117098007296846e+01
  3.182370000000000232e+02   3.383840090493095687e+01
  3.203670000000000186e+02   3.337798845299898431e+01
  3.224979999999999905e+02   3.314477784819832351e+01
  3.246290000000000191e+02   3.324827317242757374e+01
  3.267599999999999909e+02   3.300479849520790765e+01
  3.288899999999999864e+02   3.276438351631967549e+01
  3.310219999999999914e+02   3.247628738000461368e+01
  3.331530000000000200e+02   3.290683542238563319e+01
  3.352850000000000250e+02   3.248846807081447707e+01
  3.374159999999999968e+02   3.300874379293328076e+01
  3.395480000000000018e+02   3.258592052675641071e+01
  3.416800000000000068e+02   3.300113336812412967e+01
  3.438109999999999786e+02   3.352036724173524362e+01
  3.459430000000000405e+02   3.303826746897869526e+01
  3.480759999999999650e+02   3.365617980887952854e+01
  3.502080000000000268e+02   3.359115222142474977e+01
  3.523399999999999750e+02   3.431463732620544249e+01
  3.544719999999999800e+02   3.379464854499727267e+01
  3.566050000000000182e+02   3.448065509947442564e+01
  3.587369999999999663e+02   3.533532030317338979e+01
  3.608700000000000045e+02   3.469586047441534760e+01
  3.630030000000000427e+02   3.584178361723332529e+01
  3.651359999999999673e+02   3.515780068599269015e+01
  3.672690000000000055e+02   3.566736471279040188e+01
  3.694019999999999868e+02   3.493907397645870816e+01
  3.715350000000000250e+02   3.544165361308651541e+01
  3.736680000000000064e+02   3.469368123274450966e+01
  3.758009999999999877e+02   3.402062612946481579e+01
  3.779340000000000259e+02   3.314239583092396657e+01
  3.800669999999999504e+02   3.210478638511266070e+01
  3.821999999999999886e+02   3.082459754174655231e+01
  3.843330000000000268e+02   2.902993985583831105e+01
  3.864660000000000082e+02   2.856625308552581188e+01
  3.886000000000000227e+02   2.727585139373278977e+01
  3.907330000000000041e+02   2.858136464796280407e+01
  3.928669999999999618e+02   2.661712457389691266e+01
