   j        y+           t_mean+        t_rms+           ut+    
   1   0.110599e+00   0.221198e+00   0.912422e-01   0.363374e-02
   2   0.335591e+00   0.671174e+00   0.276864e+00   0.335092e-01
   3   0.568392e+00   0.113669e+01   0.468875e+00   0.962745e-01
   4   0.809442e+00   0.161846e+01   0.667426e+00   0.195532e+00
   5   0.105918e+01   0.211709e+01   0.872478e+00   0.335140e+00
   6   0.131805e+01   0.263302e+01   0.108374e+01   0.519037e+00
   7   0.158649e+01   0.316645e+01   0.130064e+01   0.750992e+00
   8   0.186496e+01   0.371732e+01   0.152223e+01   0.103428e+01
   9   0.215388e+01   0.428524e+01   0.174720e+01   0.137129e+01
  10   0.245371e+01   0.486944e+01   0.197388e+01   0.176309e+01
  11   0.276487e+01   0.546872e+01   0.220026e+01   0.220908e+01
  12   0.308781e+01   0.608145e+01   0.242407e+01   0.270663e+01
  13   0.342295e+01   0.670557e+01   0.264290e+01   0.325092e+01
  14   0.377073e+01   0.733861e+01   0.285428e+01   0.383493e+01
  15   0.413156e+01   0.797773e+01   0.305585e+01   0.444964e+01
  16   0.450587e+01   0.861982e+01   0.324544e+01   0.508435e+01
  17   0.489406e+01   0.926152e+01   0.342121e+01   0.572724e+01
  18   0.529653e+01   0.989935e+01   0.358167e+01   0.636594e+01
  19   0.571369e+01   0.105298e+02   0.372577e+01   0.698820e+01
  20   0.614592e+01   0.111496e+02   0.385289e+01   0.758251e+01
  21   0.659361e+01   0.117556e+02   0.396281e+01   0.813858e+01
  22   0.705712e+01   0.123449e+02   0.405571e+01   0.864779e+01
  23   0.753681e+01   0.129152e+02   0.413209e+01   0.910340e+01
  24   0.803304e+01   0.134646e+02   0.419270e+01   0.950065e+01
  25   0.854614e+01   0.139915e+02   0.423851e+01   0.983675e+01
  26   0.907647e+01   0.144950e+02   0.427060e+01   0.101107e+02
  27   0.962433e+01   0.149744e+02   0.429015e+01   0.103231e+02
  28   0.101900e+02   0.154296e+02   0.429835e+01   0.104759e+02
  29   0.107738e+02   0.158606e+02   0.429640e+01   0.105720e+02
  30   0.113760e+02   0.162680e+02   0.428547e+01   0.106153e+02
  31   0.119969e+02   0.166522e+02   0.426667e+01   0.106101e+02
  32   0.126367e+02   0.170141e+02   0.424105e+01   0.105611e+02
  33   0.132956e+02   0.173547e+02   0.420958e+01   0.104730e+02
  34   0.139741e+02   0.176750e+02   0.417315e+01   0.103506e+02
  35   0.146720e+02   0.179762e+02   0.413258e+01   0.101987e+02
  36   0.153899e+02   0.182593e+02   0.408857e+01   0.100217e+02
  37   0.161278e+02   0.185256e+02   0.404179e+01   0.982378e+01
  38   0.168858e+02   0.187761e+02   0.399278e+01   0.960870e+01
  39   0.176642e+02   0.190120e+02   0.394204e+01   0.937999e+01
  40   0.184630e+02   0.192343e+02   0.389001e+01   0.914078e+01
  41   0.192825e+02   0.194439e+02   0.383703e+01   0.889388e+01
  42   0.201226e+02   0.196419e+02   0.378345e+01   0.864180e+01
  43   0.209837e+02   0.198291e+02   0.372953e+01   0.838675e+01
  44   0.218656e+02   0.200064e+02   0.367555e+01   0.813072e+01
  45   0.227686e+02   0.201745e+02   0.362172e+01   0.787545e+01
  46   0.236926e+02   0.203341e+02   0.356827e+01   0.762244e+01
  47   0.246377e+02   0.204859e+02   0.351537e+01   0.737295e+01
  48   0.256038e+02   0.206305e+02   0.346317e+01   0.712804e+01
  49   0.265912e+02   0.207684e+02   0.341177e+01   0.688853e+01
  50   0.275996e+02   0.209002e+02   0.336125e+01   0.665513e+01
  51   0.286292e+02   0.210263e+02   0.331167e+01   0.642839e+01
  52   0.296798e+02   0.211472e+02   0.326311e+01   0.620873e+01
  53   0.307516e+02   0.212634e+02   0.321561e+01   0.599648e+01
  54   0.318443e+02   0.213751e+02   0.316917e+01   0.579182e+01
  55   0.329580e+02   0.214828e+02   0.312382e+01   0.559487e+01
  56   0.340926e+02   0.215867e+02   0.307958e+01   0.540571e+01
  57   0.352479e+02   0.216872e+02   0.303649e+01   0.522436e+01
  58   0.364239e+02   0.217846e+02   0.299458e+01   0.505076e+01
  59   0.376204e+02   0.218790e+02   0.295387e+01   0.488475e+01
  60   0.388374e+02   0.219707e+02   0.291438e+01   0.472612e+01
  61   0.400747e+02   0.220599e+02   0.287610e+01   0.457458e+01
  62   0.413322e+02   0.221467e+02   0.283898e+01   0.442985e+01
  63   0.426097e+02   0.222313e+02   0.280296e+01   0.429168e+01
  64   0.439069e+02   0.223138e+02   0.276798e+01   0.415979e+01
  65   0.452239e+02   0.223944e+02   0.273395e+01   0.403390e+01
  66   0.465603e+02   0.224732e+02   0.270082e+01   0.391372e+01
  67   0.479160e+02   0.225503e+02   0.266860e+01   0.379905e+01
  68   0.492909e+02   0.226259e+02   0.263730e+01   0.368970e+01
  69   0.506845e+02   0.227000e+02   0.260690e+01   0.358548e+01
  70   0.520969e+02   0.227726e+02   0.257738e+01   0.348620e+01
  71   0.535276e+02   0.228438e+02   0.254878e+01   0.339169e+01
  72   0.549765e+02   0.229137e+02   0.252112e+01   0.330172e+01
  73   0.564434e+02   0.229823e+02   0.249437e+01   0.321600e+01
  74   0.579281e+02   0.230496e+02   0.246851e+01   0.313428e+01
  75   0.594301e+02   0.231156e+02   0.244352e+01   0.305635e+01
  76   0.609494e+02   0.231804e+02   0.241941e+01   0.298204e+01
  77   0.624858e+02   0.232440e+02   0.239612e+01   0.291112e+01
  78   0.640387e+02   0.233063e+02   0.237359e+01   0.284335e+01
  79   0.656081e+02   0.233675e+02   0.235175e+01   0.277840e+01
  80   0.671936e+02   0.234277e+02   0.233051e+01   0.271606e+01
  81   0.687950e+02   0.234868e+02   0.230985e+01   0.265620e+01
  82   0.704121e+02   0.235451e+02   0.228973e+01   0.259874e+01
  83   0.720444e+02   0.236024e+02   0.227013e+01   0.254359e+01
  84   0.736918e+02   0.236589e+02   0.225105e+01   0.249065e+01
  85   0.753538e+02   0.237146e+02   0.223250e+01   0.243988e+01
  86   0.770305e+02   0.237695e+02   0.221446e+01   0.239122e+01
  87   0.787212e+02   0.238236e+02   0.219696e+01   0.234463e+01
  88   0.804260e+02   0.238770e+02   0.217997e+01   0.230011e+01
  89   0.821442e+02   0.239297e+02   0.216346e+01   0.225764e+01
  90   0.838759e+02   0.239817e+02   0.214737e+01   0.221713e+01
  91   0.856202e+02   0.240329e+02   0.213168e+01   0.217847e+01
