   j        y+           t_mean+        t_rms+           ut+    
  52   0.296798e+02   0.379586e+02   0.420880e+01   0.699321e+01
  53   0.307516e+02   0.380777e+02   0.413209e+01   0.672545e+01
  54   0.318443e+02   0.381923e+02   0.405757e+01   0.646913e+01
  55   0.329580e+02   0.383029e+02   0.398515e+01   0.622408e+01
  56   0.340926e+02   0.384096e+02   0.391488e+01   0.599021e+01
  57   0.352479e+02   0.385129e+02   0.384679e+01   0.576747e+01
  58   0.364239e+02   0.386130e+02   0.378085e+01   0.555565e+01
  59   0.376204e+02   0.387100e+02   0.371701e+01   0.535435e+01
  60   0.388374e+02   0.388042e+02   0.365535e+01   0.516315e+01
  61   0.400747e+02   0.388957e+02   0.359591e+01   0.498161e+01
  62   0.413322e+02   0.389847e+02   0.353857e+01   0.480935e+01
  63   0.426097e+02   0.390714e+02   0.348317e+01   0.464590e+01
  64   0.439069e+02   0.391560e+02   0.342959e+01   0.449079e+01
  65   0.452239e+02   0.392384e+02   0.337771e+01   0.434356e+01
  66   0.465603e+02   0.393188e+02   0.332750e+01   0.420368e+01
  67   0.479160e+02   0.393974e+02   0.327900e+01   0.407067e+01
  68   0.492909e+02   0.394741e+02   0.323222e+01   0.394418e+01
  69   0.506845e+02   0.395492e+02   0.318709e+01   0.382392e+01
  70   0.520969e+02   0.396227e+02   0.314362e+01   0.370962e+01
  71   0.535276e+02   0.396945e+02   0.310190e+01   0.360104e+01
  72   0.549765e+02   0.397648e+02   0.306196e+01   0.349796e+01
  73   0.564434e+02   0.398336e+02   0.302359e+01   0.340003e+01
  74   0.579281e+02   0.399010e+02   0.298661e+01   0.330686e+01
  75   0.594301e+02   0.399671e+02   0.295096e+01   0.321825e+01
  76   0.609494e+02   0.400319e+02   0.291662e+01   0.313413e+01
  77   0.624858e+02   0.400955e+02   0.288347e+01   0.305434e+01
  78   0.640387e+02   0.401579e+02   0.285135e+01   0.297857e+01
  79   0.656081e+02   0.402192e+02   0.282015e+01   0.290641e+01
  80   0.671936e+02   0.402794e+02   0.278978e+01   0.283746e+01
  81   0.687950e+02   0.403387e+02   0.276025e+01   0.277156e+01
  82   0.704121e+02   0.403970e+02   0.273151e+01   0.270872e+01
  83   0.720444e+02   0.404545e+02   0.270351e+01   0.264879e+01
  84   0.736918e+02   0.405112e+02   0.267610e+01   0.259150e+01
  85   0.753538e+02   0.405672e+02   0.264924e+01   0.253677e+01
  86   0.770305e+02   0.406224e+02   0.262305e+01   0.248446e+01
  87   0.787212e+02   0.406767e+02   0.259760e+01   0.243444e+01
  88   0.804260e+02   0.407302e+02   0.257286e+01   0.238674e+01
  89   0.821442e+02   0.407829e+02   0.254884e+01   0.234134e+01
  90   0.838759e+02   0.408349e+02   0.252551e+01   0.229807e+01
  91   0.856202e+02   0.408863e+02   0.250286e+01   0.225673e+01
  92   0.873779e+02   0.409370e+02   0.248079e+01   0.221722e+01
  93   0.891475e+02   0.409871e+02   0.245927e+01   0.217935e+01
  94   0.909298e+02   0.410365e+02   0.243828e+01   0.214296e+01
  95   0.927231e+02   0.410852e+02   0.241769e+01   0.210790e+01
  96   0.945290e+02   0.411334e+02   0.239747e+01   0.207391e+01
  97   0.963452e+02   0.411811e+02   0.237772e+01   0.204087e+01
  98   0.981733e+02   0.412283e+02   0.235849e+01   0.200872e+01
  99   0.100012e+03   0.412751e+02   0.233973e+01   0.197742e+01
 100   0.101861e+03   0.413214e+02   0.232136e+01   0.194702e+01
 101   0.103720e+03   0.413671e+02   0.230331e+01   0.191744e+01
 102   0.105589e+03   0.414124e+02   0.228555e+01   0.188871e+01
 103   0.107468e+03   0.414572e+02   0.226809e+01   0.186088e+01
 104   0.109356e+03   0.415017e+02   0.225096e+01   0.183402e+01
 105   0.111253e+03   0.415456e+02   0.223425e+01   0.180813e+01
 106   0.113160e+03   0.415892e+02   0.221801e+01   0.178307e+01
 107   0.115074e+03   0.416325e+02   0.220224e+01   0.175888e+01
 108   0.116997e+03   0.416755e+02   0.218693e+01   0.173563e+01
 109   0.118928e+03   0.417182e+02   0.217202e+01   0.171324e+01
 110   0.120868e+03   0.417606e+02   0.215742e+01   0.169165e+01
 111   0.122814e+03   0.418027e+02   0.214306e+01   0.167090e+01
 112   0.124768e+03   0.418445e+02   0.212891e+01   0.165091e+01
 113   0.126729e+03   0.418860e+02   0.211498e+01   0.163154e+01
 114   0.128697e+03   0.419271e+02   0.210124e+01   0.161286e+01
 115   0.130672e+03   0.419679e+02   0.208772e+01   0.159483e+01
 116   0.132654e+03   0.420083e+02   0.207437e+01   0.157719e+01
 117   0.134641e+03   0.420484e+02   0.206119e+01   0.155969e+01
 118   0.136635e+03   0.420880e+02   0.204819e+01   0.154226e+01
 119   0.138635e+03   0.421272e+02   0.203536e+01   0.152489e+01
 120   0.140640e+03   0.421658e+02   0.202282e+01   0.150761e+01
 121   0.142650e+03   0.422038e+02   0.201061e+01   0.149044e+01
 122   0.144666e+03   0.422414e+02   0.199867e+01   0.147340e+01
 123   0.146686e+03   0.422786e+02   0.198704e+01   0.145650e+01
 124   0.148713e+03   0.423152e+02   0.197576e+01   0.143966e+01
 125   0.150743e+03   0.423513e+02   0.196469e+01   0.142303e+01
 126   0.152778e+03   0.423871e+02   0.195363e+01   0.140672e+01
 127   0.154817e+03   0.424227e+02   0.194238e+01   0.139060e+01
 128   0.156861e+03   0.424582e+02   0.193099e+01   0.137453e+01
 129   0.158909e+03   0.424936e+02   0.191972e+01   0.135850e+01
 130   0.160959e+03   0.425286e+02   0.190873e+01   0.134264e+01
 131   0.163015e+03   0.425633e+02   0.189806e+01   0.132708e+01
 132   0.165074e+03   0.425977e+02   0.188767e+01   0.131197e+01
 133   0.167136e+03   0.426318e+02   0.187746e+01   0.129735e+01
 134   0.169201e+03   0.426656e+02   0.186731e+01   0.128310e+01
 135   0.171269e+03   0.426990e+02   0.185715e+01   0.126922e+01
 136   0.173340e+03   0.427321e+02   0.184694e+01   0.125579e+01
 137   0.175415e+03   0.427648e+02   0.183669e+01   0.124274e+01
 138   0.177492e+03   0.427973e+02   0.182648e+01   0.122998e+01
 139   0.179572e+03   0.428296e+02   0.181634e+01   0.121756e+01
 140   0.181654e+03   0.428616e+02   0.180628e+01   0.120542e+01
 141   0.183739e+03   0.428934e+02   0.179627e+01   0.119347e+01
 142   0.185825e+03   0.429249e+02   0.178633e+01   0.118176e+01
 143   0.187915e+03   0.429560e+02   0.177658e+01   0.117025e+01
 144   0.190006e+03   0.429866e+02   0.176706e+01   0.115881e+01
 145   0.192100e+03   0.430168e+02   0.175768e+01   0.114738e+01
 146   0.194195e+03   0.430466e+02   0.174840e+01   0.113596e+01
 147   0.196291e+03   0.430760e+02   0.173926e+01   0.112460e+01
 148   0.198390e+03   0.431051e+02   0.173030e+01   0.111336e+01
 149   0.200490e+03   0.431340e+02   0.172148e+01   0.110229e+01
 150   0.202592e+03   0.431627e+02   0.171263e+01   0.109137e+01
 151   0.204695e+03   0.431915e+02   0.170367e+01   0.108056e+01
 152   0.206801e+03   0.432201e+02   0.169467e+01   0.106986e+01
 153   0.208907e+03   0.432487e+02   0.168573e+01   0.105925e+01
 154   0.211014e+03   0.432771e+02   0.167687e+01   0.104861e+01
 155   0.213122e+03   0.433052e+02   0.166802e+01   0.103782e+01
 156   0.215232e+03   0.433330e+02   0.165913e+01   0.102694e+01
 157   0.217343e+03   0.433606e+02   0.165025e+01   0.101624e+01
 158   0.219456e+03   0.433880e+02   0.164148e+01   0.100589e+01
 159   0.221568e+03   0.434150e+02   0.163275e+01   0.995830e+00
 160   0.223682e+03   0.434416e+02   0.162403e+01   0.985959e+00
 161   0.225797e+03   0.434679e+02   0.161530e+01   0.976093e+00
 162   0.227913e+03   0.434940e+02   0.160641e+01   0.966009e+00
 163   0.230029e+03   0.435200e+02   0.159731e+01   0.955621e+00
 164   0.232146e+03   0.435457e+02   0.158813e+01   0.944991e+00
 165   0.234264e+03   0.435713e+02   0.157895e+01   0.934201e+00
 166   0.236382e+03   0.435966e+02   0.156982e+01   0.923284e+00
 167   0.238502e+03   0.436216e+02   0.156074e+01   0.912265e+00
 168   0.240621e+03   0.436462e+02   0.155169e+01   0.901199e+00
 169   0.242742e+03   0.436705e+02   0.154263e+01   0.890160e+00
 170   0.244863e+03   0.436947e+02   0.153352e+01   0.879153e+00
 171   0.246984e+03   0.437188e+02   0.152440e+01   0.868172e+00
 172   0.249106e+03   0.437426e+02   0.151534e+01   0.857241e+00
 173   0.251229e+03   0.437662e+02   0.150641e+01   0.846357e+00
 174   0.253351e+03   0.437894e+02   0.149762e+01   0.835511e+00
 175   0.255475e+03   0.438123e+02   0.148893e+01   0.824702e+00
 176   0.257598e+03   0.438349e+02   0.148029e+01   0.813986e+00
 177   0.259723e+03   0.438572e+02   0.147168e+01   0.803449e+00
 178   0.261847e+03   0.438792e+02   0.146315e+01   0.793062e+00
 179   0.263971e+03   0.439008e+02   0.145473e+01   0.782685e+00
 180   0.266096e+03   0.439221e+02   0.144637e+01   0.772225e+00
 181   0.268222e+03   0.439431e+02   0.143800e+01   0.761669e+00
 182   0.270348e+03   0.439637e+02   0.142962e+01   0.751076e+00
 183   0.272474e+03   0.439841e+02   0.142125e+01   0.740579e+00
 184   0.274600e+03   0.440041e+02   0.141295e+01   0.730291e+00
 185   0.276727e+03   0.440238e+02   0.140477e+01   0.720262e+00
 186   0.278853e+03   0.440431e+02   0.139678e+01   0.710486e+00
 187   0.280981e+03   0.440620e+02   0.138898e+01   0.700903e+00
 188   0.283108e+03   0.440806e+02   0.138129e+01   0.691421e+00
 189   0.285236e+03   0.440989e+02   0.137364e+01   0.681949e+00
 190   0.287363e+03   0.441169e+02   0.136597e+01   0.672420e+00
 191   0.289492e+03   0.441345e+02   0.135833e+01   0.662799e+00
 192   0.291620e+03   0.441517e+02   0.135077e+01   0.653090e+00
 193   0.293748e+03   0.441685e+02   0.134333e+01   0.643311e+00
 194   0.295876e+03   0.441850e+02   0.133599e+01   0.633483e+00
 195   0.298005e+03   0.442013e+02   0.132874e+01   0.623631e+00
 196   0.300134e+03   0.442173e+02   0.132157e+01   0.613779e+00
 197   0.302263e+03   0.442331e+02   0.131453e+01   0.603973e+00
 198   0.304393e+03   0.442485e+02   0.130759e+01   0.594272e+00
 199   0.306522e+03   0.442636e+02   0.130074e+01   0.584763e+00
 200   0.308651e+03   0.442784e+02   0.129402e+01   0.575524e+00
 201   0.310781e+03   0.442929e+02   0.128743e+01   0.566593e+00
 202   0.312911e+03   0.443071e+02   0.128101e+01   0.557954e+00
 203   0.315042e+03   0.443210e+02   0.127470e+01   0.549566e+00
 204   0.317172e+03   0.443348e+02   0.126840e+01   0.541404e+00
 205   0.319302e+03   0.443483e+02   0.126210e+01   0.533453e+00
 206   0.321433e+03   0.443617e+02   0.125579e+01   0.525708e+00
 207   0.323563e+03   0.443747e+02   0.124948e+01   0.518180e+00
 208   0.325694e+03   0.443875e+02   0.124318e+01   0.510855e+00
 209   0.327826e+03   0.444000e+02   0.123693e+01   0.503719e+00
 210   0.329956e+03   0.444122e+02   0.123081e+01   0.496789e+00
 211   0.332088e+03   0.444240e+02   0.122486e+01   0.490070e+00
 212   0.334219e+03   0.444355e+02   0.121906e+01   0.483552e+00
 213   0.336350e+03   0.444467e+02   0.121342e+01   0.477185e+00
 214   0.338482e+03   0.444574e+02   0.120793e+01   0.470902e+00
 215   0.340614e+03   0.444677e+02   0.120259e+01   0.464663e+00
 216   0.342745e+03   0.444775e+02   0.119745e+01   0.458487e+00
 217   0.344878e+03   0.444869e+02   0.119248e+01   0.452440e+00
 218   0.347010e+03   0.444959e+02   0.118766e+01   0.446575e+00
 219   0.349142e+03   0.445044e+02   0.118298e+01   0.440901e+00
 220   0.351274e+03   0.445125e+02   0.117847e+01   0.435425e+00
 221   0.353406e+03   0.445202e+02   0.117416e+01   0.430174e+00
 222   0.355539e+03   0.445274e+02   0.117006e+01   0.425137e+00
 223   0.357671e+03   0.445341e+02   0.116618e+01   0.420277e+00
 224   0.359804e+03   0.445403e+02   0.116250e+01   0.415582e+00
 225   0.361937e+03   0.445461e+02   0.115905e+01   0.411068e+00
 226   0.364069e+03   0.445514e+02   0.115583e+01   0.406762e+00
 227   0.366202e+03   0.445563e+02   0.115284e+01   0.402686e+00
 228   0.368335e+03   0.445609e+02   0.115009e+01   0.398864e+00
 229   0.370468e+03   0.445652e+02   0.114755e+01   0.395300e+00
 230   0.372601e+03   0.445691e+02   0.114523e+01   0.391985e+00
 231   0.374734e+03   0.445728e+02   0.114315e+01   0.388924e+00
 232   0.376867e+03   0.445761e+02   0.114133e+01   0.386158e+00
 233   0.379000e+03   0.445791e+02   0.113977e+01   0.383725e+00
 234   0.381134e+03   0.445819e+02   0.113843e+01   0.381624e+00
 235   0.383267e+03   0.445843e+02   0.113725e+01   0.379844e+00
 236   0.385400e+03   0.445863e+02   0.113619e+01   0.378365e+00
 237   0.387534e+03   0.445880e+02   0.113527e+01   0.377157e+00
 238   0.389667e+03   0.445892e+02   0.113456e+01   0.376220e+00
 239   0.391800e+03   0.445900e+02   0.113410e+01   0.375574e+00
 240   0.393933e+03   0.445904e+02   0.113388e+01   0.375244e+00
