   j        y+           t_mean+        t_rms+           ut+    
   1   0.110599e+00   0.552995e+00   0.222661e+00   0.692423e-02
   2   0.335591e+00   0.167791e+01   0.675617e+00   0.640383e-01
   3   0.568392e+00   0.284145e+01   0.114393e+01   0.185054e+00
   4   0.809442e+00   0.404496e+01   0.162743e+01   0.378881e+00
   5   0.105918e+01   0.528903e+01   0.212492e+01   0.655624e+00
   6   0.131805e+01   0.657324e+01   0.263389e+01   0.102568e+01
   7   0.158649e+01   0.789583e+01   0.315015e+01   0.149839e+01
   8   0.186496e+01   0.925344e+01   0.366769e+01   0.208039e+01
   9   0.215388e+01   0.106409e+02   0.417886e+01   0.277383e+01
  10   0.245371e+01   0.120513e+02   0.467479e+01   0.357499e+01
  11   0.276487e+01   0.134758e+02   0.514613e+01   0.447337e+01
  12   0.308781e+01   0.149045e+02   0.558384e+01   0.545172e+01
  13   0.342295e+01   0.163262e+02   0.598000e+01   0.648690e+01
  14   0.377073e+01   0.177293e+02   0.632844e+01   0.755157e+01
  15   0.413156e+01   0.191022e+02   0.662511e+01   0.861637e+01
  16   0.450587e+01   0.204342e+02   0.686823e+01   0.965226e+01
  17   0.489406e+01   0.217157e+02   0.705819e+01   0.106327e+02
  18   0.529653e+01   0.229391e+02   0.719726e+01   0.115352e+02
  19   0.571369e+01   0.240987e+02   0.728917e+01   0.123425e+02
  20   0.614592e+01   0.251908e+02   0.733867e+01   0.130430e+02
  21   0.659361e+01   0.262137e+02   0.735104e+01   0.136304e+02
  22   0.705712e+01   0.271672e+02   0.733168e+01   0.141032e+02
  23   0.753681e+01   0.280527e+02   0.728585e+01   0.144638e+02
  24   0.803304e+01   0.288723e+02   0.721839e+01   0.147177e+02
  25   0.854614e+01   0.296292e+02   0.713362e+01   0.148725e+02
  26   0.907647e+01   0.303270e+02   0.703534e+01   0.149369e+02
  27   0.962433e+01   0.309697e+02   0.692677e+01   0.149207e+02
  28   0.101900e+02   0.315612e+02   0.681062e+01   0.148333e+02
  29   0.107738e+02   0.321058e+02   0.668915e+01   0.146841e+02
  30   0.113760e+02   0.326075e+02   0.656420e+01   0.144822e+02
  31   0.119969e+02   0.330700e+02   0.643728e+01   0.142358e+02
  32   0.126367e+02   0.334969e+02   0.630955e+01   0.139525e+02
  33   0.132956e+02   0.338914e+02   0.618196e+01   0.136393e+02
  34   0.139741e+02   0.342566e+02   0.605527e+01   0.133022e+02
  35   0.146720e+02   0.345952e+02   0.593008e+01   0.129469e+02
  36   0.153899e+02   0.349095e+02   0.580685e+01   0.125781e+02
  37   0.161278e+02   0.352018e+02   0.568592e+01   0.122003e+02
  38   0.168858e+02   0.354741e+02   0.556753e+01   0.118170e+02
  39   0.176642e+02   0.357282e+02   0.545187e+01   0.114313e+02
  40   0.184630e+02   0.359658e+02   0.533903e+01   0.110459e+02
  41   0.192825e+02   0.361884e+02   0.522905e+01   0.106630e+02
  42   0.201226e+02   0.363975e+02   0.512191e+01   0.102843e+02
  43   0.209837e+02   0.365943e+02   0.501766e+01   0.991169e+01
  44   0.218656e+02   0.367798e+02   0.491632e+01   0.954648e+01
  45   0.227686e+02   0.369551e+02   0.481795e+01   0.918989e+01
  46   0.236926e+02   0.371210e+02   0.472256e+01   0.884294e+01
  47   0.246377e+02   0.372782e+02   0.463012e+01   0.850640e+01
  48   0.256038e+02   0.374276e+02   0.454054e+01   0.818079e+01
  49   0.265912e+02   0.375697e+02   0.445371e+01   0.786648e+01
  50   0.275996e+02   0.377052e+02   0.436952e+01   0.756369e+01
  51   0.286292e+02   0.378346e+02   0.428789e+01   0.727259e+01
