#                         y+                    alphat+
  1.816330000000000000e+00   2.980922453175963334e-03
  2.811560000000000059e+00   1.020678853796774636e-02
  3.869540000000000202e+00   2.453742687810640810e-02
  4.994040000000000035e+00   4.861258938528911777e-02
  6.189040000000000319e+00   8.532269497578039152e-02
  7.458719999999999573e+00   1.378985144937802110e-01
  8.807479999999999976e+00   2.099310706010098782e-01
  1.023990000000000045e+01   3.052837601987353766e-01
  1.176099999999999923e+01   4.280231572013606933e-01
  1.337560000000000038e+01   5.818638319482104526e-01
  1.508929999999999971e+01   7.706015904967618013e-01
  1.690749999999999886e+01   9.970113981859984875e-01
  1.883609999999999829e+01   1.263628243595686262e+00
  2.088119999999999976e+01   1.571992211238189885e+00
  2.304909999999999926e+01   1.922932224384051647e+00
  2.534639999999999915e+01   2.316058626866153158e+00
  2.778010000000000090e+01   2.751079217867831606e+00
  3.035709999999999908e+01   3.225677692471622837e+00
  3.308480000000000132e+01   3.737937720901538086e+00
  3.597090000000000032e+01   4.284803078825376588e+00
  3.902320000000000277e+01   4.863254842366792730e+00
  4.224960000000000093e+01   5.469174534618347572e+00
  4.565840000000000032e+01   6.098331999725539632e+00
  4.925800000000000267e+01   6.747915281242059748e+00
  5.305689999999999884e+01   7.412937836517822454e+00
  5.706389999999999674e+01   8.091758041651072375e+00
  6.128750000000000142e+01   8.777891861055456602e+00
  6.573680000000000234e+01   9.466626936957686311e+00
  7.042040000000000077e+01   1.015954979851476381e+01
  7.534699999999999420e+01   1.084435676001657178e+01
  8.052540000000000475e+01   1.152632025145297945e+01
  8.596399999999999864e+01   1.219762893314139518e+01
  9.167100000000000648e+01   1.285508064990141008e+01
  9.765430000000000632e+01   1.349595451438723615e+01
  1.039210000000000065e+02   1.411920906107171980e+01
  1.104800000000000040e+02   1.471357907469573334e+01
  1.173349999999999937e+02   1.528496162383276058e+01
  1.244939999999999998e+02   1.582714556269513118e+01
  1.319610000000000127e+02   1.633832023747129725e+01
  1.397400000000000091e+02   1.681277812568004393e+01
  1.478360000000000127e+02   1.726172629964199601e+01
  1.562489999999999952e+02   1.765994585975299103e+01
  1.649819999999999993e+02   1.802531033261145410e+01
  1.740329999999999870e+02   1.833854995726077419e+01
  1.834009999999999820e+02   1.861045822919525250e+01
  1.930829999999999984e+02   1.882828591208015823e+01
  2.030749999999999886e+02   1.900408445766682064e+01
  2.133709999999999809e+02   1.913265332330665913e+01
  2.239620000000000175e+02   1.920713474767473983e+01
  2.348390000000000271e+02   1.923073949263718774e+01
  2.459909999999999854e+02   1.919960207554090914e+01
  2.574060000000000059e+02   1.913015288437263095e+01
  2.690670000000000073e+02   1.901658303119559790e+01
  2.809599999999999795e+02   1.886918328426357405e+01
  2.930659999999999741e+02   1.870567910521111443e+01
  3.053659999999999854e+02   1.853250928419027233e+01
  3.178389999999999986e+02   1.836391496159688685e+01
  3.304630000000000223e+02   1.820258146667176291e+01
  3.432139999999999986e+02   1.804779771477464223e+01
  3.560690000000000168e+02   1.791441496456796045e+01
  3.690019999999999527e+02   1.782372029373258471e+01
  3.819880000000000564e+02   1.775302201447638595e+01
