       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.110600e+00   0.282703e-05  -0.173124e+00   0.548669e-05   0.173117e+00   0.153459e-05
   0.335590e+00   0.430247e-04  -0.173223e+00   0.845394e-04   0.173101e+00   0.521475e-05
   0.568390e+00   0.194162e-03  -0.173349e+00   0.380178e-03   0.172784e+00   0.951869e-05
   0.809440e+00   0.551802e-03  -0.173413e+00   0.106314e-02   0.171813e+00   0.147609e-04
   0.105918e+01   0.123439e-02  -0.173327e+00   0.232023e-02   0.169794e+00   0.209415e-04
   0.131805e+01   0.238480e-02  -0.173005e+00   0.433879e-02   0.166309e+00   0.278200e-04
   0.158649e+01   0.416985e-02  -0.172362e+00   0.728243e-02   0.160945e+00   0.349750e-04
   0.186496e+01   0.677699e-02  -0.171326e+00   0.112604e-01   0.153330e+00   0.419365e-04
   0.215388e+01   0.104075e-01  -0.169842e+00   0.162947e-01   0.143188e+00   0.483244e-04
   0.245371e+01   0.152663e-01  -0.167889e+00   0.222923e-01   0.130384e+00   0.540509e-04
   0.276487e+01   0.215471e-01  -0.165484e+00   0.290278e-01   0.114969e+00   0.594120e-04
   0.308781e+01   0.294158e-01  -0.162691e+00   0.361433e-01   0.971972e-01   0.650749e-04
   0.342295e+01   0.389911e-01  -0.159615e+00   0.431685e-01   0.775272e-01   0.721021e-04
   0.377073e+01   0.503255e-01  -0.156395e+00   0.495598e-01   0.565914e-01   0.816656e-04
   0.413156e+01   0.633891e-01  -0.153193e+00   0.547539e-01   0.351452e-01   0.948263e-04
   0.450587e+01   0.780577e-01  -0.150174e+00   0.582290e-01   0.139999e-01   0.112355e-03
   0.489406e+01   0.941086e-01  -0.147487e+00   0.595637e-01  -0.605111e-02   0.134477e-03
   0.529653e+01   0.111224e+00  -0.145248e+00   0.584851e-01  -0.243001e-01   0.160822e-03
   0.571369e+01   0.129005e+00  -0.143534e+00   0.548990e-01  -0.401804e-01   0.190474e-03
   0.614592e+01   0.146992e+00  -0.142367e+00   0.488990e-01  -0.533014e-01   0.222144e-03
   0.659361e+01   0.164691e+00  -0.141727e+00   0.407534e-01  -0.634625e-01   0.254324e-03
   0.705712e+01   0.181605e+00  -0.141547e+00   0.308739e-01  -0.706459e-01   0.285557e-03
   0.753681e+01   0.197267e+00  -0.141731e+00   0.197721e-01  -0.749936e-01   0.314622e-03
   0.803304e+01   0.211266e+00  -0.142162e+00   0.800921e-02  -0.767726e-01   0.340712e-03
   0.854614e+01   0.223269e+00  -0.142716e+00  -0.385330e-02  -0.763358e-01   0.363494e-03
   0.907647e+01   0.233037e+00  -0.143275e+00  -0.152968e-01  -0.740817e-01   0.382985e-03
   0.962433e+01   0.240431e+00  -0.143733e+00  -0.258788e-01  -0.704198e-01   0.399622e-03
   0.101900e+02   0.245413e+00  -0.144004e+00  -0.352542e-01  -0.657417e-01   0.414043e-03
   0.107738e+02   0.248034e+00  -0.144022e+00  -0.431846e-01  -0.604007e-01   0.427013e-03
   0.113760e+02   0.248422e+00  -0.143745e+00  -0.495373e-01  -0.547001e-01   0.439310e-03
   0.119969e+02   0.246766e+00  -0.143152e+00  -0.542746e-01  -0.488884e-01   0.451544e-03
   0.126367e+02   0.243300e+00  -0.142237e+00  -0.574393e-01  -0.431604e-01   0.464253e-03
   0.132956e+02   0.238282e+00  -0.141007e+00  -0.591364e-01  -0.376608e-01   0.477683e-03
   0.139741e+02   0.231980e+00  -0.139483e+00  -0.595150e-01  -0.324906e-01   0.491940e-03
   0.146720e+02   0.224659e+00  -0.137687e+00  -0.587516e-01  -0.277136e-01   0.507030e-03
   0.153899e+02   0.216569e+00  -0.135648e+00  -0.570349e-01  -0.233643e-01   0.522698e-03
   0.161278e+02   0.207941e+00  -0.133394e+00  -0.545528e-01  -0.194558e-01   0.538619e-03
   0.168858e+02   0.198978e+00  -0.130954e+00  -0.514833e-01  -0.159868e-01   0.554390e-03
   0.176642e+02   0.189856e+00  -0.128353e+00  -0.479894e-01  -0.129436e-01   0.569541e-03
   0.184630e+02   0.180721e+00  -0.125619e+00  -0.442180e-01  -0.103003e-01   0.583924e-03
   0.192825e+02   0.171693e+00  -0.122776e+00  -0.402989e-01  -0.802131e-02   0.597281e-03
   0.201226e+02   0.162868e+00  -0.119849e+00  -0.363418e-01  -0.606749e-02   0.609369e-03
   0.209837e+02   0.154317e+00  -0.116860e+00  -0.324333e-01  -0.440343e-02   0.620199e-03
   0.218656e+02   0.146094e+00  -0.113827e+00  -0.286384e-01  -0.299881e-02   0.629787e-03
   0.227686e+02   0.138235e+00  -0.110765e+00  -0.250055e-01  -0.182687e-02   0.637603e-03
   0.236926e+02   0.130762e+00  -0.107686e+00  -0.215689e-01  -0.863408e-03   0.643487e-03
   0.246377e+02   0.123686e+00  -0.104601e+00  -0.183519e-01  -0.857038e-04   0.647531e-03
   0.256038e+02   0.117008e+00  -0.101518e+00  -0.153717e-01   0.531572e-03   0.649553e-03
   0.265912e+02   0.110724e+00  -0.984517e-01  -0.126381e-01   0.101639e-02   0.650142e-03
   0.275996e+02   0.104823e+00  -0.954125e-01  -0.101523e-01   0.139200e-02   0.649841e-03
   0.286292e+02   0.992919e-01  -0.924092e-01  -0.790671e-02   0.167268e-02   0.648659e-03
   0.296798e+02   0.941153e-01  -0.894468e-01  -0.588995e-02   0.186773e-02   0.646288e-03
   0.307516e+02   0.892756e-01  -0.865298e-01  -0.409019e-02   0.198673e-02   0.642413e-03
   0.318443e+02   0.847553e-01  -0.836635e-01  -0.249556e-02   0.204077e-02   0.636954e-03
   0.329580e+02   0.805379e-01  -0.808551e-01  -0.109380e-02   0.204088e-02   0.629881e-03
   0.340926e+02   0.766088e-01  -0.781133e-01   0.125145e-03   0.200061e-02   0.621212e-03
   0.352479e+02   0.729537e-01  -0.754486e-01   0.116637e-02   0.193993e-02   0.611357e-03
   0.364239e+02   0.695570e-01  -0.728689e-01   0.203702e-02   0.187557e-02   0.600766e-03
   0.376204e+02   0.664012e-01  -0.703762e-01   0.275274e-02   0.181162e-02   0.589339e-03
   0.388374e+02   0.634673e-01  -0.679699e-01   0.333187e-02   0.174762e-02   0.576878e-03
   0.400747e+02   0.607370e-01  -0.656495e-01   0.379055e-02   0.168534e-02   0.563374e-03
   0.413323e+02   0.581933e-01  -0.634149e-01   0.414366e-02   0.162681e-02   0.548886e-03
   0.426097e+02   0.558198e-01  -0.612641e-01   0.440488e-02   0.157315e-02   0.533714e-03
   0.439069e+02   0.535997e-01  -0.591927e-01   0.458867e-02   0.152201e-02   0.517689e-03
   0.452239e+02   0.515172e-01  -0.571972e-01   0.470833e-02   0.147256e-02   0.500877e-03
   0.465603e+02   0.495580e-01  -0.552750e-01   0.477835e-02   0.142240e-02   0.483764e-03
   0.479160e+02   0.477102e-01  -0.534229e-01   0.481676e-02   0.136213e-02   0.466205e-03
   0.492909e+02   0.459634e-01  -0.516387e-01   0.483707e-02   0.128658e-02   0.448303e-03
   0.506845e+02   0.443090e-01  -0.499213e-01   0.484551e-02   0.119674e-02   0.429873e-03
   0.520969e+02   0.427418e-01  -0.482702e-01   0.483983e-02   0.109946e-02   0.410968e-03
   0.535276e+02   0.412607e-01  -0.466860e-01   0.481107e-02   0.100593e-02   0.391779e-03
   0.549765e+02   0.398658e-01  -0.451701e-01   0.474990e-02   0.927152e-03   0.372748e-03
   0.564434e+02   0.385549e-01  -0.437209e-01   0.465694e-02   0.863651e-03   0.354567e-03
   0.579281e+02   0.373231e-01  -0.423329e-01   0.454347e-02   0.803602e-03   0.337285e-03
   0.594301e+02   0.361650e-01  -0.410023e-01   0.441559e-02   0.742749e-03   0.321030e-03
   0.609494e+02   0.350768e-01  -0.397302e-01   0.426972e-02   0.689528e-03   0.305815e-03
   0.624858e+02   0.340552e-01  -0.385177e-01   0.410007e-02   0.654266e-03   0.291756e-03
   0.640387e+02   0.330953e-01  -0.373609e-01   0.391184e-02   0.632319e-03   0.278584e-03
   0.656081e+02   0.321902e-01  -0.362527e-01   0.372121e-02   0.606653e-03   0.265292e-03
   0.671936e+02   0.313323e-01  -0.351906e-01   0.353609e-02   0.574296e-03   0.252123e-03
   0.687950e+02   0.305151e-01  -0.341739e-01   0.335658e-02   0.541796e-03   0.239622e-03
   0.704121e+02   0.297320e-01  -0.331992e-01   0.318467e-02   0.510332e-03   0.227772e-03
   0.720444e+02   0.289757e-01  -0.322616e-01   0.302261e-02   0.479777e-03   0.216502e-03
   0.736917e+02   0.282400e-01  -0.313576e-01   0.287459e-02   0.448233e-03   0.205253e-03
   0.753538e+02   0.275222e-01  -0.304873e-01   0.274267e-02   0.416233e-03   0.193772e-03
   0.770305e+02   0.268246e-01  -0.296523e-01   0.262234e-02   0.388293e-03   0.182959e-03
   0.787212e+02   0.261520e-01  -0.288506e-01   0.251059e-02   0.360993e-03   0.172908e-03
   0.804260e+02   0.255068e-01  -0.280794e-01   0.240525e-02   0.330689e-03   0.163372e-03
   0.821442e+02   0.248882e-01  -0.273380e-01   0.230388e-02   0.300171e-03   0.154224e-03
   0.838759e+02   0.242927e-01  -0.266270e-01   0.220671e-02   0.273250e-03   0.145621e-03
   0.856202e+02   0.237170e-01  -0.259456e-01   0.211463e-02   0.251966e-03   0.137957e-03
   0.873779e+02   0.231596e-01  -0.252906e-01   0.202751e-02   0.234627e-03   0.131211e-03
   0.891475e+02   0.226229e-01  -0.246593e-01   0.194290e-02   0.218387e-03   0.124854e-03
   0.909298e+02   0.221110e-01  -0.240524e-01   0.185341e-02   0.206679e-03   0.118738e-03
   0.927231e+02   0.216266e-01  -0.234707e-01   0.175309e-02   0.204081e-03   0.113130e-03
   0.945290e+02   0.211683e-01  -0.229119e-01   0.164717e-02   0.204263e-03   0.107843e-03
   0.963452e+02   0.207312e-01  -0.223723e-01   0.154511e-02   0.198358e-03   0.102309e-03
   0.981733e+02   0.203083e-01  -0.218505e-01   0.144936e-02   0.189635e-03   0.967844e-04
   0.100012e+03   0.198922e-01  -0.213446e-01   0.136372e-02   0.179741e-03   0.910228e-04
   0.101861e+03   0.194785e-01  -0.208533e-01   0.129341e-02   0.165601e-03   0.842568e-04
   0.103720e+03   0.190682e-01  -0.203779e-01   0.123399e-02   0.152598e-03   0.768744e-04
   0.105589e+03   0.186655e-01  -0.199186e-01   0.117886e-02   0.143620e-03   0.693774e-04
   0.107468e+03   0.182757e-01  -0.194716e-01   0.112613e-02   0.131526e-03   0.616661e-04
   0.109356e+03   0.179028e-01  -0.190342e-01   0.107335e-02   0.111875e-03   0.538177e-04
   0.111253e+03   0.175485e-01  -0.186078e-01   0.101355e-02   0.921195e-04   0.463819e-04
   0.113160e+03   0.172110e-01  -0.181948e-01   0.941876e-03   0.816397e-04   0.396794e-04
   0.115074e+03   0.168860e-01  -0.177954e-01   0.864676e-03   0.782071e-04   0.334991e-04
   0.116997e+03   0.165708e-01  -0.174096e-01   0.789281e-03   0.779682e-04   0.284115e-04
   0.118928e+03   0.162647e-01  -0.170370e-01   0.716654e-03   0.805262e-04   0.248886e-04
   0.120868e+03   0.159666e-01  -0.166754e-01   0.647143e-03   0.843571e-04   0.227350e-04
   0.122814e+03   0.156730e-01  -0.163227e-01   0.583643e-03   0.875031e-04   0.215236e-04
   0.124768e+03   0.153802e-01  -0.159785e-01   0.529595e-03   0.892918e-04   0.205904e-04
   0.126729e+03   0.150852e-01  -0.156428e-01   0.486594e-03   0.908381e-04   0.198462e-04
   0.128697e+03   0.147883e-01  -0.153150e-01   0.457186e-03   0.887155e-04   0.191769e-04
   0.130672e+03   0.144937e-01  -0.149954e-01   0.439723e-03   0.805273e-04   0.185831e-04
   0.132654e+03   0.142076e-01  -0.146852e-01   0.427265e-03   0.684890e-04   0.181936e-04
   0.134641e+03   0.139337e-01  -0.143853e-01   0.414000e-03   0.554322e-04   0.178936e-04
   0.136635e+03   0.136731e-01  -0.140963e-01   0.395609e-03   0.451931e-04   0.176134e-04
   0.138635e+03   0.134253e-01  -0.138168e-01   0.371025e-03   0.374731e-04   0.170290e-04
   0.140640e+03   0.131904e-01  -0.135453e-01   0.340563e-03   0.302494e-04   0.159182e-04
   0.142650e+03   0.129675e-01  -0.132818e-01   0.301541e-03   0.274728e-04   0.147283e-04
   0.144666e+03   0.127541e-01  -0.130270e-01   0.253760e-03   0.330170e-04   0.138811e-04
   0.146686e+03   0.125456e-01  -0.127802e-01   0.203253e-03   0.452113e-04   0.138559e-04
   0.148713e+03   0.123380e-01  -0.125396e-01   0.159273e-03   0.571350e-04   0.147806e-04
