   j        y+           t_mean+        t_rms+           ut+    
   1   0.110599e+00   0.110599e+00   0.458249e-01   0.190327e-02
   2   0.335591e+00   0.335589e+00   0.139052e+00   0.175572e-01
   3   0.568392e+00   0.568367e+00   0.235510e+00   0.504333e-01
   4   0.809442e+00   0.809331e+00   0.335331e+00   0.102385e+00
   5   0.105918e+01   0.105885e+01   0.438598e+00   0.175398e+00
   6   0.131805e+01   0.131726e+01   0.545328e+00   0.271533e+00
   7   0.158649e+01   0.158484e+01   0.655460e+00   0.392847e+00
   8   0.186496e+01   0.186178e+01   0.768842e+00   0.541285e+00
   9   0.215388e+01   0.214822e+01   0.885213e+00   0.718545e+00
  10   0.245371e+01   0.244417e+01   0.100420e+01   0.925924e+00
  11   0.276487e+01   0.274952e+01   0.112531e+01   0.116416e+01
  12   0.308781e+01   0.306404e+01   0.124793e+01   0.143325e+01
  13   0.342295e+01   0.338734e+01   0.137134e+01   0.173233e+01
  14   0.377073e+01   0.371886e+01   0.149476e+01   0.205960e+01
  15   0.413156e+01   0.405790e+01   0.161729e+01   0.241223e+01
  16   0.450587e+01   0.440356e+01   0.173805e+01   0.278639e+01
  17   0.489406e+01   0.475483e+01   0.185610e+01   0.317741e+01
  18   0.529653e+01   0.511053e+01   0.197057e+01   0.357983e+01
  19   0.571369e+01   0.546937e+01   0.208060e+01   0.398771e+01
  20   0.614592e+01   0.582998e+01   0.218544e+01   0.439481e+01
  21   0.659361e+01   0.619092e+01   0.228441e+01   0.479486e+01
  22   0.705712e+01   0.655074e+01   0.237697e+01   0.518184e+01
  23   0.753681e+01   0.690799e+01   0.246269e+01   0.555020e+01
  24   0.803304e+01   0.726126e+01   0.254125e+01   0.589501e+01
  25   0.854614e+01   0.760924e+01   0.261247e+01   0.621216e+01
  26   0.907647e+01   0.795070e+01   0.267627e+01   0.649838e+01
  27   0.962433e+01   0.828456e+01   0.273270e+01   0.675133e+01
  28   0.101900e+02   0.860986e+01   0.278187e+01   0.696954e+01
  29   0.107738e+02   0.892581e+01   0.282399e+01   0.715235e+01
  30   0.113760e+02   0.923177e+01   0.285931e+01   0.729989e+01
  31   0.119969e+02   0.952726e+01   0.288815e+01   0.741289e+01
  32   0.126367e+02   0.981195e+01   0.291087e+01   0.749265e+01
  33   0.132956e+02   0.100856e+02   0.292783e+01   0.754089e+01
  34   0.139741e+02   0.103483e+02   0.293944e+01   0.755966e+01
  35   0.146720e+02   0.105999e+02   0.294608e+01   0.755121e+01
  36   0.153899e+02   0.108407e+02   0.294815e+01   0.751797e+01
  37   0.161278e+02   0.110709e+02   0.294607e+01   0.746241e+01
  38   0.168858e+02   0.112907e+02   0.294021e+01   0.738703e+01
  39   0.176642e+02   0.115006e+02   0.293094e+01   0.729426e+01
  40   0.184630e+02   0.117009e+02   0.291863e+01   0.718645e+01
  41   0.192825e+02   0.118921e+02   0.290362e+01   0.706586e+01
  42   0.201226e+02   0.120745e+02   0.288623e+01   0.693458e+01
  43   0.209837e+02   0.122487e+02   0.286676e+01   0.679459e+01
  44   0.218656e+02   0.124150e+02   0.284550e+01   0.664772e+01
  45   0.227686e+02   0.125739e+02   0.282271e+01   0.649565e+01
  46   0.236926e+02   0.127259e+02   0.279866e+01   0.633988e+01
  47   0.246377e+02   0.128713e+02   0.277357e+01   0.618177e+01
  48   0.256038e+02   0.130105e+02   0.274766e+01   0.602255e+01
  49   0.265912e+02   0.131440e+02   0.272111e+01   0.586330e+01
  50   0.275996e+02   0.132720e+02   0.269409e+01   0.570497e+01
  51   0.286292e+02   0.133950e+02   0.266678e+01   0.554840e+01
  52   0.296798e+02   0.135131e+02   0.263930e+01   0.539432e+01
  53   0.307516e+02   0.136269e+02   0.261177e+01   0.524333e+01
  54   0.318443e+02   0.137364e+02   0.258431e+01   0.509592e+01
  55   0.329580e+02   0.138421e+02   0.255699e+01   0.495245e+01
  56   0.340926e+02   0.139441e+02   0.252987e+01   0.481316e+01
  57   0.352479e+02   0.140427e+02   0.250301e+01   0.467813e+01
  58   0.364239e+02   0.141381e+02   0.247643e+01   0.454738e+01
  59   0.376204e+02   0.142305e+02   0.245016e+01   0.442085e+01
  60   0.388374e+02   0.143202e+02   0.242425e+01   0.429847e+01
  61   0.400747e+02   0.144074e+02   0.239871e+01   0.418020e+01
  62   0.413322e+02   0.144921e+02   0.237358e+01   0.406603e+01
  63   0.426097e+02   0.145747e+02   0.234888e+01   0.395596e+01
  64   0.439069e+02   0.146551e+02   0.232466e+01   0.385002e+01
  65   0.452239e+02   0.147336e+02   0.230094e+01   0.374818e+01
  66   0.465603e+02   0.148103e+02   0.227775e+01   0.365042e+01
  67   0.479160e+02   0.148851e+02   0.225512e+01   0.355671e+01
  68   0.492909e+02   0.149584e+02   0.223308e+01   0.346696e+01
  69   0.506845e+02   0.150300e+02   0.221163e+01   0.338108e+01
  70   0.520969e+02   0.151001e+02   0.219075e+01   0.329891e+01
  71   0.535276e+02   0.151687e+02   0.217041e+01   0.322025e+01
  72   0.549765e+02   0.152360e+02   0.215059e+01   0.314487e+01
  73   0.564434e+02   0.153019e+02   0.213125e+01   0.307255e+01
  74   0.579281e+02   0.153667e+02   0.211239e+01   0.300309e+01
  75   0.594301e+02   0.154302e+02   0.209399e+01   0.293632e+01
  76   0.609494e+02   0.154927e+02   0.207602e+01   0.287210e+01
  77   0.624858e+02   0.155542e+02   0.205848e+01   0.281035e+01
  78   0.640387e+02   0.156148e+02   0.204135e+01   0.275099e+01
  79   0.656081e+02   0.156745e+02   0.202465e+01   0.269398e+01
  80   0.671936e+02   0.157333e+02   0.200839e+01   0.263925e+01
  81   0.687950e+02   0.157914e+02   0.199257e+01   0.258672e+01
  82   0.704121e+02   0.158487e+02   0.197716e+01   0.253627e+01
  83   0.720444e+02   0.159053e+02   0.196218e+01   0.248778e+01
  84   0.736918e+02   0.159612e+02   0.194759e+01   0.244113e+01
  85   0.753538e+02   0.160164e+02   0.193340e+01   0.239624e+01
  86   0.770305e+02   0.160708e+02   0.191959e+01   0.235302e+01
  87   0.787212e+02   0.161245e+02   0.190613e+01   0.231140e+01
  88   0.804260e+02   0.161775e+02   0.189301e+01   0.227130e+01
  89   0.821442e+02   0.162299e+02   0.188020e+01   0.223266e+01
  90   0.838759e+02   0.162816e+02   0.186769e+01   0.219538e+01
  91   0.856202e+02   0.163326e+02   0.185544e+01   0.215940e+01
  92   0.873779e+02   0.163831e+02   0.184343e+01   0.212460e+01
  93   0.891475e+02   0.164329e+02   0.183166e+01   0.209091e+01
  94   0.909298e+02   0.164822e+02   0.182010e+01   0.205827e+01
  95   0.927231e+02   0.165309e+02   0.180876e+01   0.202667e+01
  96   0.945290e+02   0.165791e+02   0.179763e+01   0.199612e+01
  97   0.963452e+02   0.166268e+02   0.178674e+01   0.196662e+01
  98   0.981733e+02   0.166741e+02   0.177609e+01   0.193811e+01
  99   0.100012e+03   0.167209e+02   0.176567e+01   0.191050e+01
 100   0.101861e+03   0.167672e+02   0.175547e+01   0.188368e+01
 101   0.103720e+03   0.168131e+02   0.174548e+01   0.185758e+01
 102   0.105589e+03   0.168584e+02   0.173568e+01   0.183213e+01
 103   0.107468e+03   0.169033e+02   0.172607e+01   0.180729e+01
 104   0.109356e+03   0.169477e+02   0.171662e+01   0.178298e+01
 105   0.111253e+03   0.169916e+02   0.170731e+01   0.175915e+01
 106   0.113160e+03   0.170352e+02   0.169810e+01   0.173577e+01
 107   0.115074e+03   0.170783e+02   0.168897e+01   0.171284e+01
 108   0.116997e+03   0.171211e+02   0.167992e+01   0.169041e+01
 109   0.118928e+03   0.171636e+02   0.167096e+01   0.166849e+01
 110   0.120868e+03   0.172056e+02   0.166209e+01   0.164712e+01
 111   0.122814e+03   0.172474e+02   0.165333e+01   0.162627e+01
 112   0.124768e+03   0.172888e+02   0.164469e+01   0.160594e+01
 113   0.126729e+03   0.173297e+02   0.163618e+01   0.158610e+01
 114   0.128697e+03   0.173703e+02   0.162781e+01   0.156675e+01
 115   0.130672e+03   0.174105e+02   0.161958e+01   0.154784e+01
 116   0.132654e+03   0.174503e+02   0.161148e+01   0.152934e+01
 117   0.134641e+03   0.174896e+02   0.160348e+01   0.151124e+01
 118   0.136635e+03   0.175286e+02   0.159555e+01   0.149355e+01
 119   0.138635e+03   0.175673e+02   0.158767e+01   0.147629e+01
 120   0.140640e+03   0.176056e+02   0.157982e+01   0.145944e+01
 121   0.142650e+03   0.176437e+02   0.157199e+01   0.144295e+01
 122   0.144666e+03   0.176814e+02   0.156416e+01   0.142682e+01
 123   0.146686e+03   0.177190e+02   0.155637e+01   0.141105e+01
 124   0.148713e+03   0.177563e+02   0.154863e+01   0.139562e+01
