   j        y+           t_mean+        t_rms+           ut+    
 125   0.150743e+03   0.177933e+02   0.154100e+01   0.138052e+01
 126   0.152778e+03   0.178301e+02   0.153347e+01   0.136569e+01
 127   0.154817e+03   0.178665e+02   0.152606e+01   0.135106e+01
 128   0.156861e+03   0.179027e+02   0.151874e+01   0.133656e+01
 129   0.158909e+03   0.179385e+02   0.151150e+01   0.132212e+01
 130   0.160959e+03   0.179740e+02   0.150429e+01   0.130767e+01
 131   0.163015e+03   0.180092e+02   0.149711e+01   0.129317e+01
 132   0.165074e+03   0.180440e+02   0.148992e+01   0.127860e+01
 133   0.167136e+03   0.180786e+02   0.148272e+01   0.126399e+01
 134   0.169201e+03   0.181128e+02   0.147548e+01   0.124940e+01
 135   0.171269e+03   0.181468e+02   0.146823e+01   0.123492e+01
 136   0.173340e+03   0.181806e+02   0.146098e+01   0.122059e+01
 137   0.175415e+03   0.182141e+02   0.145373e+01   0.120643e+01
 138   0.177492e+03   0.182474e+02   0.144650e+01   0.119242e+01
 139   0.179572e+03   0.182804e+02   0.143929e+01   0.117857e+01
 140   0.181654e+03   0.183131e+02   0.143207e+01   0.116487e+01
 141   0.183739e+03   0.183456e+02   0.142485e+01   0.115131e+01
 142   0.185825e+03   0.183777e+02   0.141762e+01   0.113786e+01
 143   0.187915e+03   0.184096e+02   0.141038e+01   0.112445e+01
 144   0.190006e+03   0.184411e+02   0.140314e+01   0.111107e+01
 145   0.192100e+03   0.184724e+02   0.139589e+01   0.109770e+01
 146   0.194195e+03   0.185034e+02   0.138864e+01   0.108440e+01
 147   0.196291e+03   0.185340e+02   0.138140e+01   0.107120e+01
 148   0.198390e+03   0.185645e+02   0.137418e+01   0.105815e+01
 149   0.200490e+03   0.185946e+02   0.136700e+01   0.104527e+01
 150   0.202592e+03   0.186246e+02   0.135985e+01   0.103255e+01
 151   0.204695e+03   0.186542e+02   0.135272e+01   0.102000e+01
 152   0.206801e+03   0.186837e+02   0.134562e+01   0.100760e+01
 153   0.208907e+03   0.187128e+02   0.133854e+01   0.995357e+00
 154   0.211014e+03   0.187417e+02   0.133151e+01   0.983273e+00
 155   0.213122e+03   0.187702e+02   0.132454e+01   0.971369e+00
 156   0.215232e+03   0.187984e+02   0.131763e+01   0.959660e+00
 157   0.217343e+03   0.188263e+02   0.131078e+01   0.948145e+00
 158   0.219456e+03   0.188539e+02   0.130398e+01   0.936798e+00
 159   0.221568e+03   0.188812e+02   0.129721e+01   0.925578e+00
 160   0.223682e+03   0.189081e+02   0.129045e+01   0.914448e+00
 161   0.225797e+03   0.189347e+02   0.128368e+01   0.903376e+00
 162   0.227913e+03   0.189609e+02   0.127689e+01   0.892337e+00
 163   0.230029e+03   0.189869e+02   0.127010e+01   0.881309e+00
 164   0.232146e+03   0.190126e+02   0.126331e+01   0.870278e+00
 165   0.234264e+03   0.190379e+02   0.125653e+01   0.859224e+00
 166   0.236382e+03   0.190629e+02   0.124976e+01   0.848130e+00
 167   0.238502e+03   0.190877e+02   0.124299e+01   0.836980e+00
 168   0.240621e+03   0.191121e+02   0.123620e+01   0.825778e+00
 169   0.242742e+03   0.191363e+02   0.122938e+01   0.814544e+00
 170   0.244863e+03   0.191602e+02   0.122251e+01   0.803321e+00
 171   0.246984e+03   0.191837e+02   0.121560e+01   0.792160e+00
 172   0.249106e+03   0.192070e+02   0.120868e+01   0.781105e+00
 173   0.251229e+03   0.192300e+02   0.120176e+01   0.770195e+00
 174   0.253351e+03   0.192527e+02   0.119486e+01   0.759455e+00
 175   0.255475e+03   0.192751e+02   0.118796e+01   0.748902e+00
 176   0.257598e+03   0.192973e+02   0.118104e+01   0.738545e+00
 177   0.259723e+03   0.193191e+02   0.117409e+01   0.728386e+00
 178   0.261847e+03   0.193406e+02   0.116708e+01   0.718420e+00
 179   0.263971e+03   0.193619e+02   0.116004e+01   0.708633e+00
 180   0.266096e+03   0.193828e+02   0.115297e+01   0.698999e+00
 181   0.268222e+03   0.194035e+02   0.114587e+01   0.689478e+00
 182   0.270348e+03   0.194240e+02   0.113876e+01   0.680024e+00
 183   0.272474e+03   0.194441e+02   0.113164e+01   0.670594e+00
 184   0.274600e+03   0.194640e+02   0.112451e+01   0.661161e+00
 185   0.276727e+03   0.194837e+02   0.111738e+01   0.651712e+00
 186   0.278853e+03   0.195031e+02   0.111028e+01   0.642249e+00
 187   0.280981e+03   0.195222e+02   0.110319e+01   0.632777e+00
 188   0.283108e+03   0.195411e+02   0.109613e+01   0.623305e+00
 189   0.285236e+03   0.195597e+02   0.108908e+01   0.613844e+00
 190   0.287363e+03   0.195780e+02   0.108206e+01   0.604406e+00
 191   0.289492e+03   0.195961e+02   0.107508e+01   0.595006e+00
 192   0.291620e+03   0.196137e+02   0.106814e+01   0.585661e+00
 193   0.293748e+03   0.196311e+02   0.106125e+01   0.576386e+00
 194   0.295876e+03   0.196481e+02   0.105441e+01   0.567194e+00
 195   0.298005e+03   0.196648e+02   0.104762e+01   0.558087e+00
 196   0.300134e+03   0.196811e+02   0.104089e+01   0.549055e+00
 197   0.302263e+03   0.196970e+02   0.103421e+01   0.540076e+00
 198   0.304393e+03   0.197126e+02   0.102758e+01   0.531122e+00
 199   0.306522e+03   0.197278e+02   0.102101e+01   0.522166e+00
 200   0.308651e+03   0.197427e+02   0.101450e+01   0.513192e+00
 201   0.310781e+03   0.197573e+02   0.100807e+01   0.504198e+00
 202   0.312911e+03   0.197715e+02   0.100173e+01   0.495197e+00
 203   0.315042e+03   0.197854e+02   0.995463e+00   0.486207e+00
 204   0.317172e+03   0.197990e+02   0.989270e+00   0.477243e+00
 205   0.319302e+03   0.198123e+02   0.983143e+00   0.468318e+00
 206   0.321433e+03   0.198253e+02   0.977086e+00   0.459449e+00
 207   0.323563e+03   0.198380e+02   0.971104e+00   0.450658e+00
 208   0.325694e+03   0.198504e+02   0.965204e+00   0.441971e+00
 209   0.327826e+03   0.198625e+02   0.959392e+00   0.433412e+00
 210   0.329956e+03   0.198744e+02   0.953672e+00   0.424999e+00
 211   0.332088e+03   0.198859e+02   0.948046e+00   0.416749e+00
 212   0.334219e+03   0.198971e+02   0.942515e+00   0.408678e+00
 213   0.336350e+03   0.199080e+02   0.937089e+00   0.400800e+00
 214   0.338482e+03   0.199186e+02   0.931781e+00   0.393131e+00
 215   0.340614e+03   0.199289e+02   0.926601e+00   0.385678e+00
 216   0.342745e+03   0.199388e+02   0.921556e+00   0.378446e+00
 217   0.344878e+03   0.199484e+02   0.916648e+00   0.371441e+00
 218   0.347010e+03   0.199576e+02   0.911882e+00   0.364679e+00
 219   0.349142e+03   0.199665e+02   0.907268e+00   0.358179e+00
 220   0.351274e+03   0.199750e+02   0.902824e+00   0.351960e+00
 221   0.353406e+03   0.199831e+02   0.898566e+00   0.346032e+00
 222   0.355539e+03   0.199908e+02   0.894510e+00   0.340397e+00
 223   0.357671e+03   0.199982e+02   0.890656e+00   0.335055e+00
 224   0.359804e+03   0.200051e+02   0.886998e+00   0.330002e+00
 225   0.361937e+03   0.200117e+02   0.883522e+00   0.325243e+00
 226   0.364069e+03   0.200178e+02   0.880217e+00   0.320783e+00
 227   0.366202e+03   0.200235e+02   0.877078e+00   0.316623e+00
 228   0.368335e+03   0.200288e+02   0.874104e+00   0.312758e+00
 229   0.370468e+03   0.200337e+02   0.871298e+00   0.309175e+00
 230   0.372601e+03   0.200382e+02   0.868664e+00   0.305859e+00
 231   0.374734e+03   0.200423e+02   0.866207e+00   0.302799e+00
 232   0.376867e+03   0.200460e+02   0.863937e+00   0.299991e+00
 233   0.379000e+03   0.200493e+02   0.861870e+00   0.297440e+00
 234   0.381134e+03   0.200521e+02   0.860023e+00   0.295158e+00
 235   0.383267e+03   0.200545e+02   0.858418e+00   0.293162e+00
 236   0.385400e+03   0.200565e+02   0.857072e+00   0.291469e+00
 237   0.387534e+03   0.200581e+02   0.855997e+00   0.290097e+00
 238   0.389667e+03   0.200592e+02   0.855195e+00   0.289056e+00
 239   0.391800e+03   0.200600e+02   0.854665e+00   0.288355e+00
 240   0.393933e+03   0.200604e+02   0.854402e+00   0.288003e+00
