   j        y+           t_mean+        t_rms+           ut+    
   1   0.110599e+00   0.774193e+00   0.304382e+00   0.844626e-02
   2   0.335591e+00   0.234905e+01   0.923558e+00   0.782913e-01
   3   0.568392e+00   0.397783e+01   0.156359e+01   0.227220e+00
   4   0.809442e+00   0.566206e+01   0.222387e+01   0.467958e+00
   5   0.105918e+01   0.740183e+01   0.290206e+01   0.815289e+00
   6   0.131805e+01   0.919531e+01   0.359331e+01   0.128436e+01
   7   0.158649e+01   0.110381e+02   0.428966e+01   0.188816e+01
   8   0.186496e+01   0.129226e+02   0.497990e+01   0.263454e+01
   9   0.215388e+01   0.148382e+02   0.565017e+01   0.352339e+01
  10   0.245371e+01   0.167711e+02   0.628519e+01   0.454459e+01
  11   0.276487e+01   0.187047e+02   0.686985e+01   0.567750e+01
  12   0.308781e+01   0.206211e+02   0.739085e+01   0.689203e+01
  13   0.342295e+01   0.225016e+02   0.783804e+01   0.815129e+01
  14   0.377073e+01   0.243283e+02   0.820517e+01   0.941514e+01
  15   0.413156e+01   0.260853e+02   0.849016e+01   0.106440e+02
  16   0.450587e+01   0.277592e+02   0.869485e+01   0.118024e+02
  17   0.489406e+01   0.293400e+02   0.882433e+01   0.128614e+02
  18   0.529653e+01   0.308213e+02   0.888606e+01   0.137999e+02
  19   0.571369e+01   0.321998e+02   0.888898e+01   0.146050e+02
  20   0.614592e+01   0.334755e+02   0.884256e+01   0.152713e+02
  21   0.659361e+01   0.346506e+02   0.875612e+01   0.157997e+02
  22   0.705712e+01   0.357292e+02   0.863827e+01   0.161958e+02
  23   0.753681e+01   0.367168e+02   0.849659e+01   0.164683e+02
  24   0.803304e+01   0.376195e+02   0.833750e+01   0.166280e+02
  25   0.854614e+01   0.384440e+02   0.816625e+01   0.166865e+02
  26   0.907647e+01   0.391970e+02   0.798710e+01   0.166557e+02
  27   0.962433e+01   0.398848e+02   0.780338e+01   0.165471e+02
  28   0.101900e+02   0.405137e+02   0.761770e+01   0.163718e+02
  29   0.107738e+02   0.410895e+02   0.743206e+01   0.161398e+02
  30   0.113760e+02   0.416176e+02   0.724796e+01   0.158605e+02
  31   0.119969e+02   0.421028e+02   0.706651e+01   0.155421e+02
  32   0.126367e+02   0.425494e+02   0.688850e+01   0.151919e+02
  33   0.132956e+02   0.429614e+02   0.671450e+01   0.148166e+02
  34   0.139741e+02   0.433422e+02   0.654488e+01   0.144216e+02
  35   0.146720e+02   0.436950e+02   0.637986e+01   0.140119e+02
  36   0.153899e+02   0.440224e+02   0.621956e+01   0.135918e+02
  37   0.161278e+02   0.443270e+02   0.606402e+01   0.131650e+02
  38   0.168858e+02   0.446109e+02   0.591332e+01   0.127350e+02
  39   0.176642e+02   0.448760e+02   0.576749e+01   0.123048e+02
  40   0.184630e+02   0.451239e+02   0.562650e+01   0.118770e+02
  41   0.192825e+02   0.453562e+02   0.549024e+01   0.114537e+02
  42   0.201226e+02   0.455743e+02   0.535848e+01   0.110367e+02
  43   0.209837e+02   0.457794e+02   0.523101e+01   0.106275e+02
  44   0.218656e+02   0.459728e+02   0.510772e+01   0.102274e+02
  45   0.227686e+02   0.461553e+02   0.498864e+01   0.983769e+01
  46   0.236926e+02   0.463279e+02   0.487375e+01   0.945934e+01
  47   0.246377e+02   0.464914e+02   0.476299e+01   0.909286e+01
  48   0.256038e+02   0.466466e+02   0.465621e+01   0.873856e+01
  49   0.265912e+02   0.467941e+02   0.455318e+01   0.839669e+01
  50   0.275996e+02   0.469346e+02   0.445370e+01   0.806754e+01
  51   0.286292e+02   0.470689e+02   0.435767e+01   0.775146e+01
  52   0.296798e+02   0.471972e+02   0.426513e+01   0.744872e+01
  53   0.307516e+02   0.473201e+02   0.417602e+01   0.715934e+01
  54   0.318443e+02   0.474380e+02   0.409018e+01   0.688321e+01
  55   0.329580e+02   0.475511e+02   0.400749e+01   0.662003e+01
  56   0.340926e+02   0.476597e+02   0.392794e+01   0.636949e+01
  57   0.352479e+02   0.477642e+02   0.385151e+01   0.613112e+01
  58   0.364239e+02   0.478649e+02   0.377797e+01   0.590409e+01
  59   0.376204e+02   0.479622e+02   0.370705e+01   0.568764e+01
  60   0.388374e+02   0.480563e+02   0.363864e+01   0.548134e+01
  61   0.400747e+02   0.481474e+02   0.357275e+01   0.528500e+01
  62   0.413322e+02   0.482357e+02   0.350942e+01   0.509839e+01
  63   0.426097e+02   0.483214e+02   0.344849e+01   0.492107e+01
  64   0.439069e+02   0.484049e+02   0.338981e+01   0.475262e+01
  65   0.452239e+02   0.484861e+02   0.333332e+01   0.459286e+01
  66   0.465603e+02   0.485650e+02   0.327906e+01   0.444167e+01
  67   0.479160e+02   0.486418e+02   0.322705e+01   0.429860e+01
  68   0.492909e+02   0.487166e+02   0.317705e+01   0.416309e+01
  69   0.506845e+02   0.487898e+02   0.312895e+01   0.403476e+01
  70   0.520969e+02   0.488613e+02   0.308262e+01   0.391314e+01
  71   0.535276e+02   0.489310e+02   0.303791e+01   0.379769e+01
  72   0.549765e+02   0.489991e+02   0.299489e+01   0.368823e+01
  73   0.564434e+02   0.490656e+02   0.295354e+01   0.358445e+01
  74   0.579281e+02   0.491307e+02   0.291372e+01   0.348561e+01
  75   0.594301e+02   0.491946e+02   0.287531e+01   0.339124e+01
  76   0.609494e+02   0.492572e+02   0.283830e+01   0.330125e+01
  77   0.624858e+02   0.493188e+02   0.280269e+01   0.321550e+01
  78   0.640387e+02   0.493793e+02   0.276834e+01   0.313376e+01
  79   0.656081e+02   0.494388e+02   0.273521e+01   0.305596e+01
  80   0.671936e+02   0.494974e+02   0.270326e+01   0.298198e+01
  81   0.687950e+02   0.495553e+02   0.267240e+01   0.291146e+01
  82   0.704121e+02   0.496125e+02   0.264250e+01   0.284404e+01
  83   0.720444e+02   0.496691e+02   0.261358e+01   0.277954e+01
  84   0.736918e+02   0.497249e+02   0.258563e+01   0.271785e+01
  85   0.753538e+02   0.497799e+02   0.255856e+01   0.265888e+01
  86   0.770305e+02   0.498341e+02   0.253225e+01   0.260256e+01
  87   0.787212e+02   0.498876e+02   0.250674e+01   0.254879e+01
  88   0.804260e+02   0.499403e+02   0.248210e+01   0.249743e+01
  89   0.821442e+02   0.499923e+02   0.245834e+01   0.244826e+01
  90   0.838759e+02   0.500436e+02   0.243536e+01   0.240113e+01
  91   0.856202e+02   0.500942e+02   0.241304e+01   0.235579e+01
  92   0.873779e+02   0.501442e+02   0.239126e+01   0.231218e+01
  93   0.891475e+02   0.501935e+02   0.237006e+01   0.227033e+01
  94   0.909298e+02   0.502422e+02   0.234943e+01   0.222999e+01
  95   0.927231e+02   0.502903e+02   0.232932e+01   0.219113e+01
  96   0.945290e+02   0.503378e+02   0.230984e+01   0.215402e+01
  97   0.963452e+02   0.503846e+02   0.229095e+01   0.211852e+01
  98   0.981733e+02   0.504310e+02   0.227262e+01   0.208445e+01
  99   0.100012e+03   0.504770e+02   0.225486e+01   0.205170e+01
 100   0.101861e+03   0.505225e+02   0.223767e+01   0.202006e+01
 101   0.103720e+03   0.505675e+02   0.222099e+01   0.198941e+01
 102   0.105589e+03   0.506120e+02   0.220481e+01   0.195972e+01
 103   0.107468e+03   0.506560e+02   0.218912e+01   0.193079e+01
 104   0.109356e+03   0.506994e+02   0.217387e+01   0.190256e+01
 105   0.111253e+03   0.507424e+02   0.215894e+01   0.187496e+01
 106   0.113160e+03   0.507851e+02   0.214425e+01   0.184794e+01
 107   0.115074e+03   0.508274e+02   0.212972e+01   0.182150e+01
 108   0.116997e+03   0.508693e+02   0.211540e+01   0.179576e+01
 109   0.118928e+03   0.509108e+02   0.210134e+01   0.177083e+01
 110   0.120868e+03   0.509521e+02   0.208748e+01   0.174678e+01
 111   0.122814e+03   0.509932e+02   0.207374e+01   0.172348e+01
 112   0.124768e+03   0.510341e+02   0.206025e+01   0.170073e+01
 113   0.126729e+03   0.510747e+02   0.204705e+01   0.167850e+01
 114   0.128697e+03   0.511148e+02   0.203413e+01   0.165683e+01
 115   0.130672e+03   0.511542e+02   0.202155e+01   0.163570e+01
 116   0.132654e+03   0.511931e+02   0.200935e+01   0.161505e+01
 117   0.134641e+03   0.512316e+02   0.199747e+01   0.159501e+01
 118   0.136635e+03   0.512698e+02   0.198581e+01   0.157562e+01
 119   0.138635e+03   0.513076e+02   0.197419e+01   0.155681e+01
 120   0.140640e+03   0.513453e+02   0.196265e+01   0.153841e+01
 121   0.142650e+03   0.513827e+02   0.195123e+01   0.152029e+01
 122   0.144666e+03   0.514199e+02   0.193993e+01   0.150257e+01
 123   0.146686e+03   0.514568e+02   0.192879e+01   0.148540e+01
 124   0.148713e+03   0.514934e+02   0.191785e+01   0.146878e+01
 125   0.150743e+03   0.515297e+02   0.190721e+01   0.145271e+01
 126   0.152778e+03   0.515657e+02   0.189689e+01   0.143711e+01
 127   0.154817e+03   0.516014e+02   0.188683e+01   0.142177e+01
 128   0.156861e+03   0.516368e+02   0.187707e+01   0.140648e+01
 129   0.158909e+03   0.516718e+02   0.186745e+01   0.139122e+01
 130   0.160959e+03   0.517065e+02   0.185779e+01   0.137599e+01
 131   0.163015e+03   0.517410e+02   0.184812e+01   0.136068e+01
 132   0.165074e+03   0.517750e+02   0.183846e+01   0.134526e+01
 133   0.167136e+03   0.518087e+02   0.182873e+01   0.132982e+01
 134   0.169201e+03   0.518422e+02   0.181898e+01   0.131448e+01
 135   0.171269e+03   0.518755e+02   0.180937e+01   0.129940e+01
 136   0.173340e+03   0.519085e+02   0.179986e+01   0.128456e+01
 137   0.175415e+03   0.519413e+02   0.179041e+01   0.126984e+01
 138   0.177492e+03   0.519740e+02   0.178101e+01   0.125520e+01
 139   0.179572e+03   0.520065e+02   0.177164e+01   0.124067e+01
 140   0.181654e+03   0.520387e+02   0.176225e+01   0.122631e+01
 141   0.183739e+03   0.520705e+02   0.175289e+01   0.121220e+01
 142   0.185825e+03   0.521020e+02   0.174362e+01   0.119834e+01
 143   0.187915e+03   0.521331e+02   0.173448e+01   0.118454e+01
 144   0.190006e+03   0.521639e+02   0.172547e+01   0.117068e+01
 145   0.192100e+03   0.521944e+02   0.171650e+01   0.115673e+01
 146   0.194195e+03   0.522247e+02   0.170748e+01   0.114281e+01
 147   0.196291e+03   0.522547e+02   0.169845e+01   0.112902e+01
 148   0.198390e+03   0.522845e+02   0.168950e+01   0.111547e+01
 149   0.200490e+03   0.523140e+02   0.168075e+01   0.110224e+01
 150   0.202592e+03   0.523434e+02   0.167213e+01   0.108932e+01
 151   0.204695e+03   0.523727e+02   0.166349e+01   0.107657e+01
 152   0.206801e+03   0.524018e+02   0.165482e+01   0.106385e+01
 153   0.208907e+03   0.524308e+02   0.164620e+01   0.105112e+01
 154   0.211014e+03   0.524595e+02   0.163768e+01   0.103841e+01
 155   0.213122e+03   0.524879e+02   0.162935e+01   0.102590e+01
 156   0.215232e+03   0.525160e+02   0.162117e+01   0.101366e+01
 157   0.217343e+03   0.525438e+02   0.161313e+01   0.100178e+01
 158   0.219456e+03   0.525713e+02   0.160518e+01   0.990234e+00
 159   0.221568e+03   0.525984e+02   0.159721e+01   0.978903e+00
 160   0.223682e+03   0.526251e+02   0.158917e+01   0.967676e+00
 161   0.225797e+03   0.526515e+02   0.158114e+01   0.956437e+00
 162   0.227913e+03   0.526776e+02   0.157306e+01   0.945129e+00
 163   0.230029e+03   0.527035e+02   0.156489e+01   0.933801e+00
 164   0.232146e+03   0.527292e+02   0.155666e+01   0.922513e+00
 165   0.234264e+03   0.527546e+02   0.154840e+01   0.911278e+00
 166   0.236382e+03   0.527797e+02   0.154013e+01   0.900003e+00
 167   0.238502e+03   0.528045e+02   0.153188e+01   0.888575e+00
 168   0.240621e+03   0.528290e+02   0.152364e+01   0.876945e+00
 169   0.242742e+03   0.528532e+02   0.151538e+01   0.865145e+00
 170   0.244863e+03   0.528770e+02   0.150717e+01   0.853321e+00
 171   0.246984e+03   0.529006e+02   0.149905e+01   0.841624e+00
 172   0.249106e+03   0.529238e+02   0.149101e+01   0.830085e+00
 173   0.251229e+03   0.529468e+02   0.148308e+01   0.818706e+00
 174   0.253351e+03   0.529695e+02   0.147525e+01   0.807543e+00
 175   0.255475e+03   0.529918e+02   0.146747e+01   0.796626e+00
 176   0.257598e+03   0.530136e+02   0.145972e+01   0.785989e+00
 177   0.259723e+03   0.530352e+02   0.145196e+01   0.775657e+00
 178   0.261847e+03   0.530566e+02   0.144411e+01   0.765647e+00
 179   0.263971e+03   0.530776e+02   0.143618e+01   0.755934e+00
 180   0.266096e+03   0.530984e+02   0.142824e+01   0.746447e+00
 181   0.268222e+03   0.531190e+02   0.142033e+01   0.737094e+00
 182   0.270348e+03   0.531393e+02   0.141244e+01   0.727813e+00
 183   0.272474e+03   0.531594e+02   0.140459e+01   0.718525e+00
 184   0.274600e+03   0.531793e+02   0.139677e+01   0.709176e+00
 185   0.276727e+03   0.531990e+02   0.138902e+01   0.699785e+00
 186   0.278853e+03   0.532185e+02   0.138138e+01   0.690382e+00
 187   0.280981e+03   0.532377e+02   0.137384e+01   0.681029e+00
 188   0.283108e+03   0.532567e+02   0.136631e+01   0.671749e+00
 189   0.285236e+03   0.532755e+02   0.135871e+01   0.662496e+00
 190   0.287363e+03   0.532940e+02   0.135103e+01   0.653244e+00
 191   0.289492e+03   0.533123e+02   0.134332e+01   0.644006e+00
 192   0.291620e+03   0.533302e+02   0.133567e+01   0.634784e+00
 193   0.293748e+03   0.533478e+02   0.132807e+01   0.625586e+00
 194   0.295876e+03   0.533650e+02   0.132054e+01   0.616444e+00
 195   0.298005e+03   0.533818e+02   0.131309e+01   0.607392e+00
 196   0.300134e+03   0.533981e+02   0.130575e+01   0.598444e+00
 197   0.302263e+03   0.534140e+02   0.129852e+01   0.589562e+00
 198   0.304393e+03   0.534294e+02   0.129139e+01   0.580690e+00
 199   0.306522e+03   0.534444e+02   0.128433e+01   0.571806e+00
 200   0.308651e+03   0.534591e+02   0.127731e+01   0.562891e+00
 201   0.310781e+03   0.534734e+02   0.127041e+01   0.553907e+00
 202   0.312911e+03   0.534874e+02   0.126371e+01   0.544836e+00
 203   0.315042e+03   0.535011e+02   0.125719e+01   0.535747e+00
 204   0.317172e+03   0.535144e+02   0.125078e+01   0.526715e+00
 205   0.319302e+03   0.535275e+02   0.124446e+01   0.517727e+00
 206   0.321433e+03   0.535403e+02   0.123821e+01   0.508750e+00
 207   0.323563e+03   0.535529e+02   0.123204e+01   0.499805e+00
 208   0.325694e+03   0.535652e+02   0.122597e+01   0.490946e+00
 209   0.327826e+03   0.535772e+02   0.121998e+01   0.482226e+00
 210   0.329956e+03   0.535889e+02   0.121412e+01   0.473682e+00
 211   0.332088e+03   0.536003e+02   0.120836e+01   0.465306e+00
 212   0.334219e+03   0.536114e+02   0.120268e+01   0.457095e+00
 213   0.336350e+03   0.536222e+02   0.119710e+01   0.449066e+00
 214   0.338482e+03   0.536327e+02   0.119163e+01   0.441226e+00
 215   0.340614e+03   0.536429e+02   0.118629e+01   0.433571e+00
 216   0.342745e+03   0.536527e+02   0.118110e+01   0.426090e+00
 217   0.344878e+03   0.536622e+02   0.117606e+01   0.418798e+00
 218   0.347010e+03   0.536714e+02   0.117123e+01   0.411761e+00
 219   0.349142e+03   0.536802e+02   0.116666e+01   0.405041e+00
 220   0.351274e+03   0.536886e+02   0.116237e+01   0.398675e+00
 221   0.353406e+03   0.536966e+02   0.115835e+01   0.392697e+00
 222   0.355539e+03   0.537041e+02   0.115458e+01   0.387078e+00
 223   0.357671e+03   0.537112e+02   0.115102e+01   0.381752e+00
 224   0.359804e+03   0.537180e+02   0.114763e+01   0.376693e+00
 225   0.361937e+03   0.537243e+02   0.114440e+01   0.371930e+00
 226   0.364069e+03   0.537304e+02   0.114135e+01   0.367508e+00
 227   0.366202e+03   0.537360e+02   0.113848e+01   0.363458e+00
 228   0.368335e+03   0.537412e+02   0.113581e+01   0.359769e+00
 229   0.370468e+03   0.537460e+02   0.113326e+01   0.356381e+00
 230   0.372601e+03   0.537505e+02   0.113080e+01   0.353227e+00
 231   0.374734e+03   0.537546e+02   0.112846e+01   0.350269e+00
 232   0.376867e+03   0.537583e+02   0.112625e+01   0.347520e+00
 233   0.379000e+03   0.537615e+02   0.112418e+01   0.345006e+00
 234   0.381134e+03   0.537643e+02   0.112227e+01   0.342751e+00
 235   0.383267e+03   0.537667e+02   0.112061e+01   0.340768e+00
 236   0.385400e+03   0.537685e+02   0.111923e+01   0.339071e+00
 237   0.387534e+03   0.537699e+02   0.111814e+01   0.337672e+00
 238   0.389667e+03   0.537709e+02   0.111732e+01   0.336589e+00
 239   0.391800e+03   0.537715e+02   0.111677e+01   0.335857e+00
 240   0.393933e+03   0.537717e+02   0.111648e+01   0.335494e+00
