       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.
   0.152332e+00   0.455509e-08  -0.278717e-02   0.298645e-08   0.278716e-02   0.205498e-08
   0.465121e+00   0.600603e-07  -0.278780e-02   0.451596e-07   0.278771e-02   0.115445e-07
   0.796417e+00   0.247855e-06  -0.278911e-02   0.202467e-06   0.278868e-02   0.245958e-07
   0.115078e+01   0.676754e-06  -0.279110e-02   0.570870e-06   0.278990e-02   0.419931e-07
   0.153286e+01   0.149364e-05  -0.279385e-02   0.127019e-05   0.279115e-02   0.638700e-07
   0.194735e+01   0.289623e-05  -0.279741e-02   0.244997e-05   0.279215e-02   0.904447e-07
   0.239902e+01   0.514725e-05  -0.280184e-02   0.429475e-05   0.279252e-02   0.122048e-06
   0.289262e+01   0.858960e-05  -0.280721e-02   0.702888e-05   0.279175e-02   0.159168e-06
   0.343289e+01   0.136623e-04  -0.281360e-02   0.109216e-04   0.278922e-02   0.202483e-06
   0.402453e+01   0.209167e-04  -0.282106e-02   0.162927e-04   0.278410e-02   0.252896e-06
   0.467219e+01   0.310336e-04  -0.282965e-02   0.235177e-04   0.277541e-02   0.311551e-06
   0.538043e+01   0.448391e-04  -0.283943e-02   0.330305e-04   0.276194e-02   0.379847e-06
   0.615372e+01   0.633192e-04  -0.285045e-02   0.453162e-04   0.274227e-02   0.459461e-06
   0.699640e+01   0.876299e-04  -0.286271e-02   0.608862e-04   0.271475e-02   0.552402e-06
   0.791270e+01   0.119096e-03  -0.287623e-02   0.802290e-04   0.267757e-02   0.661106e-06
   0.890670e+01   0.159194e-03  -0.289100e-02   0.103732e-03   0.262887e-02   0.788576e-06
   0.998233e+01   0.209508e-03  -0.290701e-02   0.131587e-03   0.256685e-02   0.938454e-06
   0.111433e+02   0.271658e-03  -0.292422e-02   0.163685e-03   0.248999e-02   0.111498e-05
   0.123933e+02   0.347198e-03  -0.294266e-02   0.199549e-03   0.239723e-02   0.132269e-05
   0.137357e+02   0.437486e-03  -0.296236e-02   0.238305e-03   0.228814e-02   0.156591e-05
   0.151738e+02   0.543556e-03  -0.298344e-02   0.278715e-03   0.216302e-02   0.184795e-05
   0.167105e+02   0.665988e-03  -0.300603e-02   0.319285e-03   0.202293e-02   0.217035e-05
   0.183486e+02   0.804818e-03  -0.303031e-02   0.358398e-03   0.186963e-02   0.253224e-05
   0.200910e+02   0.959477e-03  -0.305646e-02   0.394464e-03   0.170545e-02   0.293004e-05
   0.219399e+02   0.112879e-02  -0.308462e-02   0.426056e-03   0.153313e-02   0.335750e-05
   0.238976e+02   0.131103e-02  -0.311486e-02   0.452012e-03   0.135562e-02   0.380613e-05
   0.259662e+02   0.150399e-02  -0.314716e-02   0.471496e-03   0.117593e-02   0.426595e-05
   0.281474e+02   0.170512e-02  -0.318139e-02   0.484023e-03   0.996974e-03   0.472628e-05
   0.304429e+02   0.191161e-02  -0.321731e-02   0.489441e-03   0.821428e-03   0.517642e-05
   0.328540e+02   0.212062e-02  -0.325457e-02   0.487874e-03   0.651680e-03   0.560631e-05
   0.353820e+02   0.232931e-02  -0.329274e-02   0.479647e-03   0.489794e-03   0.600730e-05
   0.380278e+02   0.253499e-02  -0.333133e-02   0.465240e-03   0.337470e-03   0.637258e-05
   0.407922e+02   0.273523e-02  -0.336980e-02   0.445224e-03   0.196045e-03   0.669688e-05
   0.436758e+02   0.292785e-02  -0.340760e-02   0.420210e-03   0.665112e-04   0.697662e-05
   0.466789e+02   0.311106e-02  -0.344421e-02   0.390843e-03  -0.504893e-04   0.720993e-05
   0.498018e+02   0.328338e-02  -0.347911e-02   0.357807e-03  -0.154680e-03   0.739632e-05
   0.530444e+02   0.344368e-02  -0.351183e-02   0.321793e-03  -0.246101e-03   0.753576e-05
   0.564066e+02   0.359114e-02  -0.354194e-02   0.283444e-03  -0.325017e-03   0.762881e-05
   0.598879e+02   0.372524e-02  -0.356904e-02   0.243349e-03  -0.391873e-03   0.767708e-05
   0.634878e+02   0.384569e-02  -0.359280e-02   0.202091e-03  -0.447304e-03   0.768320e-05
   0.672056e+02   0.395245e-02  -0.361294e-02   0.160279e-03  -0.492138e-03   0.765014e-05
