y+ uu+ vv+ ww+
4.651210000000000067e-01 3.481969999999999510e-02 5.815730188178972866e-06 1.292019999999999974e-02
6.255789999999999962e-01 6.282354715992000127e-02 1.697119999999999770e-05 2.240432507324943007e-02
7.964170000000000416e-01 1.015709999999999946e-01 4.181810406595662898e-05 3.481769999999999310e-02
9.672559999999998936e-01 1.494721474154293850e-01 8.622950000000001187e-05 4.930565624024033089e-02
1.150779999999999914e+00 2.110389999999999766e-01 1.631448202722939045e-04 6.687280000000001001e-02
1.334300000000000042e+00 2.829627841417416412e-01 2.789409999999999980e-04 8.621317330803442147e-02
1.532860000000000111e+00 3.722579999999999778e-01 4.583759278991059822e-04 1.088259999999999922e-01
1.731409999999999894e+00 4.732352608543146655e-01 7.048289999999999157e-04 1.328846444219238532e-01
1.947349999999999914e+00 5.959170000000000300e-01 1.061500554830675704e-03 1.603810000000000235e-01
2.163300000000000001e+00 7.315041859320975393e-01 1.522979999999999733e-03 1.889591621547029587e-01
2.399020000000000152e+00 8.934559999999999169e-01 2.160578254770493568e-03 2.210830000000000017e-01
2.634749999999999925e+00 1.069054722056138607e+00 2.951289999999999643e-03 2.538839082541550218e-01
2.892619999999999969e+00 1.275419999999999776e+00 4.006510794824622371e-03 2.902540000000000120e-01
3.150500000000000078e+00 1.495152346345524963e+00 5.273639999999999578e-03 3.268645532638654316e-01
3.432889999999999997e+00 1.748979999999999979e+00 6.918318896758401601e-03 3.669789999999999441e-01
3.715280000000000360e+00 2.014260931717691605e+00 8.842940000000000522e-03 4.068879418940932746e-01
4.024530000000000385e+00 2.314929999999999932e+00 1.128306692767838508e-02 4.501580000000000026e-01
4.333779999999999966e+00 2.623000068133552354e+00 1.407820000000000252e-02 4.927973778260160143e-01
4.672190000000000509e+00 2.964819999999999567e+00 1.755011339532296447e-02 5.386009999999999964e-01
5.010600000000000165e+00 3.307631183366657623e+00 2.145539999999999947e-02 5.834010511514643449e-01
5.380430000000000490e+00 3.679180000000000117e+00 2.621795754241535922e-02 6.311479999999999313e-01
5.750259999999999927e+00 4.043309069529579247e+00 3.149100000000000510e-02 6.775866900964632178e-01
6.153719999999999857e+00 4.428020000000000067e+00 3.781565396645548277e-02 7.267550000000001509e-01
6.557169999999999277e+00 4.795833433596448536e+00 4.472130000000000549e-02 7.743809064665706510e-01
6.996400000000000396e+00 5.173850000000000726e+00 5.287869972946771663e-02 8.245230000000001169e-01
7.435630000000000628e+00 5.525752299654785205e+00 6.167569999999999303e-02 8.729401694722529470e-01
7.912700000000000067e+00 5.876699999999999591e+00 7.192112376336977364e-02 9.236439999999999095e-01
8.389780000000000015e+00 6.194023365769079525e+00 8.284619999999999485e-02 9.724601813985890297e-01
8.906700000000000728e+00 6.500089999999999257e+00 9.540202282685580903e-02 1.023300000000000098e+00
9.423630000000001061e+00 6.767739107762295703e+00 1.086519999999999986e-01 1.072082536025170008e+00
9.982330000000001036e+00 7.015929999999999112e+00 1.236888812649052372e-01 1.122560000000000002e+00
1.054100000000000037e+01 7.224100582748806509e+00 1.393989999999999674e-01 1.170765000951333956e+00
1.114329999999999998e+01 7.407410000000000494e+00 1.570092001039112006e-01 1.220260000000000122e+00
1.174569999999999936e+01 7.552145076833326698e+00 1.752380000000000049e-01 1.267263691768709011e+00
1.239329999999999998e+01 7.669419999999999682e+00 1.954252567456513656e-01 1.315080000000000249e+00
1.304100000000000037e+01 7.751910391506336317e+00 2.161260000000000125e-01 1.360169156063451235e+00
1.373569999999999958e+01 7.806899999999998840e+00 2.387807865078316050e-01 1.405589999999999895e+00
1.443050000000000033e+01 7.832411685414570002e+00 2.617970000000000019e-01 1.448081997147600886e+00
1.517379999999999995e+01 7.832190000000000651e+00 2.866951027365179927e-01 1.490419999999999856e+00
