       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.
   0.175684e+03   0.114116e-01  -0.107637e-01  -0.486960e-03   0.236782e-04   0.184606e-03
   0.181632e+03   0.110225e-01  -0.103604e-01  -0.510890e-03   0.250158e-04   0.176238e-03
   0.187650e+03   0.106520e-01  -0.997894e-02  -0.527209e-03   0.220583e-04   0.167895e-03
   0.193734e+03   0.102984e-01  -0.961698e-02  -0.537330e-03   0.157257e-04   0.159838e-03
   0.199882e+03   0.995132e-02  -0.927106e-02  -0.538314e-03   0.109730e-04   0.152921e-03
   0.206091e+03   0.960528e-02  -0.893880e-02  -0.524516e-03   0.371256e-05   0.145674e-03
   0.212360e+03   0.926201e-02  -0.862156e-02  -0.503260e-03   0.251877e-05   0.139709e-03
   0.218685e+03   0.892387e-02  -0.831843e-02  -0.474857e-03   0.341451e-05   0.133997e-03
   0.225065e+03   0.859414e-02  -0.802732e-02  -0.441094e-03   0.255174e-05   0.128276e-03
   0.231496e+03   0.827667e-02  -0.774747e-02  -0.411246e-03   0.437611e-05   0.122336e-03
   0.237978e+03   0.797146e-02  -0.747737e-02  -0.384784e-03   0.762429e-05   0.116939e-03
   0.244507e+03   0.767662e-02  -0.721598e-02  -0.353938e-03   0.469492e-05   0.111397e-03
   0.251081e+03   0.739112e-02  -0.696478e-02  -0.320685e-03   0.715869e-06   0.106370e-03
   0.257698e+03   0.711766e-02  -0.672529e-02  -0.290362e-03   0.661381e-06   0.102677e-03
   0.264357e+03   0.685930e-02  -0.649638e-02  -0.267118e-03   0.348499e-05   0.992889e-04
   0.271055e+03   0.661314e-02  -0.627594e-02  -0.247942e-03   0.641048e-05   0.956630e-04
   0.277790e+03   0.637525e-02  -0.606374e-02  -0.227038e-03   0.663032e-05   0.911004e-04
   0.284561e+03   0.614719e-02  -0.585961e-02  -0.206237e-03   0.482885e-05   0.861709e-04
   0.291366e+03   0.592848e-02  -0.566191e-02  -0.188419e-03   0.400144e-05   0.821487e-04
   0.298202e+03   0.571440e-02  -0.546947e-02  -0.169320e-03   0.253305e-05   0.781464e-04
   0.305070e+03   0.550375e-02  -0.528190e-02  -0.148168e-03   0.174876e-05   0.754336e-04
   0.311966e+03   0.529605e-02  -0.510004e-02  -0.123618e-03   0.717382e-06   0.731168e-04
   0.318890e+03   0.508772e-02  -0.492429e-02  -0.932472e-04   0.564531e-07   0.702377e-04
   0.325839e+03   0.487962e-02  -0.475408e-02  -0.598122e-04   0.168759e-05   0.674196e-04
   0.332814e+03   0.467555e-02  -0.458762e-02  -0.265865e-04   0.326850e-05   0.646111e-04
   0.339812e+03   0.447608e-02  -0.442462e-02   0.707802e-05   0.325181e-05   0.617917e-04
   0.346833e+03   0.427994e-02  -0.426564e-02   0.424834e-04   0.263495e-05   0.594196e-04
   0.353875e+03   0.408800e-02  -0.411097e-02   0.790140e-04   0.745878e-06   0.567862e-04
   0.360938e+03   0.390240e-02  -0.396122e-02   0.113223e-03  -0.367143e-06   0.540383e-04
   0.368020e+03   0.372270e-02  -0.381696e-02   0.145246e-03   0.723897e-06   0.517069e-04
   0.375121e+03   0.354638e-02  -0.367666e-02   0.176566e-03   0.392789e-05   0.502213e-04
   0.382240e+03   0.337170e-02  -0.353915e-02   0.209436e-03   0.689816e-05   0.488910e-04
   0.389377e+03   0.319910e-02  -0.340555e-02   0.245281e-03   0.841072e-05   0.472400e-04
   0.396530e+03   0.303081e-02  -0.327672e-02   0.283024e-03   0.818354e-05   0.452952e-04
   0.403700e+03   0.286770e-02  -0.315293e-02   0.321847e-03   0.626591e-05   0.428823e-04
   0.410886e+03   0.271089e-02  -0.303453e-02   0.359315e-03   0.495606e-05   0.406303e-04
   0.418087e+03   0.256238e-02  -0.292107e-02   0.391954e-03   0.558565e-05   0.388429e-04
   0.425304e+03   0.242064e-02  -0.281129e-02   0.419428e-03   0.845974e-05   0.372385e-04
   0.432537e+03   0.228305e-02  -0.270424e-02   0.448178e-03   0.854015e-05   0.355290e-04
   0.439785e+03   0.214984e-02  -0.260031e-02   0.477813e-03   0.705366e-05   0.343941e-04
   0.447048e+03   0.202151e-02  -0.250012e-02   0.506785e-03   0.554707e-05   0.337258e-04
   0.454327e+03   0.189627e-02  -0.240399e-02   0.535900e-03   0.502662e-05   0.332062e-04
   0.461622e+03   0.177277e-02  -0.231164e-02   0.567290e-03   0.453173e-05   0.329547e-04
   0.468933e+03   0.165135e-02  -0.222298e-02   0.599217e-03   0.510731e-05   0.326913e-04
   0.476261e+03   0.153200e-02  -0.213803e-02   0.630275e-03   0.779974e-05   0.320517e-04
   0.483606e+03   0.141433e-02  -0.205598e-02   0.663528e-03   0.940843e-05   0.312904e-04
   0.490969e+03   0.129851e-02  -0.197674e-02   0.699583e-03   0.943858e-05   0.307894e-04
   0.498350e+03   0.118513e-02  -0.190078e-02   0.735748e-03   0.102969e-04   0.303902e-04
   0.505751e+03   0.107495e-02  -0.182793e-02   0.771126e-03   0.118349e-04   0.299725e-04
   0.513172e+03   0.968563e-03  -0.175834e-02   0.805553e-03   0.137069e-04   0.294803e-04
   0.520615e+03   0.866261e-03  -0.169246e-02   0.839518e-03   0.154241e-04   0.287410e-04
   0.528081e+03   0.768208e-03  -0.163044e-02   0.873124e-03   0.169662e-04   0.278603e-04
   0.535570e+03   0.674641e-03  -0.157209e-02   0.906459e-03   0.179786e-04   0.269850e-04
   0.543085e+03   0.586176e-03  -0.151748e-02   0.939146e-03   0.185433e-04   0.263854e-04
   0.550627e+03   0.503445e-03  -0.146685e-02   0.969614e-03   0.197847e-04   0.259919e-04
   0.558197e+03   0.426821e-03  -0.141997e-02   0.998696e-03   0.198929e-04   0.254412e-04
   0.565799e+03   0.356739e-03  -0.137721e-02   0.102668e-02   0.187776e-04   0.249940e-04
   0.573433e+03   0.293379e-03  -0.133913e-02   0.105187e-02   0.186279e-04   0.247484e-04
   0.581101e+03   0.236562e-03  -0.130559e-02   0.107441e-02   0.190382e-04   0.244243e-04
   0.588808e+03   0.186098e-03  -0.127643e-02   0.109408e-02   0.202152e-04   0.239684e-04
   0.596554e+03   0.142088e-03  -0.125146e-02   0.111141e-02   0.215627e-04   0.236062e-04
   0.604342e+03   0.104833e-03  -0.123057e-02   0.112619e-02   0.230219e-04   0.234731e-04
   0.612177e+03   0.746126e-04  -0.121347e-02   0.113808e-02   0.242678e-04   0.234864e-04
   0.620060e+03   0.517082e-04  -0.120018e-02   0.114755e-02   0.243170e-04   0.233898e-04
   0.627996e+03   0.362611e-04  -0.119123e-02   0.115453e-02   0.239079e-04   0.234637e-04
   0.635989e+03   0.284001e-04  -0.118686e-02   0.115874e-02   0.235599e-04   0.238388e-04
