  j      y+            u_mean            uu+            ww+           prms+        omgy_rms+
 63   0.175684e+03   0.181367e+02   0.272703e+01   0.135172e+01   0.190510e+01   0.587049e-01
 64   0.181632e+03   0.182320e+02   0.268588e+01   0.133511e+01   0.188468e+01   0.575552e-01
 65   0.187650e+03   0.183261e+02   0.264494e+01   0.131839e+01   0.186472e+01   0.564489e-01
 66   0.193734e+03   0.184191e+02   0.260418e+01   0.130158e+01   0.184516e+01   0.553845e-01
 67   0.199882e+03   0.185108e+02   0.256340e+01   0.128466e+01   0.182589e+01   0.543585e-01
 68   0.206091e+03   0.186014e+02   0.252253e+01   0.126762e+01   0.180677e+01   0.533647e-01
 69   0.212360e+03   0.186905e+02   0.248171e+01   0.125042e+01   0.178766e+01   0.523992e-01
 70   0.218685e+03   0.187784e+02   0.244114e+01   0.123307e+01   0.176854e+01   0.514601e-01
 71   0.225065e+03   0.188649e+02   0.240079e+01   0.121539e+01   0.174948e+01   0.505472e-01
 72   0.231496e+03   0.189502e+02   0.236064e+01   0.119738e+01   0.173047e+01   0.496593e-01
 73   0.237978e+03   0.190345e+02   0.232084e+01   0.117920e+01   0.171140e+01   0.487957e-01
 74   0.244507e+03   0.191177e+02   0.228150e+01   0.116091e+01   0.169220e+01   0.479550e-01
 75   0.251081e+03   0.191998e+02   0.224240e+01   0.114246e+01   0.167286e+01   0.471350e-01
 76   0.257698e+03   0.192808e+02   0.220336e+01   0.112385e+01   0.165342e+01   0.463361e-01
 77   0.264357e+03   0.193607e+02   0.216430e+01   0.110490e+01   0.163404e+01   0.455574e-01
 78   0.271055e+03   0.194397e+02   0.212508e+01   0.108563e+01   0.161491e+01   0.447953e-01
 79   0.277790e+03   0.195178e+02   0.208571e+01   0.106628e+01   0.159603e+01   0.440502e-01
 80   0.284561e+03   0.195949e+02   0.204636e+01   0.104709e+01   0.157726e+01   0.433212e-01
 81   0.291366e+03   0.196710e+02   0.200712e+01   0.102810e+01   0.155845e+01   0.426070e-01
 82   0.298202e+03   0.197462e+02   0.196803e+01   0.100922e+01   0.153952e+01   0.419057e-01
 83   0.305070e+03   0.198203e+02   0.192928e+01   0.990421e+00   0.152044e+01   0.412179e-01
 84   0.311966e+03   0.198934e+02   0.189113e+01   0.971670e+00   0.150117e+01   0.405441e-01
 85   0.318890e+03   0.199653e+02   0.185349e+01   0.952962e+00   0.148168e+01   0.398845e-01
 86   0.325839e+03   0.200362e+02   0.181632e+01   0.934262e+00   0.146201e+01   0.392386e-01
 87   0.332814e+03   0.201059e+02   0.177965e+01   0.915509e+00   0.144228e+01   0.386068e-01
 88   0.339812e+03   0.201746e+02   0.174343e+01   0.896678e+00   0.142254e+01   0.379872e-01
 89   0.346833e+03   0.202422e+02   0.170762e+01   0.877754e+00   0.140280e+01   0.373774e-01
 90   0.353875e+03   0.203087e+02   0.167209e+01   0.858748e+00   0.138305e+01   0.367780e-01
 91   0.360938e+03   0.203740e+02   0.163685e+01   0.839683e+00   0.136322e+01   0.361870e-01
 92   0.368020e+03   0.204382e+02   0.160207e+01   0.820537e+00   0.134330e+01   0.356030e-01
 93   0.375121e+03   0.205012e+02   0.156781e+01   0.801385e+00   0.132334e+01   0.350264e-01
 94   0.382240e+03   0.205629e+02   0.153393e+01   0.782411e+00   0.130342e+01   0.344568e-01
 95   0.389377e+03   0.206233e+02   0.150021e+01   0.763767e+00   0.128354e+01   0.338954e-01
 96   0.396530e+03   0.206826e+02   0.146660e+01   0.745465e+00   0.126359e+01   0.333438e-01
 97   0.403700e+03   0.207406e+02   0.143319e+01   0.727432e+00   0.124344e+01   0.328020e-01
 98   0.410886e+03   0.207976e+02   0.139999e+01   0.709521e+00   0.122308e+01   0.322696e-01
 99   0.418087e+03   0.208536e+02   0.136697e+01   0.691802e+00   0.120257e+01   0.317479e-01
100   0.425304e+03   0.209086e+02   0.133423e+01   0.674485e+00   0.118199e+01   0.312373e-01
101   0.432537e+03   0.209626e+02   0.130189e+01   0.657746e+00   0.116144e+01   0.307368e-01
102   0.439785e+03   0.210157e+02   0.126992e+01   0.641735e+00   0.114097e+01   0.302455e-01
103   0.447048e+03   0.210677e+02   0.123814e+01   0.626488e+00   0.112060e+01   0.297638e-01
104   0.454327e+03   0.211187e+02   0.120649e+01   0.611865e+00   0.110038e+01   0.292928e-01
105   0.461622e+03   0.211685e+02   0.117503e+01   0.597706e+00   0.108035e+01   0.288300e-01
106   0.468933e+03   0.212173e+02   0.114384e+01   0.583885e+00   0.106053e+01   0.283752e-01
107   0.476261e+03   0.212647e+02   0.111302e+01   0.570288e+00   0.104096e+01   0.279303e-01
108   0.483606e+03   0.213107e+02   0.108265e+01   0.556879e+00   0.102169e+01   0.274976e-01
109   0.490969e+03   0.213553e+02   0.105288e+01   0.543670e+00   0.100271e+01   0.270774e-01
110   0.498350e+03   0.213983e+02   0.102392e+01   0.530690e+00   0.984002e+00   0.266705e-01
111   0.505751e+03   0.214397e+02   0.995812e+00   0.518013e+00   0.965557e+00   0.262766e-01
112   0.513172e+03   0.214793e+02   0.968503e+00   0.505688e+00   0.947418e+00   0.258955e-01
113   0.520615e+03   0.215172e+02   0.941928e+00   0.493830e+00   0.929632e+00   0.255286e-01
