  j        y+           t_mean+        t_rms+           ut+        ut/urmstrms        R
110   0.498350e+03   0.522311e+01   0.362463e+00   0.218887e+00   0.596316e+00   0.235555e+00
111   0.505751e+03   0.524718e+01   0.354152e+00   0.208834e+00   0.590423e+00   0.235082e+00
112   0.513172e+03   0.527009e+01   0.345925e+00   0.199056e+00   0.584217e+00   0.234575e+00
113   0.520615e+03   0.529182e+01   0.337812e+00   0.189566e+00   0.577700e+00   0.234027e+00
114   0.528081e+03   0.531234e+01   0.329847e+00   0.180381e+00   0.570866e+00   0.233390e+00
115   0.535570e+03   0.533165e+01   0.322066e+00   0.171522e+00   0.563691e+00   0.232628e+00
116   0.543085e+03   0.534973e+01   0.314510e+00   0.163018e+00   0.556182e+00   0.231762e+00
117   0.550627e+03   0.536655e+01   0.307220e+00   0.154893e+00   0.548389e+00   0.230859e+00
118   0.558197e+03   0.538210e+01   0.300242e+00   0.147180e+00   0.540369e+00   0.229971e+00
119   0.565799e+03   0.539635e+01   0.293626e+00   0.139932e+00   0.532228e+00   0.229107e+00
120   0.573433e+03   0.540929e+01   0.287425e+00   0.133213e+00   0.524120e+00   0.228194e+00
121   0.581101e+03   0.542090e+01   0.281693e+00   0.127091e+00   0.516258e+00   0.227189e+00
122   0.588808e+03   0.543114e+01   0.276489e+00   0.121619e+00   0.508869e+00   0.226193e+00
123   0.596554e+03   0.544001e+01   0.271872e+00   0.116841e+00   0.502163e+00   0.225312e+00
124   0.604342e+03   0.544746e+01   0.267902e+00   0.112801e+00   0.496333e+00   0.224556e+00
125   0.612177e+03   0.545349e+01   0.264633e+00   0.109532e+00   0.491520e+00   0.223894e+00
126   0.620060e+03   0.545805e+01   0.262120e+00   0.107055e+00   0.487827e+00   0.223354e+00
127   0.627996e+03   0.546113e+01   0.260408e+00   0.105387e+00   0.485314e+00   0.223011e+00
128   0.635989e+03   0.546268e+01   0.259538e+00   0.104542e+00   0.484018e+00   0.222862e+00
