  j        y+           t_mean+        t_rms+           ut+        ut/urmstrms        R
  1   0.152332e+00   0.380062e-02   0.126897e-02   0.224895e-04   0.288716e+00   0.243422e-01
  2   0.465121e+00   0.116046e-01   0.387466e-02   0.216400e-03   0.299248e+00   0.241199e-01
  3   0.796417e+00   0.198702e-01   0.663474e-02   0.649920e-03   0.307309e+00   0.238439e-01
  4   0.115078e+01   0.287109e-01   0.958731e-02   0.138934e-02   0.315396e+00   0.236164e-01
  5   0.153286e+01   0.382426e-01   0.127712e-01   0.252373e-02   0.323831e+00   0.234264e-01
  6   0.194735e+01   0.485822e-01   0.162259e-01   0.416835e-02   0.332733e+00   0.232466e-01
  7   0.239902e+01   0.598475e-01   0.199909e-01   0.646648e-02   0.342165e+00   0.230544e-01
  8   0.289262e+01   0.721562e-01   0.241059e-01   0.958848e-02   0.352161e+00   0.228475e-01
  9   0.343289e+01   0.856249e-01   0.286100e-01   0.137259e-01   0.362722e+00   0.226607e-01
 10   0.402453e+01   0.100369e+00   0.335419e-01   0.190793e-01   0.373810e+00   0.225780e-01
 11   0.467219e+01   0.116500e+00   0.389390e-01   0.258393e-01   0.385341e+00   0.227350e-01
 12   0.538043e+01   0.134128e+00   0.448373e-01   0.341623e-01   0.397175e+00   0.233066e-01
 13   0.615372e+01   0.153357e+00   0.512708e-01   0.441446e-01   0.409122e+00   0.244837e-01
 14   0.699640e+01   0.174286e+00   0.582706e-01   0.558007e-01   0.420953e+00   0.264447e-01
 15   0.791270e+01   0.197009e+00   0.658648e-01   0.690525e-01   0.432423e+00   0.293306e-01
 16   0.890670e+01   0.221610e+00   0.740770e-01   0.837315e-01   0.443297e+00   0.332310e-01
 17   0.998233e+01   0.248166e+00   0.829260e-01   0.995974e-01   0.453380e+00   0.381847e-01
 18   0.111433e+02   0.276743e+00   0.924245e-01   0.116367e+00   0.462544e+00   0.441908e-01
 19   0.123933e+02   0.307396e+00   0.102579e+00   0.133746e+00   0.470744e+00   0.512247e-01
 20   0.137357e+02   0.340168e+00   0.113387e+00   0.151463e+00   0.478019e+00   0.592506e-01
 21   0.151738e+02   0.375087e+00   0.124839e+00   0.169291e+00   0.484483e+00   0.682233e-01
 22   0.167105e+02   0.412168e+00   0.136917e+00   0.187059e+00   0.490304e+00   0.780813e-01
 23   0.183486e+02   0.451411e+00   0.149595e+00   0.204656e+00   0.495680e+00   0.887340e-01
 24   0.200910e+02   0.492803e+00   0.162838e+00   0.222030e+00   0.500814e+00   0.100052e+00
 25   0.219399e+02   0.536315e+00   0.176603e+00   0.239175e+00   0.505899e+00   0.111863e+00
 26   0.238976e+02   0.581905e+00   0.190842e+00   0.256119e+00   0.511103e+00   0.123960e+00
 27   0.259662e+02   0.629519e+00   0.205499e+00   0.272919e+00   0.516561e+00   0.136123e+00
 28   0.281474e+02   0.679092e+00   0.220515e+00   0.289644e+00   0.522369e+00   0.148124e+00
 29   0.304429e+02   0.730550e+00   0.235826e+00   0.306362e+00   0.528575e+00   0.159746e+00
 30   0.328540e+02   0.783810e+00   0.251367e+00   0.323133e+00   0.535183e+00   0.170803e+00
 31   0.353820e+02   0.838784e+00   0.267070e+00   0.340003e+00   0.542170e+00   0.181162e+00
 32   0.380278e+02   0.895378e+00   0.282866e+00   0.356999e+00   0.549494e+00   0.190743e+00
 33   0.407922e+02   0.953496e+00   0.298690e+00   0.374131e+00   0.557097e+00   0.199512e+00
 34   0.436758e+02   0.101304e+01   0.314474e+00   0.391386e+00   0.564906e+00   0.207449e+00
 35   0.466789e+02   0.107391e+01   0.330156e+00   0.408726e+00   0.572826e+00   0.214549e+00
 36   0.498018e+02   0.113600e+01   0.345675e+00   0.426089e+00   0.580755e+00   0.220842e+00
 37   0.530444e+02   0.119923e+01   0.360973e+00   0.443408e+00   0.588605e+00   0.226388e+00
 38   0.564066e+02   0.126348e+01   0.375998e+00   0.460612e+00   0.596302e+00   0.231240e+00
 39   0.598879e+02   0.132868e+01   0.390701e+00   0.477619e+00   0.603785e+00   0.235455e+00
 40   0.634878e+02   0.139471e+01   0.405038e+00   0.494341e+00   0.611008e+00   0.239100e+00
 41   0.672056e+02   0.146150e+01   0.418968e+00   0.510692e+00   0.617920e+00   0.242191e+00
 42   0.710404e+02   0.152896e+01   0.432457e+00   0.526584e+00   0.624475e+00   0.244749e+00
 43   0.749911e+02   0.159700e+01   0.445474e+00   0.541926e+00   0.630652e+00   0.246836e+00
 44   0.790566e+02   0.166554e+01   0.457994e+00   0.556626e+00   0.636446e+00   0.248510e+00
 45   0.832355e+02   0.173451e+01   0.469994e+00   0.570613e+00   0.641866e+00   0.249819e+00
 46   0.875264e+02   0.180383e+01   0.481456e+00   0.583834e+00   0.646927e+00   0.250808e+00
 47   0.919276e+02   0.187343e+01   0.492367e+00   0.596243e+00   0.651652e+00   0.251531e+00
 48   0.964375e+02   0.194323e+01   0.502716e+00   0.607810e+00   0.656065e+00   0.252024e+00
 49   0.101054e+03   0.201319e+01   0.512498e+00   0.618522e+00   0.660182e+00   0.252323e+00
 50   0.105776e+03   0.208323e+01   0.521708e+00   0.628372e+00   0.664000e+00   0.252460e+00
 51   0.110600e+03   0.215330e+01   0.530347e+00   0.637336e+00   0.667516e+00   0.252422e+00
 52   0.115525e+03   0.222334e+01   0.538414e+00   0.645392e+00   0.670729e+00   0.252212e+00
 53   0.120549e+03   0.229330e+01   0.545915e+00   0.652517e+00   0.673645e+00   0.251895e+00
 54   0.125669e+03   0.236313e+01   0.552854e+00   0.658696e+00   0.676257e+00   0.251508e+00
 55   0.130883e+03   0.243278e+01   0.559238e+00   0.663931e+00   0.678575e+00   0.251037e+00
 56   0.136188e+03   0.250220e+01   0.565075e+00   0.668219e+00   0.680626e+00   0.250493e+00
 57   0.141583e+03   0.257137e+01   0.570374e+00   0.671559e+00   0.682442e+00   0.249913e+00
 58   0.147064e+03   0.264024e+01   0.575145e+00   0.673965e+00   0.684051e+00   0.249328e+00
 59   0.152630e+03   0.270876e+01   0.579399e+00   0.675461e+00   0.685452e+00   0.248733e+00
 60   0.158277e+03   0.277692e+01   0.583146e+00   0.676096e+00   0.686646e+00   0.248091e+00
 61   0.164004e+03   0.284467e+01   0.586398e+00   0.675912e+00   0.687654e+00   0.247354e+00
 62   0.169807e+03   0.291199e+01   0.589166e+00   0.674933e+00   0.688487e+00   0.246537e+00
 63   0.175684e+03   0.297883e+01   0.591461e+00   0.673171e+00   0.689163e+00   0.245740e+00
 64   0.181632e+03   0.304517e+01   0.593294e+00   0.670665e+00   0.689701e+00   0.245021e+00
 65   0.187650e+03   0.311097e+01   0.594675e+00   0.667466e+00   0.690097e+00   0.244364e+00
 66   0.193734e+03   0.317622e+01   0.595617e+00   0.663589e+00   0.690344e+00   0.243737e+00
 67   0.199882e+03   0.324086e+01   0.596131e+00   0.659035e+00   0.690445e+00   0.243098e+00
 68   0.206091e+03   0.330489e+01   0.596230e+00   0.653840e+00   0.690415e+00   0.242426e+00
 69   0.212360e+03   0.336826e+01   0.595925e+00   0.648064e+00   0.690275e+00   0.241740e+00
 70   0.218685e+03   0.343095e+01   0.595227e+00   0.641762e+00   0.690027e+00   0.241075e+00
 71   0.225065e+03   0.349295e+01   0.594146e+00   0.634955e+00   0.689669e+00   0.240503e+00
 72   0.231496e+03   0.355422e+01   0.592695e+00   0.627644e+00   0.689183e+00   0.240031e+00
 73   0.237978e+03   0.361475e+01   0.590883e+00   0.619860e+00   0.688549e+00   0.239585e+00
 74   0.244507e+03   0.367452e+01   0.588723e+00   0.611637e+00   0.687760e+00   0.239119e+00
 75   0.251081e+03   0.373351e+01   0.586228e+00   0.603002e+00   0.686845e+00   0.238646e+00
 76   0.257698e+03   0.379171e+01   0.583409e+00   0.593980e+00   0.685832e+00   0.238176e+00
 77   0.264357e+03   0.384910e+01   0.580280e+00   0.584601e+00   0.684738e+00   0.237741e+00
 78   0.271055e+03   0.390566e+01   0.576854e+00   0.574878e+00   0.683569e+00   0.237359e+00
 79   0.277790e+03   0.396140e+01   0.573145e+00   0.564835e+00   0.682323e+00   0.237056e+00
 80   0.284561e+03   0.401629e+01   0.569165e+00   0.554514e+00   0.680993e+00   0.236826e+00
 81   0.291366e+03   0.407032e+01   0.564926e+00   0.543951e+00   0.679579e+00   0.236619e+00
 82   0.298202e+03   0.412349e+01   0.560439e+00   0.533185e+00   0.678099e+00   0.236458e+00
 83   0.305070e+03   0.417578e+01   0.555714e+00   0.522261e+00   0.676548e+00   0.236370e+00
 84   0.311966e+03   0.422718e+01   0.550759e+00   0.511230e+00   0.674920e+00   0.236316e+00
 85   0.318890e+03   0.427769e+01   0.545584e+00   0.500128e+00   0.673259e+00   0.236292e+00
 86   0.325839e+03   0.432730e+01   0.540195e+00   0.488974e+00   0.671576e+00   0.236295e+00
 87   0.332814e+03   0.437600e+01   0.534599e+00   0.477773e+00   0.669856e+00   0.236366e+00
 88   0.339812e+03   0.442377e+01   0.528802e+00   0.466506e+00   0.668061e+00   0.236514e+00
 89   0.346833e+03   0.447060e+01   0.522808e+00   0.455160e+00   0.666160e+00   0.236661e+00
 90   0.353875e+03   0.451649e+01   0.516619e+00   0.443721e+00   0.664138e+00   0.236832e+00
 91   0.360938e+03   0.456142e+01   0.510240e+00   0.432191e+00   0.661975e+00   0.237088e+00
 92   0.368020e+03   0.460539e+01   0.503673e+00   0.420603e+00   0.659666e+00   0.237371e+00
 93   0.375121e+03   0.464839e+01   0.496921e+00   0.409006e+00   0.657248e+00   0.237601e+00
 94   0.382240e+03   0.469041e+01   0.489992e+00   0.397424e+00   0.654771e+00   0.237763e+00
 95   0.389377e+03   0.473144e+01   0.482890e+00   0.385856e+00   0.652256e+00   0.237871e+00
 96   0.396530e+03   0.477148e+01   0.475623e+00   0.374296e+00   0.649681e+00   0.237925e+00
 97   0.403700e+03   0.481052e+01   0.468199e+00   0.362749e+00   0.647011e+00   0.237937e+00
 98   0.410886e+03   0.484854e+01   0.460627e+00   0.351222e+00   0.644232e+00   0.237967e+00
 99   0.418087e+03   0.488556e+01   0.452916e+00   0.339724e+00   0.641332e+00   0.238023e+00
100   0.425304e+03   0.492154e+01   0.445078e+00   0.328273e+00   0.638295e+00   0.238027e+00
101   0.432537e+03   0.495650e+01   0.437122e+00   0.316903e+00   0.635118e+00   0.237942e+00
102   0.439785e+03   0.499041e+01   0.429061e+00   0.305623e+00   0.631798e+00   0.237800e+00
103   0.447048e+03   0.502328e+01   0.420906e+00   0.294414e+00   0.628302e+00   0.237616e+00
104   0.454327e+03   0.505509e+01   0.412671e+00   0.283269e+00   0.624589e+00   0.237419e+00
105   0.461622e+03   0.508583e+01   0.404368e+00   0.272208e+00   0.620642e+00   0.237208e+00
106   0.468933e+03   0.511550e+01   0.396015e+00   0.261252e+00   0.616437e+00   0.236954e+00
107   0.476261e+03   0.514407e+01   0.387627e+00   0.250420e+00   0.611938e+00   0.236660e+00
108   0.483606e+03   0.517154e+01   0.379224e+00   0.239726e+00   0.607099e+00   0.236337e+00
109   0.490969e+03   0.519789e+01   0.370829e+00   0.229197e+00   0.601888e+00   0.235974e+00
