#                         y+                    alphat+
  6.255789999999999962e-01   2.357539770557125723e-04
  9.672559999999998936e-01   8.911153637772074084e-04
  1.334300000000000042e+00   2.383989590858740393e-03
  1.731409999999999894e+00   5.288668363975132861e-03
  2.163300000000000001e+00   1.042635722400244574e-02
  2.634749999999999925e+00   1.892576116952550055e-02
  3.150500000000000078e+00   3.228887941431437397e-02
  3.715280000000000360e+00   5.242652513365360367e-02
  4.333779999999999966e+00   8.170083417758765287e-02
  5.010600000000000165e+00   1.229307662158973941e-01
  5.750259999999999927e+00   1.794086311958047741e-01
  6.557169999999999277e+00   2.549280541413437851e-01
  7.435630000000000628e+00   3.538094929075907280e-01
  8.389780000000000015e+00   4.809628948931345405e-01
  9.423630000000001061e+00   6.419518656148898161e-01
  1.054100000000000037e+01   8.429597220477558217e-01
  1.174569999999999936e+01   1.091175483453829198e+00
  1.304100000000000037e+01   1.393910696175025166e+00
  1.443050000000000033e+01   1.759471097610251444e+00
  1.591709999999999958e+01   2.195903390759915030e+00
  1.750379999999999825e+01   2.711119652100927979e+00
  1.919350000000000023e+01   3.313228412696098246e+00
  2.098849999999999838e+01   4.006324151865228167e+00
  2.289130000000000109e+01   4.796492730951556815e+00
  2.490390000000000015e+01   5.681600215603515913e+00
  2.702840000000000131e+01   6.669302122317527726e+00
  2.926640000000000086e+01   7.742658079811463701e+00
  3.161929999999999907e+01   8.912063683888401755e+00
  3.408859999999999957e+01   1.015839762006859992e+01
  3.667530000000000001e+01   1.148113798480935799e+01
  3.938020000000000209e+01   1.285983034625167498e+01
  4.220409999999999684e+01   1.430847425778605597e+01
  4.514739999999999753e+01   1.577074702607136558e+01
  4.821039999999999992e+01   1.729529023608293414e+01
  5.139320000000000022e+01   1.880198435770978094e+01
  5.469559999999999889e+01   2.034353597034521144e+01
  5.811749999999999972e+01   2.188491550113095130e+01
  6.165829999999999700e+01   2.342906986521290236e+01
  6.531730000000000302e+01   2.496347517662809778e+01
  6.909390000000000498e+01   2.652894751160382114e+01
  7.298690000000000566e+01   2.801568387813265204e+01
  7.699530000000000030e+01   2.953139550861213536e+01
  8.111790000000000589e+01   3.097422889449713068e+01
  8.535320000000000107e+01   3.245352779979262436e+01
  8.969960000000000377e+01   3.382594822712028559e+01
  9.415560000000000684e+01   3.521521990418494852e+01
  9.871930000000000405e+01   3.649849679703513772e+01
  1.033889999999999958e+02   3.781847882376855807e+01
  1.081620000000000061e+02   3.908980458758706789e+01
  1.130379999999999967e+02   4.030168315328076289e+01
  1.180129999999999910e+02   4.145988096635321085e+01
  1.230849999999999937e+02   4.267586270538623694e+01
  1.282529999999999859e+02   4.372267079225050423e+01
  1.335130000000000052e+02   4.481890815710040954e+01
  1.388640000000000043e+02   4.591522131288867570e+01
  1.443020000000000209e+02   4.688250390847974103e+01
  1.498259999999999934e+02   4.771664417377166956e+01
  1.554329999999999927e+02   4.865881720783743702e+01
  1.611210000000000093e+02   4.938990564658199389e+01
  1.668859999999999957e+02   5.008688588245934881e+01
  1.727270000000000039e+02   5.083093594144830973e+01
  1.786399999999999864e+02   5.145473449759422380e+01
  1.846240000000000236e+02   5.215013326328014642e+01
  1.906759999999999877e+02   5.272326875845397609e+01
  1.967920000000000016e+02   5.319412164466433524e+01
  2.029720000000000084e+02   5.377238403413420542e+01
  2.092109999999999843e+02   5.439759288451772790e+01
  2.155090000000000146e+02   5.498282650410025951e+01
  2.218619999999999948e+02   5.553221621934151386e+01
  2.282680000000000007e+02   5.623766661268788170e+01
  2.347249999999999943e+02   5.664595153880698319e+01
  2.412309999999999945e+02   5.722680595542684756e+01
  2.477829999999999870e+02   5.766411977074353956e+01
  2.543790000000000191e+02   5.809977321212838319e+01
  2.610169999999999959e+02   5.843132520535891672e+01
  2.676959999999999695e+02   5.861859243717645995e+01
  2.744130000000000109e+02   5.889448793944809779e+01
  2.811670000000000300e+02   5.902094713413822546e+01
  2.879549999999999841e+02   5.916561946885936862e+01
  2.947760000000000105e+02   5.900144710992690733e+01
  3.016290000000000191e+02   5.920479530776066923e+01
  3.085109999999999673e+02   5.907657639461837817e+01
  3.154209999999999923e+02   5.907889659027717499e+01
  3.223580000000000041e+02   5.909695708768235534e+01
  3.293209999999999695e+02   5.924257714330606461e+01
  3.363080000000000496e+02   5.920045177601198105e+01
  3.433169999999999504e+02   5.927485350757478955e+01
  3.503489999999999895e+02   5.931197381604730623e+01
  3.574019999999999868e+02   5.920136956788835647e+01
  3.644739999999999895e+02   5.919972587556847543e+01
  3.715659999999999741e+02   5.903062275753777755e+01
  3.786759999999999877e+02   5.895999866033826464e+01
  3.858040000000000305e+02   5.899956650871394004e+01
  3.929490000000000123e+02   5.886302223262476474e+01
  4.001109999999999900e+02   5.871512189486750088e+01
  4.072889999999999873e+02   5.867900094921734677e+01
  4.144830000000000041e+02   5.847058773835627221e+01
  4.216919999999999504e+02   5.810440556583818505e+01
  4.289169999999999732e+02   5.773574803611204231e+01
  4.361569999999999823e+02   5.714003576126106765e+01
  4.434119999999999777e+02   5.669278635491281193e+01
  4.506840000000000259e+02   5.601867465986290995e+01
  4.579710000000000036e+02   5.545580739184728003e+01
  4.652730000000000246e+02   5.499694919077899868e+01
  4.725930000000000177e+02   5.431911343957985849e+01
  4.799290000000000305e+02   5.372339079645961135e+01
  4.872830000000000155e+02   5.343273660519745505e+01
  4.946549999999999727e+02   5.284204892020930089e+01
  5.020459999999999923e+02   5.259932849110472119e+01
  5.094569999999999936e+02   5.226200049435016837e+01
  5.168880000000000337e+02   5.185321510311622717e+01
  5.243419999999999845e+02   5.179320476434527620e+01
  5.318189999999999600e+02   5.164932487647390502e+01
  5.393210000000000264e+02   5.145765656529154342e+01
  5.468490000000000464e+02   5.146142132957351834e+01
  5.544049999999999727e+02   5.134853660702462719e+01
  5.619900000000000091e+02   5.153212692147933893e+01
  5.696069999999999709e+02   5.130438449685646418e+01
  5.772580000000000382e+02   5.096451458857543315e+01
  5.849450000000000500e+02   5.089061189564449705e+01
  5.926699999999999591e+02   5.055129816271556109e+01
  6.004370000000000118e+02   5.057331828810283980e+01
  6.082480000000000473e+02   5.023763001609027867e+01
  6.161059999999999945e+02   5.048509175017476025e+01
  6.240149999999999864e+02   4.888307183054024563e+01
