#                         y+                    alphat+
  6.255789999999999962e-01   1.470251666100087578e-04
  9.672559999999998936e-01   5.313093724892587215e-04
  1.334300000000000042e+00   1.361718685776785662e-03
  1.731409999999999894e+00   2.897512581719553261e-03
  2.163300000000000001e+00   5.487803329416546423e-03
  2.634749999999999925e+00   9.594714665766244932e-03
  3.150500000000000078e+00   1.582125350980756462e-02
  3.715280000000000360e+00   2.493790792303730158e-02
  4.333779999999999966e+00   3.792230235206019845e-02
  5.010600000000000165e+00   5.597857939738865724e-02
  5.750259999999999927e+00   8.060044145673878058e-02
  6.557169999999999277e+00   1.135878059002155965e-01
  7.435630000000000628e+00   1.570839362564402097e-01
  8.389780000000000015e+00   2.136287990539666448e-01
  9.423630000000001061e+00   2.860951357712351317e-01
  1.054100000000000037e+01   3.776808289803728624e-01
  1.174569999999999936e+01   4.919087392089623867e-01
  1.304100000000000037e+01   6.322742002624822666e-01
  1.443050000000000033e+01   8.024615492173797771e-01
  1.591709999999999958e+01   1.005664116642206229e+00
  1.750379999999999825e+01   1.244951170291971554e+00
  1.919350000000000023e+01   1.523129827331866970e+00
  2.098849999999999838e+01   1.841701673296432640e+00
  2.289130000000000109e+01   2.202344196891374395e+00
  2.490390000000000015e+01   2.605719526753279336e+00
  2.702840000000000131e+01   3.051546556669252563e+00
  2.926640000000000086e+01   3.539586203439627266e+00
  3.161929999999999907e+01   4.068351362530804316e+00
  3.408859999999999957e+01   4.636614055827514846e+00
  3.667530000000000001e+01   5.241999593612572284e+00
  3.938020000000000209e+01   5.882214010036237006e+00
  4.220409999999999684e+01   6.554889908714980784e+00
  4.514739999999999753e+01   7.256637982546201293e+00
  4.821039999999999992e+01   7.987084714746166547e+00
  5.139320000000000022e+01   8.737477023605411119e+00
  5.469559999999999889e+01   9.514203373159192623e+00
  5.811749999999999972e+01   1.030306142537808967e+01
  6.165829999999999700e+01   1.111409541616579411e+01
  6.531730000000000302e+01   1.193328130776395746e+01
  6.909390000000000498e+01   1.276411837106535252e+01
  7.298690000000000566e+01   1.360360182351465497e+01
  7.699530000000000030e+01   1.444942950402586312e+01
  8.111790000000000589e+01   1.529612361705927093e+01
  8.535320000000000107e+01   1.614640701711511284e+01
  8.969960000000000377e+01   1.699361903079751102e+01
  9.415560000000000684e+01   1.784335154738293383e+01
  9.871930000000000405e+01   1.867689383558888139e+01
  1.033889999999999958e+02   1.951579857810213880e+01
  1.081620000000000061e+02   2.033346720175307354e+01
  1.130379999999999967e+02   2.114953899464826392e+01
  1.180129999999999910e+02   2.195230778371692892e+01
  1.230849999999999937e+02   2.273736217249706115e+01
  1.282529999999999859e+02   2.351000539891583685e+01
  1.335130000000000052e+02   2.426337447515725287e+01
  1.388640000000000043e+02   2.499792290445524401e+01
  1.443020000000000209e+02   2.570546689779846616e+01
  1.498259999999999934e+02   2.640932841133863462e+01
  1.554329999999999927e+02   2.706669778297850826e+01
  1.611210000000000093e+02   2.772324239243836885e+01
  1.668859999999999957e+02   2.833794131666450511e+01
  1.727270000000000039e+02   2.894779721356086810e+01
  1.786399999999999864e+02   2.952304769066613588e+01
  1.846240000000000236e+02   3.009723187365196750e+01
  1.906759999999999877e+02   3.062619033682007696e+01
  1.967920000000000016e+02   3.116239197966600116e+01
  2.029720000000000084e+02   3.165421966240097618e+01
  2.092109999999999843e+02   3.215451293889866236e+01
  2.155090000000000146e+02   3.261896256842813102e+01
  2.218619999999999948e+02   3.306642402792321889e+01
  2.282680000000000007e+02   3.349231882560039253e+01
  2.347249999999999943e+02   3.390616040617848626e+01
  2.412309999999999945e+02   3.428633883389093029e+01
  2.477829999999999870e+02   3.464932697973845421e+01
  2.543790000000000191e+02   3.498402676600848338e+01
  2.610169999999999959e+02   3.530616655231987977e+01
  2.676959999999999695e+02   3.560480522192066388e+01
  2.744130000000000109e+02   3.586184694978424403e+01
  2.811670000000000300e+02   3.611612108267747345e+01
  2.879549999999999841e+02   3.634485969458160071e+01
  2.947760000000000105e+02   3.653140167155765994e+01
  3.016290000000000191e+02   3.672320725747903936e+01
  3.085109999999999673e+02   3.687327020834892011e+01
