  j        y+            vv+           -uv+        -uv/urmsvrms       nu_t+        omgx_rms+      omgz_rms+
 54   0.128253e+03   0.106051e+01   0.773117e+00   0.427641e+00   0.374869e+02   0.764165e-01   0.719662e-01
 55   0.133513e+03   0.105353e+01   0.765610e+00   0.427860e+00   0.382773e+02   0.746823e-01   0.703084e-01
 56   0.138864e+03   0.104615e+01   0.757925e+00   0.428036e+00   0.390435e+02   0.730238e-01   0.687170e-01
 57   0.144302e+03   0.103841e+01   0.750065e+00   0.428183e+00   0.397768e+02   0.714361e-01   0.671998e-01
 58   0.149826e+03   0.103033e+01   0.742041e+00   0.428313e+00   0.404830e+02   0.699215e-01   0.657422e-01
 59   0.155433e+03   0.102195e+01   0.733863e+00   0.428408e+00   0.411666e+02   0.684785e-01   0.643305e-01
 60   0.161121e+03   0.101333e+01   0.725540e+00   0.428454e+00   0.418283e+02   0.670967e-01   0.629713e-01
 61   0.166886e+03   0.100446e+01   0.717082e+00   0.428455e+00   0.424780e+02   0.657400e-01   0.616519e-01
 62   0.172727e+03   0.995381e+00   0.708490e+00   0.428416e+00   0.430999e+02   0.644092e-01   0.603843e-01
 63   0.178640e+03   0.986161e+00   0.699759e+00   0.428329e+00   0.436678e+02   0.631323e-01   0.591770e-01
 64   0.184624e+03   0.976864e+00   0.690895e+00   0.428170e+00   0.441746e+02   0.619193e-01   0.580246e-01
 65   0.190676e+03   0.967515e+00   0.681908e+00   0.427929e+00   0.446371e+02   0.607615e-01   0.569124e-01
 66   0.196792e+03   0.958120e+00   0.672811e+00   0.427620e+00   0.450780e+02   0.596490e-01   0.558320e-01
 67   0.202972e+03   0.948671e+00   0.663617e+00   0.427260e+00   0.455238e+02   0.585721e-01   0.547586e-01
 68   0.209211e+03   0.939158e+00   0.654330e+00   0.426852e+00   0.459926e+02   0.575231e-01   0.537094e-01
 69   0.215509e+03   0.929574e+00   0.644945e+00   0.426375e+00   0.464515e+02   0.564911e-01   0.526933e-01
 70   0.221862e+03   0.919926e+00   0.635449e+00   0.425808e+00   0.468501e+02   0.554872e-01   0.517220e-01
 71   0.228268e+03   0.910222e+00   0.625845e+00   0.425150e+00   0.471696e+02   0.545214e-01   0.508123e-01
 72   0.234725e+03   0.900420e+00   0.616135e+00   0.424405e+00   0.474058e+02   0.535804e-01   0.499511e-01
 73   0.241231e+03   0.890458e+00   0.606334e+00   0.423580e+00   0.475804e+02   0.526557e-01   0.491088e-01
 74   0.247783e+03   0.880296e+00   0.596461e+00   0.422698e+00   0.477504e+02   0.517562e-01   0.482725e-01
 75   0.254379e+03   0.869925e+00   0.586519e+00   0.421781e+00   0.479152e+02   0.508726e-01   0.474435e-01
 76   0.261017e+03   0.859380e+00   0.576498e+00   0.420824e+00   0.480208e+02   0.500014e-01   0.466231e-01
 77   0.267696e+03   0.848728e+00   0.566394e+00   0.419814e+00   0.480312e+02   0.491495e-01   0.458222e-01
 78   0.274413e+03   0.838024e+00   0.556222e+00   0.418753e+00   0.479935e+02   0.483087e-01   0.450615e-01
 79   0.281167e+03   0.827264e+00   0.545991e+00   0.417638e+00   0.479370e+02   0.474853e-01   0.443411e-01
 80   0.287955e+03   0.816410e+00   0.535705e+00   0.416464e+00   0.478672e+02   0.466848e-01   0.436257e-01
 81   0.294776e+03   0.805452e+00   0.525369e+00   0.415229e+00   0.477959e+02   0.458946e-01   0.429098e-01
 82   0.301629e+03   0.794417e+00   0.514981e+00   0.413910e+00   0.477016e+02   0.451164e-01   0.422262e-01
 83   0.308511e+03   0.783329e+00   0.504554e+00   0.412478e+00   0.476155e+02   0.443611e-01   0.415510e-01
 84   0.315421e+03   0.772221e+00   0.494091e+00   0.410915e+00   0.475500e+02   0.436313e-01   0.408803e-01
 85   0.322358e+03   0.761096e+00   0.483582e+00   0.409212e+00   0.474557e+02   0.429076e-01   0.402230e-01
 86   0.329321e+03   0.749972e+00   0.473022e+00   0.407353e+00   0.473007e+02   0.421781e-01   0.395812e-01
 87   0.336308e+03   0.738884e+00   0.462418e+00   0.405327e+00   0.471106e+02   0.414622e-01   0.389700e-01
 88   0.343317e+03   0.727851e+00   0.451780e+00   0.403135e+00   0.469267e+02   0.407561e-01   0.383739e-01
 89   0.350349e+03   0.716874e+00   0.441109e+00   0.400780e+00   0.467451e+02   0.400575e-01   0.377775e-01
 90   0.357402e+03   0.705957e+00   0.430401e+00   0.398255e+00   0.465318e+02   0.393673e-01   0.372096e-01
 91   0.364474e+03   0.695102e+00   0.419660e+00   0.395543e+00   0.462946e+02   0.386991e-01   0.366670e-01
 92   0.371566e+03   0.684303e+00   0.408894e+00   0.392633e+00   0.460888e+02   0.380579e-01   0.361123e-01
 93   0.378676e+03   0.673553e+00   0.398103e+00   0.389519e+00   0.459214e+02   0.374396e-01   0.355455e-01
 94   0.385804e+03   0.662852e+00   0.387274e+00   0.386202e+00   0.457274e+02   0.368204e-01   0.349870e-01
 95   0.392949e+03   0.652219e+00   0.376402e+00   0.382677e+00   0.454629e+02   0.361973e-01   0.344445e-01
 96   0.400111e+03   0.641679e+00   0.365488e+00   0.378924e+00   0.451291e+02   0.355670e-01   0.339135e-01
 97   0.407289e+03   0.631278e+00   0.354530e+00   0.374911e+00   0.447148e+02   0.349528e-01   0.333933e-01
 98   0.414483e+03   0.621044e+00   0.343525e+00   0.370611e+00   0.441965e+02   0.343610e-01   0.328909e-01
 99   0.421692e+03   0.610982e+00   0.332479e+00   0.366012e+00   0.436099e+02   0.337772e-01   0.324039e-01
100   0.428917e+03   0.601092e+00   0.321404e+00   0.361095e+00   0.430206e+02   0.331979e-01   0.319206e-01
101   0.436157e+03   0.591380e+00   0.310299e+00   0.355837e+00   0.424191e+02   0.326289e-01   0.314440e-01
102   0.443412e+03   0.581864e+00   0.299160e+00   0.350226e+00   0.417719e+02   0.320615e-01   0.309919e-01
103   0.450684e+03   0.572569e+00   0.287993e+00   0.344260e+00   0.411122e+02   0.314992e-01   0.305606e-01
104   0.457971e+03   0.563521e+00   0.276806e+00   0.337923e+00   0.404740e+02   0.309528e-01   0.301463e-01
105   0.465273e+03   0.554739e+00   0.265599e+00   0.331184e+00   0.398628e+02   0.304194e-01   0.297466e-01
106   0.472593e+03   0.546242e+00   0.254378e+00   0.324011e+00   0.393015e+02   0.298930e-01   0.293590e-01
107   0.479929e+03   0.538053e+00   0.243140e+00   0.316363e+00   0.387816e+02   0.293752e-01   0.289826e-01
108   0.487283e+03   0.530202e+00   0.231884e+00   0.308193e+00   0.382953e+02   0.288714e-01   0.286182e-01
109   0.494655e+03   0.522710e+00   0.220612e+00   0.299452e+00   0.378652e+02   0.283923e-01   0.282603e-01
110   0.502046e+03   0.515579e+00   0.209320e+00   0.290096e+00   0.374705e+02   0.279270e-01   0.279142e-01
111   0.509457e+03   0.508810e+00   0.198002e+00   0.280100e+00   0.370842e+02   0.274777e-01   0.275896e-01
112   0.516888e+03   0.502395e+00   0.186658e+00   0.269454e+00   0.366993e+02   0.270490e-01   0.272810e-01
113   0.524342e+03   0.496321e+00   0.175285e+00   0.258145e+00   0.363107e+02   0.266317e-01   0.269919e-01
114   0.531819e+03   0.490589e+00   0.163884e+00   0.246148e+00   0.359331e+02   0.262161e-01   0.267159e-01
115   0.539321e+03   0.485222e+00   0.152454e+00   0.233429e+00   0.355766e+02   0.258154e-01   0.264533e-01
116   0.546849e+03   0.480244e+00   0.140990e+00   0.219963e+00   0.352178e+02   0.254344e-01   0.262130e-01
117   0.554405e+03   0.475667e+00   0.129494e+00   0.205737e+00   0.348523e+02   0.250757e-01   0.260042e-01
118   0.561990e+03   0.471487e+00   0.117965e+00   0.190739e+00   0.345011e+02   0.247464e-01   0.258244e-01
119   0.569607e+03   0.467685e+00   0.106403e+00   0.174949e+00   0.341813e+02   0.244436e-01   0.256667e-01
120   0.577258e+03   0.464252e+00   0.948056e-01   0.158353e+00   0.339079e+02   0.241579e-01   0.255136e-01
121   0.584945e+03   0.461197e+00   0.831649e-01   0.140948e+00   0.336590e+02   0.238927e-01   0.253724e-01
122   0.592670e+03   0.458533e+00   0.714754e-01   0.122754e+00   0.334219e+02   0.236560e-01   0.252612e-01
123   0.600437e+03   0.456264e+00   0.597335e-01   0.103803e+00   0.332211e+02   0.234463e-01   0.251800e-01
124   0.608248e+03   0.454398e+00   0.479346e-01   0.841431e-01   0.330939e+02   0.232718e-01   0.251162e-01
125   0.616106e+03   0.452946e+00   0.360718e-01   0.638371e-01   0.330693e+02   0.231289e-01   0.250665e-01
126   0.624015e+03   0.451913e+00   0.241314e-01   0.429628e-01   0.329739e+02   0.230259e-01   0.250370e-01
127   0.631978e+03   0.451296e+00   0.121059e-01   0.216323e-01   0.325630e+02   0.229666e-01   0.250254e-01
128   0.640000e+03   0.451091e+00   0.000000e+00   0.000000e+00   ------------   0.229486e-01   0.250228e-01
