                        y+                        uu+                        vv+                        ww+                      Diss.                    Diss..1                  Diss..1.1
  7.964170000000000416e-01   1.015709999999999946e-01   4.181810406595663575e-05   3.481769999999999310e-02  -3.188969999999999305e-01  -3.325321695795128876e-04  -9.121039999999999703e-02
  9.672560000000000047e-01   1.494721474154293850e-01   8.622949999999999832e-05   4.930565624024032395e-02  -3.184032698830489005e-01  -4.776700000000000802e-04  -8.478777584836189041e-02
  1.150779999999999914e+00   2.110390000000000321e-01   1.631448202722938774e-04   6.687280000000001001e-02  -3.178610000000000047e-01  -6.509137448431913907e-04  -7.854279999999998207e-02
  1.334300000000000042e+00   2.829627841417416412e-01   2.789409999999999980e-04   8.621317330803440759e-02  -3.171945483716448466e-01  -8.368100000000002229e-04  -7.290437121507239993e-02
  1.532859999999999889e+00   3.722580000000000333e-01   4.583759278991059822e-04   1.088260000000000061e-01  -3.162330000000000974e-01  -1.046971771365961612e-03  -6.742739999999998457e-02
  1.731409999999999894e+00   4.732352608543146655e-01   7.048290000000000241e-04   1.328846444219238532e-01  -3.149308315606210718e-01  -1.262359999999999914e-03  -6.254425556161534450e-02
  1.947349999999999914e+00   5.959170000000001410e-01   1.061500554830675487e-03   1.603810000000000235e-01  -3.130580000000000584e-01  -1.498380145862895224e-03  -5.785299999999999471e-02
  2.163300000000000001e+00   7.315041859320975393e-01   1.522979999999999733e-03   1.889591621547029310e-01  -3.106560129589314156e-01  -1.733350000000000472e-03  -5.375379008452697838e-02
  2.399020000000000152e+00   8.934559999999999169e-01   2.160578254770493135e-03   2.210830000000000017e-01  -3.074200000000000821e-01  -1.985887094944394343e-03  -4.989960000000000229e-02
  2.634749999999999925e+00   1.069054722056138385e+00   2.951290000000000077e-03   2.538839082541550773e-01  -3.035582522689945217e-01  -2.232720000000000104e-03  -4.663614425121712093e-02
  2.892619999999999969e+00   1.275419999999999776e+00   4.006510794824621503e-03   2.902540000000000120e-01  -2.986939999999999595e-01  -2.494902992614727623e-03  -4.367940000000000711e-02
  3.150500000000000078e+00   1.495152346345524519e+00   5.273639999999999578e-03   3.268645532638653206e-01  -2.932668637664097577e-01  -2.748640000000000978e-03  -4.129731313585376096e-02
  3.432889999999999997e+00   1.748980000000000201e+00   6.918318896758401601e-03   3.669790000000000552e-01  -2.868459999999999899e-01  -3.016973861732809292e-03  -3.927279999999999660e-02
  3.715279999999999916e+00   2.014260931717691605e+00   8.842940000000002257e-03   4.068879418940932746e-01  -2.801155028520967427e-01  -3.276349999999999488e-03  -3.778054873064540242e-02
  4.024530000000000385e+00   2.314929999999999932e+00   1.128306692767838681e-02   4.501579999999999471e-01  -2.726180000000000825e-01  -3.551647688512211878e-03  -3.666950000000000071e-02
  4.333779999999999966e+00   2.623000068133551910e+00   1.407820000000000252e-02   4.927973778260161253e-01  -2.652204845839035707e-01  -3.819819999999999813e-03  -3.601599423362988189e-02
  4.672190000000000509e+00   2.964819999999999123e+00   1.755011339532296100e-02   5.386009999999999964e-01  -2.574629999999999419e-01  -4.107644654250322894e-03  -3.572990000000000194e-02
  5.010600000000000165e+00   3.307631183366657623e+00   2.145539999999999600e-02   5.834010511514643449e-01  -2.502603268099687917e-01  -4.392179999999999002e-03  -3.579737549907579391e-02
  5.380429999999999602e+00   3.679180000000000561e+00   2.621795754241535922e-02   6.311479999999999313e-01  -2.431629999999999903e-01  -4.702334211331646481e-03  -3.618060000000000026e-02
  5.750259999999999927e+00   4.043309069529579247e+00   3.149100000000000510e-02   6.775866900964632178e-01  -2.369723426129624611e-01  -5.014229999999998862e-03  -3.679569530152182466e-02
  6.153719999999999857e+00   4.428020000000000067e+00   3.781565396645548277e-02   7.267550000000002619e-01  -2.312569999999999903e-01  -5.359159840203639794e-03  -3.764619999999999078e-02
  6.557169999999999277e+00   4.795833433596448536e+00   4.472130000000000549e-02   7.743809064665705399e-01  -2.265819005148944076e-01  -5.710819999999999265e-03  -3.860524015379605822e-02
  6.996400000000000396e+00   5.173850000000000726e+00   5.287869972946770969e-02   8.245230000000001169e-01  -2.225389999999999868e-01  -6.102993116378260460e-03  -3.970569999999999655e-02
  7.435629999999999740e+00   5.525752299654785205e+00   6.167569999999997915e-02   8.729401694722529470e-01  -2.194156598561254334e-01  -6.505499999999998263e-03  -4.080586491182841558e-02
