y+ Diss. Diss. Diss..1
6.255789999999999962e-01 -3.194805663174882793e-01 -2.095359999999999942e-04 -9.828560901126304206e-02
7.964170000000000416e-01 -3.188969999999999305e-01 -3.325321695795129418e-04 -9.121039999999999703e-02
9.672559999999998936e-01 -3.184032698830489005e-01 -4.776700000000000802e-04 -8.478777584836189041e-02
1.150779999999999914e+00 -3.178610000000001157e-01 -6.509137448431913907e-04 -7.854279999999999595e-02
1.334300000000000042e+00 -3.171945483716449021e-01 -8.368100000000001145e-04 -7.290437121507239993e-02
1.532859999999999889e+00 -3.162330000000000418e-01 -1.046971771365961829e-03 -6.742739999999998457e-02
1.731409999999999894e+00 -3.149308315606210162e-01 -1.262360000000000131e-03 -6.254425556161534450e-02
1.947349999999999914e+00 -3.130580000000000584e-01 -1.498380145862895441e-03 -5.785300000000000165e-02
2.163300000000000001e+00 -3.106560129589314712e-01 -1.733350000000000255e-03 -5.375379008452697144e-02
2.399020000000000152e+00 -3.074199999999999711e-01 -1.985887094944393909e-03 -4.989960000000000229e-02
2.634749999999999925e+00 -3.035582522689944662e-01 -2.232720000000000104e-03 -4.663614425121712787e-02
2.892619999999999969e+00 -2.986939999999999595e-01 -2.494902992614728057e-03 -4.367940000000000711e-02
3.150500000000000078e+00 -2.932668637664097577e-01 -2.748640000000000111e-03 -4.129731313585375402e-02
3.432889999999999997e+00 -2.868459999999999899e-01 -3.016973861732808859e-03 -3.927279999999999660e-02
3.715280000000000360e+00 -2.801155028520967427e-01 -3.276349999999999922e-03 -3.778054873064540242e-02
4.024530000000000385e+00 -2.726180000000000825e-01 -3.551647688512213179e-03 -3.666950000000000071e-02
4.333779999999999966e+00 -2.652204845839035152e-01 -3.819820000000000246e-03 -3.601599423362988189e-02
4.672190000000000509e+00 -2.574629999999999974e-01 -4.107644654250322894e-03 -3.572990000000000194e-02
5.010600000000000165e+00 -2.502603268099687917e-01 -4.392179999999999869e-03 -3.579737549907579391e-02
5.380429999999999602e+00 -2.431630000000000180e-01 -4.702334211331646481e-03 -3.618060000000000026e-02
5.750259999999999927e+00 -2.369723426129625443e-01 -5.014229999999999729e-03 -3.679569530152183160e-02
6.153719999999999857e+00 -2.312569999999999903e-01 -5.359159840203638926e-03 -3.764619999999999078e-02
6.557169999999999277e+00 -2.265819005148944076e-01 -5.710820000000000132e-03 -3.860524015379605822e-02
6.996400000000000396e+00 -2.225389999999999868e-01 -6.102993116378259593e-03 -3.970569999999999655e-02
7.435630000000000628e+00 -2.194156598561254889e-01 -6.505499999999999131e-03 -4.080586491182841558e-02
7.912700000000000067e+00 -2.168390000000000040e-01 -6.954522072052001826e-03 -4.195600000000000718e-02
8.389780000000000015e+00 -2.148737664115655810e-01 -7.414919999999999324e-03 -4.302333362788378357e-02
8.906700000000000728e+00 -2.131939999999999946e-01 -7.924974217886409864e-03 -4.406460000000000932e-02
9.423630000000001061e+00 -2.117536868897346714e-01 -8.444280000000000189e-03 -4.497162677612070308e-02
9.982329999999999259e+00 -2.102779999999999927e-01 -9.012822978391154746e-03 -4.579860000000000875e-02
1.054100000000000037e+01 -2.087260297288237310e-01 -9.585309999999999664e-03 -4.646925794870350457e-02
1.114330000000000176e+01 -2.068649999999999656e-01 -1.020278794467445634e-02 -4.702869999999999967e-02
1.174569999999999936e+01 -2.047364497910536263e-01 -1.081669999999999854e-02 -4.743317727357354574e-02
1.239330000000000354e+01 -2.021300000000000319e-01 -1.146821678577732324e-02 -4.771450000000000691e-02
1.304100000000000037e+01 -1.991962631685339213e-01 -1.210699999999999971e-02 -4.785760841282735156e-02
1.373569999999999958e+01 -1.957240000000000091e-01 -1.277359700165041703e-02 -4.787990000000000301e-02
1.443050000000000033e+01 -1.919641160557430115e-01 -1.341780000000000056e-02 -4.778879134745593615e-02
1.517379999999999995e+01 -1.876870000000000205e-01 -1.407883782128993046e-02 -4.758749999999999092e-02
1.591709999999999958e+01 -1.832123592663770784e-01 -1.470840000000000168e-02 -4.729966382434814404e-02
1.671049999999999969e+01 -1.782839999999999980e-01 -1.534346273111041568e-02 -4.691590000000000343e-02
1.750379999999999825e+01 -1.732625496063621429e-01 -1.593909999999999771e-02 -4.647088971605956020e-02
1.834860000000000113e+01 -1.678689999999999627e-01 -1.652929262239585112e-02 -4.594539999999999041e-02
1.919350000000000023e+01 -1.624791597480960414e-01 -1.707409999999999831e-02 -4.538110516154653107e-02
2.009100000000000108e+01 -1.567999999999999949e-01 -1.760351540561872277e-02 -4.475130000000000774e-02
2.098849999999999838e+01 -1.512049590928758180e-01 -1.808329999999999660e-02 -4.410090713268284557e-02
2.193990000000000151e+01 -1.453959999999999975e-01 -1.853934993470570183e-02 -4.339750000000001245e-02
2.289130000000000109e+01 -1.397391909671920340e-01 -1.894359999999999794e-02 -4.268717082954787134e-02
2.389760000000000062e+01 -1.339410000000000323e-01 -1.931758616471243931e-02 -4.193419999999999787e-02
2.490390000000000015e+01 -1.283487907174191978e-01 -1.963960000000000011e-02 -4.118465679402925211e-02
2.596620000000000061e+01 -1.226780000000000231e-01 -1.992675121014816919e-02 -4.040119999999999822e-02
2.702840000000000131e+01 -1.172525301720648144e-01 -2.016360000000000027e-02 -3.962932651727195388e-02
2.814740000000000109e+01 -1.118019999999999847e-01 -2.036313411322315803e-02 -3.883109999999999340e-02
2.926640000000000086e+01 -1.066213746551762792e-01 -2.051579999999999723e-02 -3.805008944143131733e-02
3.044290000000000163e+01 -1.014600000000000224e-01 -2.063053780437491477e-02 -3.724830000000000502e-02
3.161929999999999907e+01 -9.658463932409716568e-02 -2.070289999999999977e-02 -3.646676028168673034e-02
3.285399999999999920e+01 -9.176570000000001948e-02 -2.073810185078473270e-02 -3.566799999999999138e-02
3.408859999999999957e+01 -8.724193162602464358e-02 -2.073610000000000037e-02 -3.489101475652942735e-02
3.538199999999999790e+01 -8.280470000000000885e-02 -2.069883324422576790e-02 -3.410010000000000124e-02
3.667530000000000001e+01 -7.866120573497305257e-02 -2.062989999999999963e-02 -3.333264213110543467e-02
3.802779999999999916e+01 -7.462389999999999302e-02 -2.052838274601787028e-02 -3.255469999999999892e-02
